023ae6127fecbdf4e46bfa49dae77489d04ba992643348efe95af75fe97cbc88,8cd7f5de9efb7ea3323230aef17b5f7f18a16366cb7c9b8a4ce00578df860384,9d575f403d047012c4ccec97627251e616251406d3a271280e7cc5d5f12c6da3,d84a0c38f03ab267792d30b76a28fe36b094639df7e9772ee37770215104f9fb,b6f0589a26853b275b9e0984a2407128b63b1aa54b44db23290c50ead6c049b1
"1","99002","ランダムな装備が獲得できる。","box_rank_1-3","ランダム装備BOX"
"2","99002","キャラのRANK1～4で必要となる装備アイテム","eq_rank_3-6","RANK3～6の装備アイテム"
"3","99002","キャラのRANK4～7で必要となる装備アイテム","eq_rank_4-7","RANK4～7の装備アイテム"
"4","99002","","1000120101","ハツネのメモリーピース"
"5","99002","","1000120102","シオリのメモリーピース"
"6","99002","","1000220101","ミソギのメモリーピース"
"7","99002","","1000220102","ミミのメモリーピース"
"8","99002","","1000320101","マホのメモリーピース"
"9","99002","","1000320102","カオリのメモリーピース"
"10","99002","","1000420101","コッコロ（サマー）のメモリーピース"
"11","99002","","1000420102","サレンのメモリーピース"
"12","99002","キャラのRANK5～8で必要となる装備アイテム","eq_rank_5-8","RANK5～8の装備アイテム"
"13","99002","","1000520101","ミフユ（サマー）のメモリーピース"
"14","99002","","1000520102","アキノのメモリーピース"
"15","99002","","1000620101","ジュンのメモリーピース"
"16","99002","","1000620102","ユカリのメモリーピース"
"17","99002","","1000720101","ミヤコ（ハロウィン）のメモリーピース"
"18","99002","","1000720102","ヨリのメモリーピース"
"19","99002","","1000820101","アンナのメモリーピース"
"20","99002","","1000820102","ミツキのメモリーピース"
"21","99002","","1000920101","クルミ（クリスマス）のメモリーピース"
"22","99002","","1000920102","ノゾミのメモリーピース"
"23","99002","","1001020101","レイ（ニューイヤー）のメモリーピース"
"24","99002","","1001020102","ユイのメモリーピース"
"25","99002","","1001120101","エリコ（バレンタイン）のメモリーピース"
"26","99002","","1001120102","リノのメモリーピース"
"27","99002","","1001220101","マコトのメモリーピース"
"28","99002","","1001220102","ユキのメモリーピース"
"29","99002","","1001320101","ルゥのメモリーピース"
"30","99002","","1001320102","イオのメモリーピース"
"31","99002","","1001420101","ハツネのメモリーピース"
"32","99002","","1001420102","シオリのメモリーピース"
"33","99002","","1001520101","マコトのメモリーピース"
"34","99002","","1001520102","ユキのメモリーピース"
"35","99002","","1001620101","ミソギのメモリーピース"
"36","99002","","1001620102","ミミのメモリーピース"
"37","99002","ランダムな装備が獲得できる。","box_rank_2-4","ランダム装備BOX"
"38","99002","ランダムな装備が獲得できる。","box_rank_2-5","ランダム装備BOX"
"39","99002","ランダムな装備が獲得できる。","box_rank_3-6","ランダム装備BOX"
"40","99002","ランダムな装備が獲得できる。","box_rank_4-5","ランダム装備BOX"
"41","99002","ランダムな装備が獲得できる。","box_rank_6-7","ランダム装備BOX"
"42","99002","ランダムな装備が獲得できる。","box_rank_7-8","ランダム装備BOX"
"43","99002","ランダムな装備が獲得できる。","box_rank_8-10","ランダム装備BOX"
"44","99002","ランダムな装備が獲得できる。","box_rank_8-11","ランダム装備BOX"
"45","99002","ランダムな装備が獲得できる。","box_rank_9-12","ランダム装備BOX"
"46","99002","","1001720101","ラムのメモリーピース"
"47","99002","","1001720102","スズメのメモリーピース"
"48","99002","","1001820101","マホのメモリーピース"
"49","99002","","1001820102","カオリのメモリーピース"
"50","99002","","1001920101","イオ（サマー）のメモリーピース"
"51","99002","","1001920102","ミサキのメモリーピース"
"52","99002","","1002020103","コッコロ（サマー）のメモリーピース"
"53","99002","","1002020104","サレンのメモリーピース"
"54","99002","","1002120103","カオリ（サマー）のメモリーピース"
"55","99002","","1002120104","カスミのメモリーピース"
"56","99002","","1002220101","ミフユ（サマー）のメモリーピース"
"57","99002","","1002220102","アキノのメモリーピース"
"58","99002","","1002320101","ルカのメモリーピース"
"59","99002","","1002320102","アオイのメモリーピース"
"60","99002","","1002520101","ミソギ（ハロウィン）のメモリーピース"
"61","99002","","1002520102","キョウカのメモリーピース"
"62","99002","","1002420101","ジュンのメモリーピース"
"63","99002","","1002420102","ユカリのメモリーピース"
"64","99002","","1002620101","ミヤコ（ハロウィン）のメモリーピース"
"65","99002","","1002620102","ヨリのメモリーピース"
"66","99002","","1002720101","トモのメモリーピース"
"67","99002","","1002720102","マツリのメモリーピース"
"68","99002","","1002820101","アンナのメモリーピース"
"69","99002","","1002820102","ミツキのメモリーピース"
"70","99002","","1002920101","ノゾミ（クリスマス）のメモリーピース"
"71","99002","","1002920102","イリヤのメモリーピース"
"72","99002","","1003020101","クルミ（クリスマス）のメモリーピース"
"73","99002","","1003020102","ノゾミのメモリーピース"
"74","99002","","1003120101","スズメ（ニューイヤー）のメモリーピース"
"75","99002","","1003120102","クルミのメモリーピース"
"76","99002","","1003320101","シオリ（マジカル）のメモリーピース"
"77","99002","","1003320102","シズルのメモリーピース"
"80","99002","","1003220101","レイ（ニューイヤー）のメモリーピース"
"81","99002","","1003220102","ユイのメモリーピース"
"82","99002","","1003520101","ミオ（デレマス）のメモリーピース"
"83","99002","","1003520102","チカのメモリーピース"
"86","99002","","1003420101","エリコ（バレンタイン）のメモリーピース"
"87","99002","","1003420102","リノのメモリーピース"
"88","99002","","1003720101","マコトのメモリーピース"
"89","99002","","1003720102","ユキのメモリーピース"
"90","99002","","1003820101","ノゾミ（クリスマス）のメモリーピース"
"91","99002","","1003820102","イリヤのメモリーピース"
"92","99002","","1003920101","ルゥのメモリーピース"
"93","99002","","1003920102","イオのメモリーピース"
"94","99002","","1004020101","サレンのメモリーピース"
"95","99002","","1004020102","マヒルのメモリーピース"
"96","99002","","1004120101","モニカのメモリーピース"
"97","99002","","1004120102","クウカのメモリーピース"
"98","99002","","1004220101","アユミ（ワンダー）のメモリーピース"
