ac1a2a994743dc2ff309016508a6e59b99fa03df0bf3fae37b26c7dc5ee4198e,0b78568d7d577d0cbce4a8e35ce7e8240eab79b73e781bf0c7a43d32821ea7b1,da28464f3bc7d2acce4ec603090df8d169c8a7580b0a6572c646a95de3d87bbe,7a66202544c95e77954db5ce463670f4329cda305396d8b8f7c278e4acc4374f,c0ba4b8e96e79806b7ad3e7b68cee6d85548b25e8247cd0eb1c55ada173dfd87,17d473ebee82f0c5baff1d56a8bbd6b2066217d83046698cc87467e85be1b779,3a8b5323d93b6162a00ea0ecc291f9db1aa569b2fc3bb2bd625a61ffaa0d373c,b6d97668de3ff65afa141d877a01ddb4f449ef2cf60ece49daad5479b3347631,d196984187cdd9ee7fc5f57d23ab7aa23e20c05a977eaff2eb582aeea90d90f5,e2844ec47de79c2c2823d400a15693975c8ad897cfb3b58548c053f34a6a405a,cb469fa63ba6edf8a5560bab28f6689795f1a02760ff960dd4b52ac6bf1f2ca7
"0","112511","1500","1.8","omp_talk_worry","1","1","-140","1","1010001","-190"
"1","112411","1500","1.8","omp_idle_normal","1","1","140","1","1010002","-190"
"","1","0","1","","31","1","0","1","1010003","1"
"","","","","","93","1","","1","1010004",""
"","vo_omp_7001_000","0","","","21","1","0","vo_omp_7001","1010005",""
"","ウヅキ、大丈夫？\n夜営続きで疲れてない？","10","","","11","1","1","112511","1010006","1"
"","","","","","91","1","","0","1010007",""
"","omp_idle_worry","1","0","","3","1","","112511","1010008",""
"","omp_talk_joy1","1","0","","3","1","","112411","1010009",""
"","vo_omp_7001_001","0","","","21","1","0","vo_omp_7001","1010010",""
"","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","10","","","11","1","1","112411","1010011","1"
"","","","","","91","1","","0","1010012",""
"","omp_psn_20","1","0","","3","1","","112411","1010013",""
"","omp_talk_normal","1","0","","3","1","","112511","1010014",""
"","vo_omp_7001_002","0","","","21","1","0","vo_omp_7001","1010015",""
"","そっか\nウヅキはどんなときも楽しそうだよね","10","","","11","1","1","112511","1010016","1"
"","","","","","91","1","","0","1010017",""
"","omp_idle_normal","1","0","","3","1","","112511","1010018",""
"","omp_talk_sad","1","0","","3","1","","112411","1010019",""
"","vo_omp_7001_003","0","","","21","1","0","vo_omp_7001","1010020",""
"","もしかして…\nリンちゃんは楽しくないですか？","10","","","11","1","1","112411","1010021","1"
"","","","","","91","1","","0","1010022",""
"","omp_idle_sad","1","0","","3","1","","112411","1010023",""
"0.1","omp_surprise","0","0","","3","1","omp_idle_surprise1","112511","1010024","1"
"","vo_omp_7001_004","0","","","21","1","0","vo_omp_7001","1010025",""
"","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","10","","","11","1","1","112511","1010026","1"
"","1","","","","93","1","","2.5","1010027",""
"","omp_talk_normal","1","0.2","","3","1","","112511","1010028",""
"","","","","","91","1","","1010026","1010029",""
"","omp_idle_normal","1","0","","3","1","","112511","1010030",""
"","omp_talk_joy2","1","0","","3","1","","112411","1010031",""
"","vo_omp_7001_005","0","","","21","1","0","vo_omp_7001","1010032",""
"","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","10","","","11","1","1","112411","1010033","1"
"","","","","","91","1","","0","1010034",""
"","0","1","","","4","1","","112511","1010035",""
"","omp_psn_20","1","0","","3","1","","112411","1010036",""
"","omp_idle_normal","1","0","","3","1","","112511","1010037",""
"","vo_omp_7001_006","0","","","21","1","0","vo_omp_7001","1010038",""
"","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","10","","","11","1","1","112511","1010039","1"
"","","","","","91","1","","0","1010040",""
"","","","","","93","1","","0.4","1010041",""
"0","112511","1600","1.8","omp_idle_normal","1","2","-180","1","1020001","-195"
"1","112411","1500","1.8","omp_talk_normal","1","2","20","1","1020002","-190"
"1","112611","1600","1.8","omp_idle_normal","1","2","220","1","1020003","-205"
"","1","0","1","","31","2","0","1","1020004","1"
"","","","","","93","2","","1","1020005",""
"","vo_omp_7002_000","0","","","21","2","0","vo_omp_7002","1020006",""
"","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","10","","","11","2","1","112411","1020007","1"
"","","","","","91","2","","0","1020008",""
"","0","","","","4","2","","112411","1020009",""
"","omp_idle_normal","1","0","","3","2","","112411","1020010",""
"","omp_talk_joy1","1","0","","3","2","","112611","1020011",""
"","vo_omp_7002_001","0","","","21","2","0","vo_omp_7002","1020012",""
"","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","10","","","11","2","1","112611","1020013","1"
"","","","","","91","2","","0","1020014",""
"","omp_idle_joy1","1","0","","3","2","","112611","1020015",""
"","omp_talk_surprise1","1","0","","3","2","","112411","1020016",""
"","vo_omp_7002_002","0","","","21","2","0","vo_omp_7002","1020017",""
"","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","10","","","11","2","1","112411","1020018","1"
"","","","","","91","2","","0","1020019",""
"","1","","","","4","2","","112411","1020020",""
"","omp_idle_surprise1","1","0","","3","2","","112411","1020021",""
"","omp_talk_normal","1","0","","3","2","","112511","1020022",""
"","vo_omp_7002_003","0","","","21","2","0","vo_omp_7002","1020023",""
"","全然想像できない味だったね\nいい意味で","10","","","11","2","1","112511","1020024","1"
"","","","","","91","2","","0","1020025",""
"","omp_talk_sad","1","0","","3","2","","112511","1020026",""
"","vo_omp_7002_004","0","","","21","2","0","vo_omp_7002","1020027",""
"","でも魔物が調理されてるところは\nまあ、何て言うか…","10","","","11","2","1","112511","1020028","1"
"","","","","","91","2","","0","1020029",""
"","omp_idle_sad","1","0","","3","2","","112511","1020030",""
"","omp_talk_bitter","1","0","","3","2","","112411","1020031",""
"","vo_omp_7002_005","0","","","21","2","0","vo_omp_7002","1020032",""
"","…す、すごかったですよね","10","","","11","2","1","112411","1020033","1"
"","","","","","91","2","","0","1020034",""
"","omp_idle_bitter","1","0","","3","2","","112411","1020035",""
"","omp_talk_joy1","1","0","","3","2","","112611","1020036",""
"","vo_omp_7002_006","0","","","21","2","0","vo_omp_7002","1020037",""
"","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","10","","","11","2","1","112611","1020038","1"
"","","","","","91","2","","0","1020039",""
"","omp_idle_joy1","1","0","","3","2","","112611","1020040",""
"","omp_talk_bitter","1","0","","3","2","","112511","1020041",""
"","vo_omp_7002_007","0","","","21","2","0","vo_omp_7002","1020042",""
"","冒険って、奥が深いね…","10","","","11","2","1","112511","1020043","1"
"","","","","","91","2","","0","1020044",""
"","","","","","93","2","","0.4","1020045",""
"0","112411","1500","1.8","omp_talk_joy1","1","3","-140","1","1030001","-190"
"1","112611","1500","1.8","omp_idle_normal","1","3","140","1","1030002","-190"
"","1","0","1","","31","3","0","1","1030003","1"
"","","","","","93","3","","1","1030004",""
"","vo_omp_7003_000","0","","","21","3","0","vo_omp_7003","1030005",""
"","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","10","","","11","3","1","112411","1030006","1"
"","","","","","91","3","","0","1030007",""
"","omp_psn_20","1","0","","3","3","","112411","1030008",""
"","omp_psn_19","1","0","","3","3","","112611","1030009",""
"","vo_omp_7003_001","0","","","21","3","0","vo_omp_7003","1030010",""
"","た、楽しいかな～？","10","","","11","3","1","112611","1030011","1"
"","","","","","91","3","","0","1030012",""
