be113c6d063ec637d8b76b1b30df6544ae73f991e4d90a9657d90edd4009d5f9,9d60a6aa0cdf021f49e485cf584ab08e9dd314a6f202436c7679ec275ea25a7e,7308d44d2aa025e866dad6829bfe366b317ba794b85c4429219a71ca2841d5e5,9e2711b653f770a64e6005b77e213d65a25d2e0f137b309a77e61b384d5f23b3,d0fdad1ed2bc77438d7bde8243e842053122569cc618380fcd126c1f30200149,474c846e137c28ede850d5c506591aa74e3ede32b46ac25a80f6d7bc3a8c954b,f13d4917c144e9879e8612e057aaec170acb64fc43c3a5a6cd4ebab8b36aba60,9438027e7e18168ad9e2ff20a007736d80fce3acf74a4b1415f5adce3a53c8ab
"1005","0","1005","1005","0","バトル開始時、味方のＴＰが250アップ","2","ＴＰ250アップ"
"1006","0","1006","1006","0","バトル開始時、味方のＴＰが250アップ","2","ＴＰ250アップ"
"1007","0","1007","1007","0","バトル開始時、味方のＴＰが250アップ","2","ＴＰ250アップ"
"1008","0","1008","1008","0","バトル開始時、味方のＴＰが250アップ","2","ＴＰ250アップ"
"100501","27160000000000","100501","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1","物理攻撃ダウン90秒"
"100502","26040000000000","100502","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1","物理攻撃ダウン90秒"
"100503","25200000000000","100503","1005","36000","バトル開始から90秒間、敵の物理防御力がダウン","1","物理防御ダウン90秒"
"100504","24360000000000","100504","1005","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1","魔法防御ダウン90秒"
"100505","23520000000000","100505","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1","物理攻撃ダウン90秒"
"100506","22400000000000","100506","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1","物理攻撃ダウン90秒"
"100507","21560000000000","100507","1005","36000","バトル開始から90秒間、敵の物理防御力がダウン","1","物理防御ダウン90秒"
"100508","20720000000000","100508","1005","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1","魔法防御ダウン90秒"
