ef542ce070544d01dcc0797b66739fac08053d8b3a9c9f73a90302f9b27eba31,518b6a66f4324fde5e0912002c3d994af6707a81b6b2a76cf9c3781e71d94938,c673ac66756515239ba5c6044545b342bcaaba677ba6f64180bd75c1894fa1c7,160d9b27a6d930e4a48137a8b3db11c1e1c016ce8949a5d83ff00f567c124471,f24435d94cbb220515860938bc6f3c1fc1942776b744444e82674b3719f51dbb
"137","2520101","エルピス討魔戦線","25201","-1"
"6111","2520102","ストーリーイベント","25201","1"
"7001","2520104","復刻ストーリーイベント","25201","3"
"107","2520105","クランバトル","25201","4"
"132","2520106","深淵討伐戦","25201","5"
"210","2520108","マスターショップ","25201","7"
"137","2520201","エルピス討魔戦線","25202","-1"
"6111","2520202","ストーリーイベント","25202","1"
"7001","2520204","復刻ストーリーイベント","25202","3"
"107","2520205","クランバトル","25202","4"
"132","2520206","深淵討伐戦","25202","5"
"210","2520208","マスターショップ","25202","7"
"137","2520301","エルピス討魔戦線","25203","-1"
"6111","2520302","ストーリーイベント","25203","1"
"7001","2520304","復刻ストーリーイベント","25203","3"
"107","2520305","クランバトル","25203","4"
"132","2520306","深淵討伐戦","25203","5"
"210","2520308","マスターショップ","25203","7"
"137","2520401","エルピス討魔戦線","25204","-1"
"6111","2520402","ストーリーイベント","25204","1"
"7001","2520404","復刻ストーリーイベント","25204","3"
"107","2520405","クランバトル","25204","4"
"132","2520406","深淵討伐戦","25204","5"
"210","2520408","マスターショップ","25204","7"
"137","2520501","エルピス討魔戦線","25205","-1"
"6111","2520502","ストーリーイベント","25205","1"
"7001","2520504","復刻ストーリーイベント","25205","3"
"107","2520505","クランバトル","25205","4"
"132","2520506","深淵討伐戦","25205","5"
"210","2520508","マスターショップ","25205","7"
"137","2520601","エルピス討魔戦線","25206","-1"
"6111","2520602","ストーリーイベント","25206","1"
"7001","2520604","復刻ストーリーイベント","25206","3"
"107","2520605","クランバトル","25206","4"
"132","2520606","深淵討伐戦","25206","5"
"210","2520608","マスターショップ","25206","7"
"210","14000101","マスターショップ","140001","1"
"216","14000102","コネクトショップ","140001","2"
"210","15000101","マスターショップ","150001","1"
"216","15000102","コネクトショップ","150001","2"
"210","15000201","マスターショップ","150002","1"
"216","15000202","コネクトショップ","150002","2"
"210","15000301","マスターショップ","150003","1"
"216","15000302","コネクトショップ","150003","2"
"210","15000401","マスターショップ","150004","1"
"216","15000402","コネクトショップ","150004","2"
"210","15000501","マスターショップ","150005","1"
"216","15000502","コネクトショップ","150005","2"
"210","15000601","マスターショップ","150006","1"
"216","15000602","コネクトショップ","150006","2"
"210","15000701","マスターショップ","150007","1"
"216","15000702","コネクトショップ","150007","2"
"210","15000801","マスターショップ","150008","1"
"216","15000802","コネクトショップ","150008","2"
"210","15000901","マスターショップ","150009","1"
"216","15000902","コネクトショップ","150009","2"
"210","15001001","マスターショップ","150010","1"
"216","15001002","コネクトショップ","150010","2"
