f861e96c1b6ef6e5a2a70227108760a7da20136682d6ca50c24037bbfb5677e0,376252485a28642064ec1313cc135ce165d7dadb1ce279d7f5c3ddeda5804038
"101","0"
"102","0"
"103","0"
"104","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"120","0"
"121","0"
"123","0"
"125","0"
"126","0"
"127","0"
"130","0"
"131","0"
"132","0"
"133","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","0"
"401","0"
"402","0"
"501","0"
"905","0"
"909","0"
"6004","0"
"6005","0"
"6006","0"
"6007","0"
"6010","0"
"6011","0"
"6012","0"
"6013","0"
"6101","0"
"6114","0"
"6115","0"
"6116","0"
"6117","0"
"7004","0"
"7005","0"
"7006","0"
"7007","0"
"7010","0"
"7011","0"
"7012","0"
"7114","0"
"7115","0"
"7116","0"
"8004","0"
"8005","0"
"8006","0"
"8007","0"
"8010","0"
