cde6b7b6ab2d3f372b663ea928bba93d71cc0722c5842d01af4dc85c5caad159,78de2a031161e34c04d8793d80e022a146e4c3a4da718620c233abdc053ac49b,f1c51cf59b899b43a8edee9e2b9987e96a6001f6fbd4e4597d982556b302e176,9823f34a6d35a22b763029facbb14e05d92cf8128677609a8019fc33f366f120,4b7c107885d0ad094ed3a606e7234c67531cb996b521a57c9dc473a699d50e68,8c8e888c9610a42b722efe817155ee28d569e091a00e2d6c35d1c8427790f438,821b3738e954a751171cc2c0927a2cdf308863240a1c269e16faf9694a0ce949,6656bb1585962eac67953732ff280a625d72d4412f6db9878f240df962d542bf,5c481c5e0e4876b2ceb275c43cae51014ddcdd7801e0ee5ee61d00f043164e11,0d937f7dc4e06076d608931b16e9daceaa305fb0a96ae8914eb8450edb50bb5b,a106b999f9e5ee1a966f965c5518613fe44a1cae1d9912ab4631e18086848a7c
"2","8","10","25021","25015","91002","31","8","2","285001001","1"
"2","8","10","25021","25015","91002","31","8","2","285001002","2"
"2","8","10","25021","25015","91002","32","8","2","285001003","3"
"2","8","10","25021","25015","91002","32","8","2","285001004","4"
"2","8","10","25021","25015","91002","33","8","2","285001005","5"
"2","8","10","25021","25015","91002","33","9","2","285001006","6"
"2","8","10","25021","25015","91002","34","9","2","285001007","7"
"2","8","10","25021","25015","91002","35","9","2","285001008","8"
"2","8","10","25021","25015","91002","35","9","2","285001009","9"
"2","8","30","25021","25015","91002","37","10","2","285001010","10"
"2","8","10","25021","25015","91002","41","10","2","285001011","11"
"2","8","10","25021","25015","91002","43","11","2","285001012","12"
"2","8","10","25021","25015","91002","46","11","2","285001013","13"
"2","8","10","25021","25015","91002","48","12","2","285001014","14"
"2","8","10","25021","25015","91002","50","12","2","285001015","15"
"2","8","10","25021","25015","91002","53","13","2","285001016","16"
"2","8","10","25021","25015","91002","55","14","2","285001017","17"
"2","8","10","25021","25015","91002","58","14","2","285001018","18"
"2","8","10","25021","25015","91002","60","15","2","285001019","19"
"2","8","30","25021","25015","91002","62","15","2","285001020","20"
"2","8","10","25021","25015","91002","68","16","2","285001021","21"
"2","8","10","25021","25015","91002","70","16","2","285001022","22"
"2","8","10","25021","25015","91002","72","16","2","285001023","23"
"2","8","10","25021","25015","91002","75","17","2","285001024","24"
"2","8","10","25021","25015","91002","77","18","2","285001025","25"
"2","8","10","25021","25015","91002","79","18","2","285001026","26"
"2","8","10","25021","25015","91002","82","19","2","285001027","27"
"2","8","10","25021","25015","91002","84","19","2","285001028","28"
"2","8","10","25021","25015","91002","86","19","2","285001029","29"
"2","8","30","25021","25015","91002","89","20","2","285001030","30"
"2","8","10","25021","25015","91002","94","20","2","285001031","31"
"2","8","10","25021","25015","91002","96","21","2","285001032","32"
"2","8","10","25021","25015","91002","99","21","2","285001033","33"
"2","8","10","25021","25015","91002","101","22","2","285001034","34"
"2","8","10","25021","25015","91002","103","22","2","285001035","35"
"2","8","10","25021","25015","91002","106","23","2","285001036","36"
"2","8","10","25021","25015","91002","108","23","2","285001037","37"
"2","8","10","25021","25015","91002","111","24","2","285001038","38"
"2","8","10","25021","25015","91002","113","25","2","285001039","39"
"2","8","30","25021","25015","91002","115","25","2","285001040","40"
"2","8","10","25021","25015","91002","121","26","2","285001041","41"
"2","8","10","25021","25015","91002","123","27","2","285001042","42"
"2","8","10","25021","25015","91002","125","28","2","285001043","43"
"2","8","10","25021","25015","91002","128","28","2","285001044","44"
"2","8","10","25021","25015","91002","130","29","2","285001045","45"
"2","8","10","25021","25015","91002","132","30","2","285001046","46"
"2","8","10","25021","25015","91002","135","30","2","285001047","47"
"2","8","10","25021","25015","91002","137","31","2","285001048","48"
"2","8","10","25021","25015","91002","139","31","2","285001049","49"
"2","8","30","25021","25015","91002","142","31","2","285001050","50"
"2","8","10","25021","25015","91002","144","32","2","285001051","51"
"2","8","10","25021","25015","91002","146","32","2","285001052","52"
"2","8","10","25021","25015","91002","149","32","2","285001053","53"
"2","8","10","25021","25015","91002","152","33","2","285001054","54"
"2","8","10","25021","25015","91002","155","33","2","285001055","55"
"2","8","10","25021","25015","91002","157","33","2","285001056","56"
"2","8","10","25021","25015","91002","160","34","2","285001057","57"
"2","8","10","25021","25015","91002","163","34","2","285001058","58"
"2","8","10","25021","25015","91002","166","34","2","285001059","59"
"2","8","30","25021","25015","91002","169","35","2","285001060","60"
"2","8","10","25021","25015","91002","171","35","2","285001061","61"
"2","8","10","25021","25015","91002","174","35","2","285001062","62"
"2","8","10","25021","25015","91002","177","36","2","285001063","63"
"2","8","10","25021","25015","91002","180","36","2","285001064","64"
"2","8","10","25021","25015","91002","182","36","2","285001065","65"
"2","8","10","25021","25015","91002","185","37","2","285001066","66"
"2","8","10","25021","25015","91002","187","37","2","285001067","67"
"2","8","10","25021","25015","91002","190","37","2","285001068","68"
"2","8","10","25021","25015","91002","193","38","2","285001069","69"
"2","8","30","25021","25015","91002","196","38","2","285001070","70"
