09a11528222639179fb43b9706012821dd417052126ba2eae4a8bfdbbd07c35b,665338159ccd63318e2f79c86f4bf4282cc53f45dfb0c0b613b9e168abe5da02,6abf07217b3946c9425baf4b2ca80e9618317af01042c6a1b1d8b9946a14029e,09a373c096dddbc769c64b7e7e9aed720e8499c94182555bc48f8fc8962666d7,ee3cbd0df30a0622af4e7a0f9628eaa7f47fe56db39c7998471ab17b8dab6916,6d0b7398d733e05cb85ab713559201d78bba255267b8d3b8a2f0db1acd4683d6,c5d988dfeeca1d85ea90d36006fa99eb5b2b32bdd52be196161273e6869e1758,0c4ddf61472a39a80c5a43d6be3329e436340f264feed0c6ddfe344b9cc85636,162d1f873bea23f37958b41d6c2e1494e1afb2991fa4c717e120d4b712c92288,dd9a3b956b393b4d64affefe80083c411e9975197e411f304dedac4dcb15edd3,b32f43e543964c4ea5336250fe43efb6b3725b24bd5f24a491e5ebacbb09c78b,8240a0fd9993e820a8624c225d5eb490d1d545eb33b55d309920cddddcb10ebb,1c05e2f38243431f56046ffa42e210c97995ba1a872d6555ac3e2ab06680b66e,e44d9294e0eb86a5c7e58f3631dbe78f434e5284cef74545656721c6b2ea2057,6dc979d1fa1a8a3b731d58549eec1790c579cdf851f140278e7349127488238c,d818b2b6e53b981f156a6077b04c553bee1d8a78e38279bd1d5a87074962719e,c78ada34389ea9231b86b11cae633ccc06dd2dfefa27b01e3308b3a173b0d9f1,5138d0c94678f9efa4541766441693de558978999c5422914b89ac89b08d1d20,1bf39f12f7c480749a39ab3bebfe4d679df5056356d935a3143ef50cbf0477b2,f85a5cce5bd7e6664b276bebb13b9d24713786bc29d4ca7b4f6113c6f794becc,14f0527ac2b7fafe284077b5ecebfbf3effd0c38c59a64e3903fa9f80f021e7b,d442364e9485351eb3a29bcc6189f94c282ad0333b129816ccc63c494fb1f7b7,39cf7826e0986db54392e138d8ea958e48c460174c1b9d4444315093a5274d1f,48be942dceb75ac58581428ae5773031fa6bfb72a5c83e5ce88c5bf0aaa157f8,f28b216bc5fa7b781cdda72c6ef4947029074ac64cbdc7d97e7fd5413a6cb6cd,942bf26230d38ca45f62c2bcca6be2d070cff81072e8b509f55be29ddb8cf2a4,2badc201122720132e1d54baf92b83d884e7c53027d3a84bb5f57a35810348ca,1e23172f87b0ebbce0d1ccb0ace8f2991f28d324e7707c1e5d4b94ac174f0f80,86dde55864d7e1b096404f419a3ee7250cf72075e154cabb0bcc7b3b3e9896d0,cdb7031c15522cfc9840edeed5f1fb9c755b4f0aad81177e32a501899500a9df,fa0132ae49fb96a3d69c37b8ea07a85e0777239e5b82e37e4b398ec2933a4a03,46785605c3a47cada4cfcbec3ace9b0adf382ff5be0fe41cfe7558b96e40fe98,3d189c150149e1d0d9af2dbafe4594837459c835d03b1b9c87381199b14385a1,5af2dcb6e394502f4e635ad20a1c7224a7823e6ef03b3037253e63f896890858,ad6ada292fd2ff20bb23656008f7218eb9cee18ffa0d62fe08b5e436a94ee86d,005002bc59dc0443c79bfe7590baf74ec491dfaf4fbedf66368319bad3d5d817,8041855a24c26dcb5dce2345345ec373193efff3400fc83c71174dc2b0b1e9fd,f5ec93b7e915ba0a1426cc71547ac818a897531fa0d1d11ad4b31b3526498ec7,f2f40f4242a8b2b8ad0c7dbf4808026e99a1b5363cf938274c35d53701710d99,d3007a7c5e7b5fabebf885e33f46147f1a99c5a2c103e7c790e080dc2fcb4a17,9dc011103f405954275291ec6970e35b0f517f602c9f3eefdd229db8d0094a02,e29a6d51b6c9d26c912a3adbada6adc4a0a1dca4575441c7f40f52c552aaee51,4c80aef89e2ad34c59c83a456ebc19a122c0784c206d64ea6eec919a534c0457,8887e797b2b34d6451488e3b018417b9eaa22213e52a52030656c63d858fb055
"120","bgm_M41","0","bgm_M41","0","-50","650130012","8","0","0","100014","0","20001101","-820","0","100015","100020","1","bgm_M41","1","0","20001","0","650130011","0","bgm_M41","650130013","0","タルグム地方 1-1","100016","8","20001101","650001101","0","1","0","90","100014","bgm_M41","0","8","bgm_M41","650001124","0"
"120","bgm_M41","0","bgm_M41","0","-140","650140012","8","0","0","100014","0","20001102","-710","0","100015","100020","1","bgm_M41","1","0","20001","0","650140011","0","bgm_M41","650140013","0","タルグム地方 1-2","100016","8","20001101","650001102","0","2","0","90","100014","bgm_M41","0","8","bgm_M41","650001125","0"
"120","bgm_M41","0","bgm_M41","0","0","650150012","8","0","0","100091","0","20001103","-620","0","100092","100030","1","bgm_M41","1","0","20001","0","650150011","0","bgm_M41","650150013","0","タルグム地方 1-3","100093","8","20001101","650001103","0","3","0","90","100091","bgm_M41","0","8","bgm_M41","650001126","0"
"120","bgm_M41","0","bgm_M41","0","-90","650160012","8","0","0","100041","0","20001104","-500","0","100042","100040","1","bgm_M41","1","0","20001","0","650160011","0","bgm_M41","650160013","0","タルグム地方 1-4","100043","8","20001101","650001104","0","4","0","90","100041","bgm_M41","0","8","bgm_M41","650001127","0"
"120","bgm_M41","0","bgm_M41","0","45","650170012","8","0","0","100091","0","20001105","-425","0","100092","100030","1","bgm_M41","1","0","20001","0","650170011","0","bgm_M41","650170013","0","タルグム地方 1-5","100093","8","20001101","650001105","0","5","0","90","100091","bgm_M41","0","8","bgm_M41","650001123","0"
"135","bgm_M41","0","bgm_M41","0","0","650180012","9","0","0","100061","0","20001106","-280","0","100062","100010","1","bgm_M41","1","0","20001","0","650180011","0","bgm_M41","650180013","0","タルグム地方 1-6","100063","9","20001101","650001106","0","6","0","90","100061","bgm_M41","0","9","bgm_M41","650001124","0"
"135","bgm_M41","0","bgm_M41","0","-160","650190012","9","0","0","100021","0","20001107","-220","0","100022","100050","1","bgm_M41","1","0","20001","0","650190011","0","bgm_M41","650190013","0","タルグム地方 1-7","100023","9","20001101","650001107","0","7","0","90","100021","bgm_M41","0","9","bgm_M41","650001125","0"
"135","bgm_M41","0","bgm_M41","0","-10","650200012","9","0","0","100041","0","20001108","-100","0","100042","100040","1","bgm_M41","1","0","20001","0","650200011","0","bgm_M41","650200013","0","タルグム地方 1-8","100043","9","20001101","650001108","0","8","0","90","100041","bgm_M41","0","9","bgm_M41","650001126","0"
"135","bgm_M41","0","bgm_M41","0","30","650210012","9","0","0","100014","0","20001109","30","0","100015","100020","1","bgm_M41","1","0","20001","0","650210011","0","bgm_M41","650210013","0","タルグム地方 1-9","100016","9","20001101","650001109","0","9","0","90","100014","bgm_M41","0","9","bgm_M41","650001127","0"
"135","bgm_M41","0","bgm_M41","0","-80","650220012","9","0","0","100091","0","20001110","140","0","100092","100030","1","bgm_M41","1","0","20001","0","650220011","0","bgm_M41","650220013","0","タルグム地方 1-10","100093","9","20001101","650001110","0","10","0","90","100091","bgm_M41","0","9","bgm_M41","650001122","0"
"150","bgm_M41","0","bgm_M41","0","61","650230012","10","0","0","100101","0","20001111","260","0","100102","100070","1","bgm_M41","1","0","20001","0","650230011","0","bgm_M41","650230013","0","タルグム地方 1-11","100103","10","20001101","650001111","0","11","0","90","100101","bgm_M41","0","10","bgm_M41","650001124","0"
"150","bgm_M41","0","bgm_M41","0","-96","650240012","10","0","0","100061","0","20001112","345","0","100062","100010","1","bgm_M41","1","0","20001","0","650240011","0","bgm_M41","650240013","0","タルグム地方 1-12","100063","10","20001101","650001112","0","12","0","90","100061","bgm_M41","0","10","bgm_M41","650001125","0"
