305fe76d17eeae990ad22222815fe3215eed1481249ab909daaef85a0c48c266,f3b832a4958791cacd6d04832838d96116f3a1f7d026256be5d1821014946995,8429864b69cefbad484c0d35d4104bd26204da940e80d9988eb21cecafa4c560,f70da9047b61f0cd92c3a5191446853e4545d6976df987d94c6ed48239adfb47,c4ca451eab1e6bc03d99fdb31d320a05d49c9779c9cb88319bfcd5e76a052ff1,215ef5a32ff84ff76e33fd57c00a6eb21b9ff486ef71e5cdefb841a4bf1f79d1,3f8bfe06fb3ca9aeaee2020722a1f9d18244bd971a5a13bd96056d7c039e860e,014bd6380bee8f935ed2b442823baefecae645044bd33830277c980196b9a5e5,e530ae8d9ef38f93f353224644504ff82cc6ec5d0100d5d2816976303d7a4cfe,0ba4190c87aa8fda74ac47c5739f5d5a97b2683f7f26790dd467e5b97b4bcdd1,52f4fef0a09d5473900de4d0dd218fcd1f03a1a0e784b9f07fe454e4fa1189a7,f2e5914f9951b00af962383d8f7fd7cdc8424b04dc3768c1da3111df44819dba,2fe8d215c8b8e6774b9a85c6d2479c2dfe55423a371fa37dbddbf8361aef3ee5,5d688bca4ea96b4612c85e91ab877838aafcd465c259dc22a13a6f8a909d157b,168ec2ce29ec019f57fece0e3b8157877b713b298966d40cd780e2e22d96c5f4,ea67b08caac81bbb1f84eb6eafb82fb0939a4d205441a24ba3c041a0e36a94ac
"201","2","1","980","401","1008201","455","2","3","1","-110","501","215","70","101","301"
"202","2","1","515","402","1008202","230","2","3","2","-110","502","215","70","102","302"
"203","2","1","515","403","1008203","230","1","3","3","-110","503","215","70","103","303"
"204","2","1","515","404","1008204","230","1","3","4","-110","504","215","70","104","304"
"205","2","1","787","405","1008205","355","2","3","5","-110","505","233","78","105","305"
"206","2","1","787","406","1008206","355","3","3","6","-110","506","233","78","106","306"
"207","2","1","777","407","1008207","345","3","3","7","-110","507","233","88","107","307"
"208","2","1","777","408","1008208","345","1","3","8","-110","508","233","88","108","308"
"209","2","1","777","409","1008209","345","1","3","9","-110","509","233","88","109","309"
"210","2","1","810","410","1008210","355","3","3","10","-110","510","233","88","110","310"
"211","2","1","777","411","1008211","345","2","3","11","-110","511","233","88","111","311"
"212","2","1","515","412","1008212","230","2","3","12","-110","512","215","70","112","312"
"213","2","1","810","413","1008213","355","1","3","13","-110","513","233","78","113","313"
"214","2","1","515","414","1008214","230","1","3","14","-110","514","215","70","114","314"
"215","2","1","515","415","1008215","230","3","3","15","-110","515","215","70","115","315"
"216","2","1","655","416","1008216","275","2","3","16","-110","516","215","70","116","316"
"217","2","1","515","417","1008217","230","3","3","17","-110","517","215","70","117","317"
"218","2","1","777","418","1008218","345","3","3","18","-110","518","233","88","118","318"
