2d83aae9c30cd9ad214ed51427383d01605b75cd9562d2e7461048b92217972f,28d9aaeaaaeac5c960323fbc0472f167ebc9745ccf1fba6627c85a324950083c,bc4a8a994c588ed39b25f6a6cf6e83e832791e908d046bd7d2e0eb763cf5d823,30f471ea01679a98324239164d1deda8a23a3d0b94f19ccef83414519b2d71fb,ce582f2cedf5674ca468b4d33f761e6ab246e80cc29470cb650f3d5fec99c333,969d149c6af89ea5e00bb50c1dec0cea1313797a315a66725cc7a7a45d8dead1,7017df4a966b55f74744a9769aec541b2e047d90a2cf717982fb2c83146bc099,d4a031616084d9368add4387ce734ef3b88d7730129839afdcedfb1aea7f0fcc,4c6739f1c75af06f3a154eb83e187dff896f09ccaf2ece985e3f858725d3314a,0bcb7adaf21ea41f6d1c620fbe8c41a2c0fabe055321acceecf9c96e91e1501c,dad6f39114c1dbf1d7c40b435b8a69a94a6bab5430a626f646ae6922038df3fc
"110311","1","idle_normal","110","382","5152061","-280","1.55","1","1","61001"
"131911","1","idle_normal","106","145","5152061","-210","1.55","0","1","61002"
"102311","1","joy_idle_normal","107","-50","5152061","-225","1.55","0","1","61003"
"102111","1","wish_idle","108","-245","5152061","-240","1.55","0","1","61004"
"107711","1","idle_normal","109","-440","5152061","-255","1.55","0","1","61005"
"122811","1","doya_idle","103","40","5152061","-105","1.45","0","1","61006"
"122911","1","idle_normal","104","-160","5152061","-120","1.45","0","1","61007"
"122711","1","idle_normal","105","-355","5152061","-135","1.45","0","1","61008"
"210","110311","","","","5152061","","","","13","61009"
"206","131911","","","","5152061","","","","13","61010"
"209","107711","","","","5152061","","","","13","61011"
"205","122711","","","","5152061","","","","13","61012"
"203","122811","","","","5152061","","","","13","61013"
"204","122911","","","","5152061","","","","13","61014"
"208","102111","","","","5152061","","","","13","61015"
"207","102311","","","","5152061","","","","13","61016"
"2","2","empty","210","-110","5152061","160","0.75","0","5","61017"
"3","3","empty","210","352","5152061","-45","1","0","5","61018"
"1","1","","0","0","5152061","1","1","","31","61019"
"2","2","","0","0","5152061","1","0","","31","61020"
"3","3","","0","0","5152061","1","1","","31","61021"
"11","11","","0","0","5152061","1","0","","31","61022"
"0","0","","","","5152061","","","","91","61023"
"telop_1","3","","","","5152061","","","","37","61024"
"0","0","","0","","5152061","","","","102","61025"
"0","1","","","","5152061","","","","93","61026"
"callout_in","110311","","0","callout_loop","5152061","1","0.2","0","3","61027"
"0","0.1","","","","5152061","","","","93","61028"
"vo_rag_6001","vo_rag","","0","0","5152061","","","","21","61029"
"1001_in","3","","0","","5152061","","0","","3","61030"
"1","1.9","","","","5152061","","","","93","61031"
"1001_mid","3","","0","","5152061","","0","","3","61032"
"","","","","","5152061","","","","92","61033"
"1001_out","3","","0","","5152061","","0","","3","61034"
"0","0.2","","","","5152061","","","","93","61035"
"doya_idle_joy1R","110311","","1","","5152061","","0.3","","3","61036"
"gutsB_in_joy","102311","","0","gutsB_talk_joy","5152061","1","0.2","0","3","61037"
"wish_talk","102111","","1","","5152061","","0.2","","3","61038"
"hello_2","131911","","0","idle_normal_joy","5152061","1","0.2","0","3","61039"
"sad_talk_joy","107711","","1","","5152061","","0.2","","3","61040"
"handsup_in","122811","","0","handsup_loop","5152061","1","0.2","0","3","61041"
"leanforward_joy","122911","","1","","5152061","","0.2","","3","61042"
"talk_normal","122711","","1","","5152061","","0.2","","3","61043"
"vo_rag_6002","vo_rag","","0","0","5152061","","","","21","61044"
"-110","3","","142","0","5152061","0","","","2","61045"
"1002_in","3","","0","","5152061","","0","","3","61046"
"1","1.9","","","","5152061","","","","93","61047"
"1002_mid","3","","0","","5152061","","0","","3","61048"
"","","","","","5152061","","","","92","61049"
"1002_out","3","","0","","5152061","","0","","3","61050"
"gutsB_idle","102311","","1","","5152061","","0.2","","3","61051"
"wish_idle","102111","","1","","5152061","","0.2","","3","61052"
"idle_normal","131911","","1","","5152061","","0.2","","3","61053"
"sad_idle_normal","107711","","1","","5152061","","0.2","","3","61054"
"cool_idle","122811","","1","","5152061","","0.2","","3","61055"
"idle_normal_joy1R","122911","","1","","5152061","","0.2","","3","61056"
"wish_idle","122711","","1","","5152061","","0.2","","3","61057"
"gutsB_in","110311","","0","gutsB_talk","5152061","1","0.2","0","3","61058"
"vo_rag_6003","vo_rag","","0","0","5152061","","","","21","61059"
"おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","110311","0","10","1","5152061","1","0","15","11","61060"
"","0","","0","0","5152061","","","","91","61061"
"bgm_MC175B","bgm_MC175B","","","","5152061","","","","25","61062"
"1","2","","","","5152061","","","","32","61063"
"kids_gungun_in","110311","","0","kids_gungun_loop","5152061","1","0.2","0","3","61064"
"vo_rag_6004","vo_rag","","0","0","5152061","","","","21","61065"
"まずは空に向かって\n腕をグングン伸ばしてー！","110311","1.7","10","1","5152061","0","0","0","11","61066"
"0","0.1","","","","5152061","","","","93","61067"
"kids_gungun_in","131911","","0","kids_gungun_loop","5152061","1","0.2","0","3","61068"
"kids_gungun_in","102311","","0","kids_gungun_loop","5152061","1","0.2","0","3","61069"
"kids_gungun_in","102111","","0","kids_gungun_loop","5152061","1","0.2","0","3","61070"
"kids_gungun_in","107711","","0","kids_gungun_loop","5152061","1","0.2","0","3","61071"
"kids_gungun_in","122811","","0","kids_gungun_loop","5152061","1","0.2","0","3","61072"
"kids_gungun_in","122911","","0","kids_gungun_loop","5152061","1","0.2","0","3","61073"
"kids_gungun_in","122711","","0","kids_gungun_loop","5152061","1","0.2","0","3","61074"
"0","5.2","","","","5152061","","","","93","61075"
"","61066","","0","0","5152061","","","","91","61076"
"vo_rag_6005","vo_rag","","0","0","5152061","","","","21","61077"
"グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","102311","2.3","10","1","5152061","0","13","60","11","61078"
"0","7.8","","","","5152061","","","","93","61079"
"","61078","","0","0","5152061","","","","91","61080"
"kids_furifuri","110311","","1","","5152061","","0.3","","3","61081"
"vo_rag_6006","vo_rag","","0","0","5152061","","","","21","61082"
"今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","110311","1.7","10","1","5152061","0","21","17","11","61083"
"0","0.1","","","","5152061","","","","93","61084"
"kids_furifuri","131911","","1","","5152061","","0.3","","3","61085"
"kids_furifuriB","102311","","1","","5152061","","0.3","","3","61086"
"kids_furifuri","102111","","1","","5152061","","0.3","","3","61087"
"kids_furifuriB","107711","","1","","5152061","","0.3","","3","61088"
"kids_furifuri","122811","","1","","5152061","","0.3","","3","61089"
"kids_furifuriB","122911","","1","","5152061","","0.3","","3","61090"
"kids_furifuri","122711","","1","","5152061","","0.3","","3","61091"
"0","7.3","","","","5152061","","","","93","61092"
