e584c5dc30814f5b87188ae1c7e7251673d04e942dbda82090f034278642ba5f,015cb7cb56dbdd18258f6f3b2bd3c87334f975b6760f02335b677f5bd2ce601f,98d6302572ce89bf8adcfceffda6df4d8723a63d4c24660eadfab4101da28ee8,d5abed07b140f421bf4c964fe0de92ef526ae5614696a2e8a31dcf8f5655645e,f816e57ba86e893c59fe36dabb81e4c53cba94d2df67ba85d5e6f6f4b501bb16
"#D23232","101","90009","片手剣","red"
"#D23232","102","90009","両手剣","red"
"#D23232","103","90009","短剣","red"
"#D23232","104","90009","槍","red"
"#D23232","105","90009","斧","red"
"#D23232","106","90009","弓","red"
"#D23232","107","90009","拳","red"
"#D23232","108","90009","盾","red"
"#D23232","109","90009","杖","red"
"#D23232","110","90009","本","red"
"#476FD8","201","90010","服","blue"
"#476FD8","202","90010","鎧","blue"
"#476FD8","203","90010","白ローブ","blue"
"#476FD8","204","90010","黒ローブ","blue"
"#E5681E","301","90011","指輪","yellow"
"#E5681E","302","90011","腕輪","yellow"
"#E5681E","303","90011","ネックレス","yellow"
"#E5681E","304","90011","宝珠","yellow"
"#E5681E","305","90011","イヤリング","yellow"
