d2f3342dacb8625d1387eaf425a18065b72fc7c921d6240054ab5733aaea8620,ac5f0e881ffc2b1312148f3e6c5d765b26dcdc8ef608c11b1e6db90f0eb59c96,1644e252f8f5d6ec0028f6782f1e08c1e087ba92bc8a2b01dd0ea9f3c2200336,87ea752a0a50394dd144b1b53012c432abac293dffb7891b17fb1c91e9aa77e2,77654e7a4252f35c2a572080d5af6bf47abf2d6af1b9425f3cad00df867cd5cc,2d217ae83ae9658b9639e48c12a561f8cbcf7f55789331d75efe10dcc8246c4e,bccebf413a0eff776f27dbfd1ed77b1ffd7244f9a6a89f11820e69d696ba8c7b,14fca0c3017f5b78f03e5715e14488a04cadb5764742e295afc1a3cd224e58a7,406b099fd25025a15bf6ef02bd42de596f1ea652402a1bca4bf7f513f6be09b7,b0609c83e960fbe1cf35bb6e80040fd9264f0ab177ccf2bc529f3747c08e8f8b
"3","-1","53003","8","10001","2","22","","2","15"
"3","14","53003","5","10002","1","22","","1","1"
"3","0","52019","2","10003","0","23","ワカナの施し","0","0"
"4","-1","53003","8","10004","2","22","","2","15"
"4","14","53003","5","10005","1","22","","1","1"
"4","0","52019","2","10006","0","23","ワカナの施し","0","0"
"5","-1","53003","8","10007","2","22","","2","15"
"5","14","53003","5","10008","1","22","","1","1"
"5","0","52019","2","10009","0","23","ワカナの施し","0","0"
"6","-1","53003","8","10010","2","22","","2","15"
"6","14","53003","5","10011","1","22","","1","1"
"6","0","52019","2","10012","0","23","ワカナの施し","0","0"
"7","-1","53003","8","10013","2","22","","2","15"
"7","14","53003","5","10014","1","22","","1","1"
"7","0","52019","2","10015","0","23","ワカナの施し","0","0"
"8","-1","53003","8","10016","2","22","","2","15"
"8","14","53003","5","10017","1","22","","1","1"
"8","0","52019","2","10018","0","23","ワカナの施し","0","0"
"9","-1","53003","8","10019","2","22","","2","15"
"9","14","53003","5","10020","1","22","","1","1"
"9","0","52019","2","10021","0","23","ワカナの施し","0","0"
"10","-1","53003","8","10022","2","22","","2","15"
"10","14","53003","5","10023","1","22","","1","1"
"10","0","52019","2","10024","0","23","ワカナの施し","0","0"
"11","-1","53003","8","10025","2","22","","2","15"
"11","14","53003","5","10026","1","22","","1","1"
"11","0","52019","2","10027","0","23","ワカナの施し","0","0"
