81cb7e7871e5aa3c375f16603c0f293543de82065385b6f0fa3c4a2fb668a1b2,cf400a94ed1a47676c883dcd6b6d3c1e4e3bd26495c846375d228b704961056e,bba305162197bd935f679d24db70f0938b082434b81d2ae397bc479dd4cb7e48,43bdbf8680f572f22e6433ca0a629d902ee8f1dda455daaeab83963891abe539,4900b3abfc93d37215d03bd5a60bc0078657b29249508441aedd0462c64c092b,12eb46c15d561ea607cf400913ed0baad6fa22732fc6e8e603a14e0736daee91,bcc0177ff6a9b98412740bc959e8bb8392551d05874eff6c96a637376ed3e9f6,8c8a607a9f522be7ec60e88bc46545714ea4bcb2876dad564f558778905959ea,afa42cc1990570f9a8e87b73f9fc96363a0473e7b700d4811e9ea9b065a85e61,f3c03fecdcfade3b06b154fd7246b813038019c47a0a502cca1001a4884d88d9,4e82a25d08aca92774bf04e7bc95329cefcc20feb09a1fea3f53652e61042c68,f73ffca8ba3f50db247ffc4f2e6e1be303a2fac71ca61761e3cfed7e66dc532f,bbcdd3eace7145bfd531d33cdf63e5609966d8da522bfdd231750a217296c76c,8de0d4f586adc08e52746e28f7eed2669a124658282c0f3ccfa6b482acbb0cc0
"いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","1.47","10001","1","2023/09/22 14:59:59","-470","1","2023/06/30 12:00:00","0","2","1","クローチェ","126401","2002"
"素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","2.15","10002","1","2023/09/22 14:59:59","-470","2","2023/06/30 12:00:00","0","1","2","クローチェ","126401","2002"
"ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","0","10003","1","2023/09/22 14:59:59","-470","1","2023/06/30 12:00:00","0","2","2","ライラエル","126501","2002"
"こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","0","10004","1","2023/09/22 14:59:59","-470","2","2023/06/30 12:00:00","0","1","1","ライラエル","126501","2002"
"いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","0","10005","2","2023/12/22 14:59:59","-470","1","2023/09/15 15:00:00","0","2","2","リンド","127702","2002"
"ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","0","10006","2","2023/12/22 14:59:59","-470","2","2023/09/15 15:00:00","0","2","2","リンド","127702","2002"
"ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","0","10007","2","2023/12/22 14:59:59","-470","1","2023/09/15 15:00:00","0","1","1","ヴルム","127802","2002"
"なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","6.5","10008","2","2023/12/22 14:59:59","-470","2","2023/09/15 15:00:00","0","1","2","ヴルム","127802","2002"
"──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","0","10009","3","2024/03/22 14:59:59","-470","1","2023/12/15 15:00:00","0","1","2","アネモネ","129602","2002"
"──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","0","10010","3","2024/03/22 14:59:59","-470","2","2023/12/15 15:00:00","0","1","2","アネモネ","129602","2002"
"ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","0","10011","3","2024/03/22 14:59:59","-470","1","2023/12/15 15:00:00","0","1","1","ネフィ=ネラ","129701","2002"
"ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","6.2","10012","3","2024/03/22 14:59:59","-470","2","2023/12/15 15:00:00","0","1","2","ネフィ=ネラ","129701","2002"
"い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","3.1","10013","4","2024/06/22 14:59:59","-470","1","2024/03/15 15:00:00","0","5","3","カノン","130301","2002"
"あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","6.15","10014","4","2024/06/22 14:59:59","-470","2","2024/03/15 15:00:00","0","2","3","カノン","130301","2002"
"いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","0","10015","4","2024/06/22 14:59:59","-470","1","2024/03/15 15:00:00","0","2","2","ナーナ","130401","2002"
"甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","3.35","10016","4","2024/06/22 14:59:59","-470","2","2024/03/15 15:00:00","0","1","2","ナーナ","130401","2002"
"ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","0","10017","5","2024/09/22 14:59:59","-470","1","2024/06/15 15:00:00","0","1","1","ホウオウ","130502","2002"
"ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","3.18","10018","5","2024/09/22 14:59:59","-470","2","2024/06/15 15:00:00","0","1","2","ホウオウ","130502","2002"
"うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","0","10019","5","2024/09/22 14:59:59","-470","3","2024/06/15 15:00:00","0","4","4","ホウオウ","130503","2002"
"おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","4.9","10020","5","2024/09/22 14:59:59","-470","1","2024/06/15 15:00:00","0","2","1","ネア","123301","2002"
"ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","4.8","10021","5","2024/09/22 14:59:59","-470","2","2024/06/15 15:00:00","0","2","1","ネア","123301","2002"
"ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","4.922","10022","6","2024/12/22 14:59:59","-470","1","2024/09/15 15:00:00","0","1","3","カリザ","133301","2002"
"い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","9.638","10023","6","2024/12/22 14:59:59","-470","2","2024/09/15 15:00:00","0","5","3","カリザ","133301","2002"
"ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","2.88","10024","6","2024/12/22 14:59:59","-470","1","2024/09/15 15:00:00","0","2","1","ミーア","133401","2002"
"私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","4.818","10025","6","2024/12/22 14:59:59","-470","2","2024/09/15 15:00:00","0","1","5","ミーア","133401","2002"
"へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","1.78","10026","7","2025/03/22 14:59:59","-470","1","2024/12/15 15:00:00","0","1","2","グレイス","133002","2002"
"商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","6.15","10027","7","2025/03/22 14:59:59","-470","2","2024/12/15 15:00:00","0","7","1","グレイス","133002","2002"
"ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","4.28","10028","7","2025/03/22 14:59:59","-470","1","2024/12/15 15:00:00","0","2","6","ヴァイオレット","133102","2002"
"じめじめした商品は\nございませんので\n安心してお買い求め下さい","0","10029","7","2025/03/22 14:59:59","-470","2","2024/12/15 15:00:00","0","1","1","ヴァイオレット","133102","2002"
"いらっしゃいましぇでしゅ\n何をお求めでしゅか？\nたこ焼きもありましゅよ！","5.53","10030","8","2025/06/23 14:59:59","-470","1","2025/03/15 15:00:00","0","1","2","ルルィ","136902","2002"
"そのコイン…ピカピカで、\n集めたくなっちゃいましゅ\nタコ釣られされちゃう～…","6.05","10031","8","2025/06/23 14:59:59","-470","2","2025/03/15 15:00:00","0","7","9","ルルィ","136902","2002"
"姫のご友人ならば\n礼儀を尽くすのが爺の務め\nさ、望みの物を言いたまえ","0","10032","8","2025/06/23 14:59:59","-470","1","2025/03/15 15:00:00","0","1","2","デュラン","137001","2002"
"キャラバンコインではなく\n首で支払って貰えんかのぅ\n…冗談であるぞ？","0","10033","8","2025/06/23 14:59:59","-470","2","2025/03/15 15:00:00","0","1","2","デュラン","137001","2002"
"おう\n好きなもん持ってきな","0","10034","9","2025/09/23 14:59:59","-470","1","2025/06/16 15:00:00","0","2","2","サツキ","135902","2002"
"宵越しの銭を持つような\n野暮いマネぁしくさんな\nツキが落ちてもしらねぇぜ","4.935","10035","9","2025/09/23 14:59:59","-470","2","2025/06/16 15:00:00","0","6","1","サツキ","135902","2002"
"ら、ら、らっしゃっせ…\nなんかほしいもん、ある？\nか、かき氷とか、ど…？","7.441","10036","9","2025/09/23 14:59:59","-470","1","2025/06/16 15:00:00","0","5","2","ユキノ","135802","2002"
"そ、そんな見ねぇで…\nあては、売りもんじゃ\nねぇよ…？","0","10037","9","2025/09/23 14:59:59","-470","2","2025/06/16 15:00:00","0","7","7","ユキノ","135802","2002"
"クルルをお求めですかっ？\nそれならお礼に、こちらの\n宝石もどうぞですよ～♪","2.295","10038","10","2025/12/22 14:59:59","-470","1","2025/09/16 15:00:00","0","2","2","クルル","130901","2002"
"はっ！　ヒーローさんから\nお代なんて頂けないです！\nどうぞどうぞ…え、ダメ？","6.281","10039","10","2025/12/22 14:59:59","-470","2","2025/09/16 15:00:00","0","6","1","クルル","130901","2002"
"よぅ！　今日の俺さまは\n門番じゃなく、店番だぜ\nメモピ～スフィア～てな！","5.549","10040","10","2025/12/22 14:59:59","-470","1","2025/09/16 15:00:00","0","1","2","ヴォルガーノ","137701","2002"
"…リマさんのブロマイド？\n買い取るに決まってらぁ！\nなんでも持ってけ泥棒っ！","2.64","10041","10","2025/12/22 14:59:59","-470","2","2025/09/16 15:00:00","0","6","3","ヴォルガーノ","137701","2002"
"こ、この格好は…ヴルムが\n集客効果があると言って…\n…本当でしょうか？","7.642","10042","11","2026/03/23 11:59:59","-470","1","2025/12/15 15:00:00","0","4","7","ライラエル","132801","2002"
"この我に店番させるとは…\n全て買わねば許さぬぞ\n我が国庫に貢献するが良い","0","10043","11","2026/03/23 11:59:59","-470","2","2025/12/15 15:00:00","0","1","1","ライラエル","132802","2002"
"アナライズっ！\n本日のオススメ商品は～…\nこちらですっ♪","0","10044","11","2026/03/23 11:59:59","-470","1","2025/12/15 15:00:00","0","1","1","クローチェ","134502","2002"
"ギガンティックローチェ、\nおひとついかがですかっ？\n格納庫用意して下さいねっ","3.72","10045","11","2026/03/23 11:59:59","-470","2","2025/12/15 15:00:00","0","1","2","クローチェ","134501","2002"
