dd55519109440d848e78f6ac982480cbbd000292005fd44f0dceaaaed269684e,813ea3e13aa62dba4cd7a4363f4e60091d26308cce6cf3860f08a35fa3cd39c1,9072043d443447d7d7e5b4b24d778362f336ad9665ee82ccba5f896951509ff5,f9ebecb7d98cd976c07291f27ad5cade29491bbd7b7c9c0cfd6eb9f3b230777c,067beb66c1088fe23870bf7dd3a26423a4da23c597c5db3b51a15683755e750a,37665d825deac44d4aaae4d9e5c366d6b0072a11c209f93695ac93d2221e4e21,3f56373f5df772c51bb4add8f297fbf780af8084c48968c6955c2586fdd61b78,0c19be11f02316ada71e426221d3fc3785fb98e13e607f9c288e7b69163b89b2,16c2ae0413337aa72a617da803d38a46288477a7dfb58c865e1a442807540b23,f24a3bec9e307adec9c3e7b4b1ac1bd161319ce0caa3aaccb5b498d334098787,51dd25f82463467bd4412dd15dde29aff113b57a1d236b072bcc420699443ec0,d7cf47edc9c07b7a132af7a4c3ce29e4f187c0d3eb6edba8035dc7659d834ae6,1f5f38c09d7d61554e14f9f661ac8a53e7e620ad32e3850cf20e026dd313ddfe,1a119bf75fc0452afc1e137cd2f21081991d1dcd4207115bbe72a2288653ee37
"401","10046","24","0","やったね、ぷうきち！\nこれならお兄ちゃんたちの\nお手本になれたよね！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","アヤネ","2","0","102301","0","24001"
"402","10046","24","2.21","私たちの勝ちだね！\nぷうきちと一緒なら\nどんなボールでも\nホームランを打ってみせるよ！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","アヤネ","1","0","102301","0","24002"
"403","10046","24","0","やったやったぁ！\nお兄ちゃん、見ててくれた？\n私、すっごくがんばったよ！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","アヤネ","2","0","102301","0","24003"
"701","10046","24","1.99","特訓の成果が出たみたいだ！\nもっと練習を重ねて\nこの調子で上達していこう！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","アサヒ","2","0","192201","0","24004"
"702","10046","24","2.21","よし、いい感じだ！\nキャプテンとしての仕事は\nきっちり果たせそうだよ","2020/07/31 12:00:00","2030/12/17 14:59:59","2","アサヒ","1","0","192201","0","24005"
"703","10046","24","3.33","試合に向けて\nいい感覚を掴めた気がするよ！\nこのまま一気に全国大会だ！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","アサヒ","2","0","192201","0","24006"
"801","10046","24","0","このくらい余裕だ\nオレたちは全国大会を\n目指してるんだからな","2020/07/31 12:00:00","2030/12/17 14:59:59","2","部員３","2","0","192301","0","24007"
"802","10046","24","2.68","オレだって\nビーチベースボール選手だ\nどんな球だろうが\n全部スタンドまで飛ばしてやる","2020/07/31 12:00:00","2030/12/17 14:59:59","2","部員３","1","0","192301","0","24008"
"803","10046","24","0","いい感じだ\nこれなら試合でも活躍できそうだ\n大暴れしてやる！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","部員３","2","0","192301","0","24009"
"501","10046","24","0","やった！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","","1","0","192501","0","24010"
"502","10046","24","0","勝ったよ！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","","1","0","192501","0","24011"
"503","10046","24","0","いい調子！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","","1","0","192501","0","24012"
"111","10046","24","5.33","あら～…もしかして\n勝っちゃったのかしら？\nみんなの練習を見ていたから\nかもしれないわね","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","6","0","113501","0","24013"
