2f8f70575475a1a07c52377fb3d63ae59277a3da683d87e755c805918877ff03,b8bd2fbfc7aa2a75ea7e270ba747a088ec1d65c3838f90775270a1dfa2bc8ebd,d175b412b30a33bd169713456781c39d471d84121ede5abbb1dae3d1aacd6371,1c98227bdb569d94f59ea3a33d16d337a05263ac1ae3d255d6a6ec1535381ed3,f2540c17b9cdd59aa055061ce43e8f28353f0fa613e829eb3f5cee36d82c82a1,053428a2a9f0ecc687cd96d0a1871f6103ee50b33157fd8ad99461962dca3862,c171f1ac41cb6858989c569f4628403288397b579b38c3357b0557bf663466c4,dfcbb074f49fda3f564244bd9f8c63fdc796701fd67e882adcd8639b4a257955
"1","3","27","0","2019/02/28 11:59:59","0","106101","2019/02/15 23:00:00"
"2","3","28","0","2019/03/19 14:59:59","0","101401","2019/02/28 12:00:00"
"3","1","29","0","2019/03/26 14:59:59","0","105501","2019/03/19 15:00:00"
"4","3","29","0","2019/03/26 14:59:59","0","106301","2019/03/19 15:00:00"
"5","2","29","0","2019/03/26 14:59:59","0","101501","2019/03/19 15:00:00"
"6","3","30","0","2019/03/31 11:59:59","0","103601","2019/03/26 15:00:00"
"7","3","30","0","2019/03/31 11:59:59","0","104901","2019/03/26 15:00:00"
"8","3","30","0","2019/03/31 11:59:59","0","104401","2019/03/26 15:00:00"
"9","2","30","0","2019/03/31 11:59:59","0","100701","2019/03/26 15:00:00"
"10","2","30","0","2019/03/31 11:59:59","0","104601","2019/03/26 15:00:00"
"11","2","30","0","2019/03/31 11:59:59","0","102701","2019/03/26 15:00:00"
"12","1","30","0","2019/03/31 11:59:59","0","100301","2019/03/26 15:00:00"
"13","1","30","0","2019/03/31 11:59:59","0","103401","2019/03/26 15:00:00"
"14","1","30","0","2019/03/31 11:59:59","0","100101","2019/03/26 15:00:00"
"15","3","31","0","2019/04/19 14:59:59","0","109201","2019/03/31 12:00:00"
"16","3","32","0","2019/04/30 11:59:59","0","109401","2019/04/19 15:00:00"
"17","3","33","0","2019/05/07 14:59:59","0","109501","2019/04/30 12:00:00"
"18","3","33","0","2019/05/07 14:59:59","0","107101","2019/04/30 12:00:00"
"19","3","34","0","2019/05/14 14:59:59","0","109501","2019/05/07 15:00:00"
"20","3","35","0","2019/05/17 14:59:59","0","103601","2019/05/14 15:00:00"
"21","2","35","0","2019/05/17 14:59:59","0","102001","2019/05/14 15:00:00"
"22","1","35","0","2019/05/17 14:59:59","0","100401","2019/05/14 15:00:00"
"23","3","36","0","2019/05/31 11:59:59","0","109601","2019/05/17 15:00:00"
"24","3","37","0","2019/06/15 11:59:59","0","109701","2019/05/31 12:00:00"
"25","3","38","0","2019/06/18 14:59:59","0","104401","2019/06/15 12:00:00"
"26","3","38","0","2019/06/18 14:59:59","0","101001","2019/06/15 12:00:00"
"27","2","38","0","2019/06/18 14:59:59","0","101701","2019/06/15 12:00:00"
"28","3","39","0","2019/06/30 11:59:59","0","109901","2019/06/18 15:00:00"
"29","3","40","0","2019/07/13 11:59:59","0","110001","2019/06/30 12:00:00"
"30","3","41","0","2019/07/18 14:59:59","0","107501","2019/07/13 12:00:00"
"31","3","41","0","2019/07/18 14:59:59","0","107801","2019/07/13 12:00:00"
"32","3","42","0","2019/07/31 11:59:59","0","110301","2019/07/18 15:00:00"
"33","3","43","0","2019/08/10 11:59:59","0","110401","2019/07/31 12:00:00"
"34","3","44","0","2019/08/15 14:59:59","0","107701","2019/08/10 12:00:00"
"35","3","44","0","2019/08/15 14:59:59","0","107901","2019/08/10 12:00:00"
"36","3","45","0","2019/08/26 11:59:59","0","110601","2019/08/15 15:00:00"
"37","3","46","0","2019/08/31 11:59:59","0","104401","2019/08/26 12:00:00"
"38","2","46","0","2019/08/31 11:59:59","0","100601","2019/08/26 12:00:00"
"39","2","46","0","2019/08/31 11:59:59","0","100701","2019/08/26 12:00:00"
"40","2","46","0","2019/08/31 11:59:59","0","103101","2019/08/26 12:00:00"
"41","1","46","0","2019/08/31 11:59:59","0","102201","2019/08/26 12:00:00"
"42","3","47","0","2019/09/03 20:59:59","0","107001","2019/08/31 12:00:00"
"43","3","47","0","2019/09/03 20:59:59","0","106101","2019/08/31 12:00:00"
"44","3","47","0","2019/09/03 20:59:59","0","107101","2019/08/31 12:00:00"
"45","3","48","0","2019/09/12 11:59:59","0","110701","2019/09/03 21:00:00"
"46","3","49","0","2019/09/16 14:59:59","0","105701","2019/09/12 12:00:00"
"47","3","49","0","2019/09/16 14:59:59","0","106301","2019/09/12 12:00:00"
"48","3","50","0","2019/09/29 11:59:59","0","110801","2019/09/16 15:00:00"
"49","3","51","0","2019/09/30 11:59:59","0","107001","2019/09/29 12:00:00"
"50","3","51","0","2019/09/30 11:59:59","0","106101","2019/09/29 12:00:00"
"51","3","51","0","2019/09/30 11:59:59","0","107101","2019/09/29 12:00:00"
"52","3","52","0","2019/10/11 11:59:59","1001","111101","2019/09/30 12:00:00"
"53","3","53","0","2019/10/16 14:59:59","0","108101","2019/10/11 12:00:00"
"54","3","53","0","2019/10/16 14:59:59","0","108301","2019/10/11 12:00:00"
"55","3","54","0","2019/10/31 11:59:59","1002","111301","2019/10/16 15:00:00"
"56","3","55","0","2019/11/11 11:59:59","1003","111401","2019/10/31 12:00:00"
"57","3","56","0","2019/11/15 14:59:59","0","105601","2019/11/11 12:00:00"
"58","2","56","0","2019/11/15 14:59:59","0","101301","2019/11/11 12:00:00"
"59","2","56","0","2019/11/15 14:59:59","0","102701","2019/11/11 12:00:00"
"60","3","57","0","2019/11/30 11:59:59","1004","106501","2019/11/15 15:00:00"
