f81c0a22d734aa96698571490509c87345444be1226bc23232c3c333cc0f8a50,11bf970fe2d9fb30299ea61651f4832188128b53a13092be7d7031c1af75d1b5,097149aaf96922ff012435ac21f22efaa1da74996418c499fbee907cd77307de
"pink","#E24E7F","101"
"pink","#E24E7F","102"
"pink","#E24E7F","103"
"pink","#E24E7F","104"
"pink","#E24E7F","105"
"pink","#E24E7F","106"
"pink","#E24E7F","107"
"pink","#E24E7F","108"
"pink","#E24E7F","109"
"pink","#E24E7F","110"
"lightblue","#3290D4","200"
"lightblue","#3290D4","201"
"lightblue","#3290D4","202"
"lightblue","#3290D4","203"
"lightblue","#3290D4","204"
"lightblue","#3290D4","205"
"lightblue","#3290D4","206"
"lightblue","#3290D4","207"
"lightblue","#3290D4","208"
"lightblue","#3290D4","209"
"lightblue","#3290D4","210"
"lightblue","#3290D4","211"
"orange","#E5681E","301"
"orange","#E5681E","302"
"orange","#E5681E","303"
"orange","#E5681E","304"
"orange","#E5681E","305"
"yellow","#C09825","401"
"yellow","#C09825","402"
"yellow","#C09825","403"
"yellow","#C09825","404"
"yellow","#C09825","405"
"blue","#476FD8","501"
"green","#339910","601"
"green","#339910","602"
"green","#339910","603"
"darkgreen","#0F8B5E","1000"
"orange","#E5681E","1001"
"green","#339910","1002"
"pink","#E24E7F","1003"
"lightblue","#3290D4","1004"
"yellow","#C09825","1005"
"yellow","#C09825","1006"
"yellow","#C09825","1007"
"yellow","#C09825","1008"
"yellow","#C09825","1009"
"yellow","#C09825","1010"
"lightblue","#3290D4","1011"
"orange","#E5681E","1012"
