86a9afa1ec89284adfc8f7d8c5059d6e9a5832678d850297a5f25bb8a791d462,841c8c3ba27ec82276de312f5568b2253ea8b8df4e03131fae97642edf64489f,82a686cdc0b1f1088309b4ee391ff8cf4150980a87d1d69778946c102c070ad7,dd877db81ae3ccb726a161f2d099863e363520e3e598c92d76ed4140bbe9bdfd,f6dae0d83a303fd941be3456f0d75df7a1b6e7d213df91ec362615a81445eabb,87fff12c03a3c87835476e5adb4d1c3eafad68ec19552fd323ec99c589e56aaf,a0057304bea7b64053f21c54810165499ea3fdb4c07fa63cb3e0b504b265b407,73858ae36d63b6227c49e2e4fb90b6b09d6ee639a65253df462474c968cefba5,212054fd80cf37ab1c95403f2f1d74e92e526750a341bec954f96e1f334acddd,16e9cfe31aa0c458b00db4fcb299b55e7f971009824710f7f199990b8497569f,02742ffd815129fec21b7a1089bed0de00fab640c32dd71c31d5c3e3a277939a,977680ab803429e7265ff2288a8dc89108f4a3b13f69557a09e58bec8345d927,1a93bbbf7347156594d08f6c2decea2ab17d181f9b576f8501fe840c9f56cf14,9fa7b626e1712547c52767c9037299cd56331d7a5164157ddc957a4524e4cc8e,d69bf91e37af2006e23721122ccfdf671340f54c11185771697e014f31d24dac,9ca4e2feb3d826e2d32f4b129590a5d023621712e9c7e204f02c2463a017a327,ffcfbfd15a161121717ded5b00cd2e2d8dedc8e6e1fe0bb82c6417a203cc3797,65d564574e9619877de3463d0b6301268b8ebe25f9f2d1aa7e4a31b4a02b09c8
"91002","8","150","0","150000","5","22003","1","5","0","12","94002","1","2","20","0","2","20003"
"91002","8","145","0","100000","2","22003","6","9","0","12","94002","2","2","15","0","2","20003"
"91002","8","140","0","80000","5","22002","10","19","0","12","94002","3","2","11","0","2","20003"
"91002","8","130","0","80000","5","22002","20","29","0","12","94002","4","2","10","0","2","20003"
"91002","8","120","0","70000","4","22002","30","39","0","12","94002","5","2","9","0","2","20003"
"91002","8","110","0","70000","4","22002","40","49","0","12","94002","6","2","8","0","2","20003"
"91002","8","100","0","60000","3","22002","50","99","0","12","94002","7","2","7","0","2","20003"
"91002","8","80","0","40000","2","22002","100","499","0","12","94002","8","2","2","0","2","20003"
"91002","8","50","0","20000","1","22002","500","999","0","12","94002","9","2","7","0","2","20002"
"91002","8","20","0","16000","3","22001","1000","4999","0","12","94002","10","2","4","0","2","20002"
"91002","8","15","0","9000","2","22001","5000","9999","0","12","94002","11","2","3","0","2","20002"
"91002","8","10","0","4000","1","22001","10000","11999","0","12","94002","12","2","8","0","2","20001"
"91002","8","5","0","3000","1","22001","12000","13999","0","12","94002","13","2","7","0","2","20001"
"91002","8","4","0","2000","1","22001","14000","14999","0","12","94002","14","2","6","0","2","20001"
"91002","8","3","0","1800","1","22001","15000","30000","0","12","94002","15","2","5","0","2","20001"
