3f35a2664e35fc856781fc6a9856494d1a921cda553b7f904dfc3bdc286880d7,9a48808966ccf8e3bc5d8a8326b7b74a5607d42800441f054787b6f332ee0fa6,80642156e16321369d271e8ece3af05ba4ad14685e836531f33270a8045b29ac,592d4d9be929697574af37eb6a6a3bc1850b8dc4dc471de629a786d747df3340,614891ca9874fb7e17b4f41cb6c904f5eb643086a65e23830f44d2305cef5815,ed18b53ac5cc8ec2c8964824eecb9d1b5ca57908df9ce4adc1db3d3f080b7f40,a42ce70d89d597d719514e36e7b6d3a84f3ccdc55641e682148170a692203173,2a15c38f772b6cda6ce8dc862ff0fe61c178e5aee91ab88e04756a2c0e9a3804
"srt_inori_idle","","0","GAME_START","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_kaya_idle","srt_dragon_in,srt_dragon_idle",""
"srt_inori_idle","","2","ENEMY_FIRST","","srt_kaya_idle","srt_dragon_idle","まずはオレの番だな！"
"srt_inori_idle","","2","ENEMY_TURN1","","srt_kaya_waiting","srt_dragon_idle","「{0}」か\n「{1}」で始まるのは…"
"srt_inori_idle","","2","ENEMY_TURN2","","srt_kaya_waiting","srt_dragon_idle","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…"
"srt_inori_idle","","2","ENEMY_TURN3","","srt_kaya_waiting","srt_dragon_idle","「{0}」か\nオッケー、次は「{1}」だな"
"","srt_homare_help","0","ENEMY_HELP","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_kaya_help","",""
"","","0","ENEMY_FLASH","","srt_kaya_flash","",""
"srt_inori_react_1,srt_inori_idle","","2","ENEMY_SELECT1","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","「{0}」だ！"
"srt_inori_react_1,srt_inori_idle","","2","ENEMY_SELECT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","「{0}」だな！"
"srt_inori_react_1,srt_inori_idle","","2","ENEMY_SELECT3","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","「{0}」だぜ！"
"srt_inori_react_1,srt_inori_idle","","2","ENEMY_SELECT_GREAT1","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","「{0}」ってのはどうだ！"
"srt_inori_react_1,srt_inori_idle","","2","ENEMY_SELECT_GREAT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","へっへーん！「{0}」だ！"
"","","-1","ENEMY_SELECT_WAIT","","","",""
"","","1","ENEMY_SELECT_N","out_071","srt_kaya_shock","","カヤぴぃ、「ん」がついてるですよ……"
