bde848e20d77ead0b502363a8f2eb2e1d5dcdbf2e77e8167e639e6532cc4d7c3,0086fb3e44b3f19d5e1fe6da0b0f0b6a1157c2eddf17c3a11376ad981f33db06,311cd443346c9ee53547d6f30aa215595ca52ce9f05f962efbef4efe4d94c05b,d51f0c583b01da34a081384ec93b1695f8dd7bd5d1ad20760028eac9838e6590,4761856859981504a59ecacbac629af67f6073448fc05fb56ee420bd982e4a38,6ca4d68ec17e122542c9172a2c0172f579798691aee7ff1e9df031df99d63797
"1","10201","102013011","301","5201087","1"
"1","10201","102014021","402","5201081","1"
"101","10201","102014022","402","5201082","0"
"1","10201","102015011","501","5201066","1"
"1","10201","102015012","501","5201067","2"
"1","10201","102015013","501","5201068","3"
"1","10201","102015014","501","5201069","4"
"1","10201","102015015","501","5201070","5"
"1","10201","102015016","501","5201071","6"
"1","10201","102015017","501","5201072","7"
"1","10201","102015018","501","5201073","8"
