4cad7bd94013de396ad81767dec34eecbfcb5278c1b38023f57e86fd3d70a367,ecb0af9aa70f8c8755ef9f860427fc74e9578d316121124d348291bc717081c0,70eb82c9d2c9d6d35db0ef57eddc8fb60e76ef0ca661a253e9df5c59aa8934d2,4d0ada04dcc50ab84e2847bc9f97942d53ff975f12377bd0335949b703dee7d8,a87a8367373ce60750c5ff8d2b24bc2a4da86495858da27741f6af33236bb33d,dab4ab0181ebba9e3349372b60e4636be1d844eb5a21b009e7bdf4ae3f4d6209,5e56b807365a4be0f343d47b3df26f9109ed66587f6b2fb0d6d27d385d1ba296
"20036104","0","10064","1006401","開会式","0","4"
"20036104","0","10064","1006402","開会式","0","3"
"20036104","1006402","10064","1006403","徒競走","0","1"
"20036104","1006402","10064","1006404","徒競走","0","4"
"20036104","1006402","10064","1006405","徒競走","0","2"
"20036104","1006405","10064","1006406","騎馬戦","0","2"
"20036104","1006405","10064","1006407","騎馬戦","0","4"
"20036106","1006406","10064","1006408","昼休憩","0","3"
"20036106","1006406","10064","1006409","昼休憩","0","4"
"20036106","1006408","10064","1006410","学術文化出展各種","0","3"
"20036106","1006408","10064","1006411","学術文化出展各種","0","4"
"20036106","1006408","10064","1006412","学術文化出展各種","0","1"
"20036108","1006410","10064","1006413","侍女風給仕喫茶","0","4"
"20036108","1006410","10064","1006414","侍女風給仕喫茶","0","3"
"20036113","1006414","10064","1006415","総合リレー","0","3"
"20036113","1006414","10064","1006416","総合リレー","0","4"
"0","1006415","10064","1006417","セレモニーステージ","2003601","1"
"0","1006415","10064","1006418","セレモニーステージ","2003601","4"
"0","1006415","10064","1006419","セレモニーステージ","2003601","2"
"0","1006419","10064","1006420","閉会式","2003601","3"
"0","1006419","10064","1006421","閉会式","2003601","4"
"0","1006420","10064","1006422","コンプリート演出","2003601","4"
