0786ce1cf87c6de0e016278c45d6e3d343dc2b792f9a3b8e398b62d7445f7051,3ad48675d300e99549375f232a962eee2929f7a38dea5c29e69e18fda718c6ed,0b43e5e1df229b062902a5d3b2460f942e64b8d1bb5a13ba5f14024c2112661a,d43015c06e996e97e926eb64bf5d65bff10767b42344cdf0ba6e9a88fd85f083,582d5dafe2e064c896250f1b84aeaac2fa2da40fb86c1da263bfc70bc069ab42,cdd4d0ea7f3c5597360db2cb300c9d5138889401e9c9d256d838b5876473f6d1,4afde145d8f73002e7632ae4cffde61ccb10524ccde03be1411661b09151bad0,704b1c75f7d5beadbe8edc4a9670c4fa0be8595ccd1121dc72c0c079d1f215a1,c87c9c0cf0ac7817dd4a778ad3c035fb81af8d5afe4b0916c69d0f19a027b998,d88a1b1702f47728fbec842d326897a07621bfb130390e48ab5505b5f8a74c0a,914841e0ede5d7d1559465a1fbbf4577c6cf5fd88a0b9b1e205dd4351d0c8870,9994d3e9409f9e109d170260229fed705b3042ca8b8bffd9a271126c510793d4,0ab70d72cf4c8554c731480ae1d02349754ba7eda00ce86ea8cd993cc3db6fa7,cba9848120d49cb333e230d294d24ee1ffd20e37eaff7dc08f765b47bd3ee4a0
"10001","1.47","-470","クローチェ","2023/09/22 14:59:59","0","2","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","2023/06/30 12:00:00","1","1","1","2002","126401"
"10002","2.15","-470","クローチェ","2023/09/22 14:59:59","0","1","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","2023/06/30 12:00:00","2","1","2","2002","126401"
"10003","0","-470","ライラエル","2023/09/22 14:59:59","0","2","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","2023/06/30 12:00:00","2","1","1","2002","126501"
"10004","0","-470","ライラエル","2023/09/22 14:59:59","0","1","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","2023/06/30 12:00:00","1","1","2","2002","126501"
"10005","0","-470","リンド","2023/12/22 14:59:59","0","2","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","2023/09/15 15:00:00","2","2","1","2002","127702"
"10006","0","-470","リンド","2023/12/22 14:59:59","0","2","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","2023/09/15 15:00:00","2","2","2","2002","127702"
"10007","0","-470","ヴルム","2023/12/22 14:59:59","0","1","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","2023/09/15 15:00:00","1","2","1","2002","127802"
"10008","6.5","-470","ヴルム","2023/12/22 14:59:59","0","1","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","2023/09/15 15:00:00","2","2","2","2002","127802"
"10009","0","-470","アネモネ","2024/03/22 14:59:59","0","1","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","2023/12/15 15:00:00","2","3","1","2002","129602"
"10010","0","-470","アネモネ","2024/03/22 14:59:59","0","1","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","2023/12/15 15:00:00","2","3","2","2002","129602"
"10011","0","-470","ネフィ=ネラ","2024/03/22 14:59:59","0","1","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","2023/12/15 15:00:00","1","3","1","2002","129701"
"10012","6.2","-470","ネフィ=ネラ","2024/03/22 14:59:59","0","1","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","2023/12/15 15:00:00","2","3","2","2002","129701"
"10013","3.1","-470","カノン","2024/06/22 14:59:59","0","5","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","2024/03/15 15:00:00","3","4","1","2002","130301"
"10014","6.15","-470","カノン","2024/06/22 14:59:59","0","2","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","2024/03/15 15:00:00","3","4","2","2002","130301"
"10015","0","-470","ナーナ","2024/06/22 14:59:59","0","2","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","2024/03/15 15:00:00","2","4","1","2002","130401"
"10016","3.35","-470","ナーナ","2024/06/22 14:59:59","0","1","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","2024/03/15 15:00:00","2","4","2","2002","130401"
"10017","0","-470","ホウオウ","2024/09/22 14:59:59","0","1","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","2024/06/15 15:00:00","1","5","1","2002","130502"
"10018","3.18","-470","ホウオウ","2024/09/22 14:59:59","0","1","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","2024/06/15 15:00:00","2","5","2","2002","130502"
"10019","0","-470","ホウオウ","2024/09/22 14:59:59","0","4","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","2024/06/15 15:00:00","4","5","3","2002","130503"
"10020","4.9","-470","ネア","2024/09/22 14:59:59","0","2","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","2024/06/15 15:00:00","1","5","1","2002","123301"
