bbcd6499a2ba62c47f57f4accc9f904577af91abc0bfce1b021f2ddc39f3913a,a7f057ee93b0aa02df23be8935360a78cf33880590d6942479fd052118cb66aa,4073590093a2cbe4a5cb5331a889db7f983f2f500064a830a1883bcbbd44a29d,eeecb39e18f4b4d6ea7440d55dca52a6c47dadb7986455a4cef6f9457b45cf88,03b6b468297f9c76f418c56359b5316645573951cd2b80c8afdc29ed456c2f04,718e0fed8d981591efdc4a6684a84fb0ac30bb3a4e150e451429a49a0e2ed690,f8f9e09884c51118821da287255c4d833e484e5b865d4fd6343b2a872ed199f3
"31001","-10","300900","0.8","0.8","100721","0"
"31002","-40","302300","0.7","0.7","100722","0"
"31003","-40","302400","0.8","0.8","100261","0"
"31004","-20","302500","0.9","0.9","100283","0"
"31005","-10","301700","0.9","0.9","101611","0"
"31006","-40","310100","0.7","0.7","102174","0"
"31007","-60","399800","0.3","0.3","102751","-80"
"31008","20","314901","0.9","0.9","103001","-20"
"31009","-110","318405","0.7","0.7","103232","30"
"31010","-10","320100","1","1","103371","0"
