746cec29f7d18e95ba9776e2099ed15e19096ca4319be7b8a4514c9450e1b19b,81babccd2fca57c5006ad3d8e48e2f5ca53692dbc65cfcdd7942a804c8449ae5,9ffe109a2f669ac15a8e1fca4c29002b99fa633515e85e8099e98b91568cbb63,9c6ee84e8956419388709be717cc43667aa14d29d4da11ba1cb0bedb4653842c,abe393fe3befe5f5e9a8edb68d9f160a73d4cbe978726bd04305e335257d789b,4755c2eb760a6b3009ee5920fe8e056fc0af9c68893edf707d139530141fac4d,02abfe11145a276dfa48ecbed72135f64257c4d2e029fcd9527e8c837a83f9f5,0dc7a9ac6a0df27bb9f9df5769148f97aaafd92db6e11fd376987dbe124ba552,afdb69b868c809b40ed0afe8f9de71499f18b203e689b6edd721f8d890ec6a29,62175d11ab7ea805ea666e0c59370afd3d03e244f4c8807707475086c65ec4db,72903ac771eb92931a62ad9d4606f3f62201cb2343b4a6e696934acc7ee15a54,c695fae9e81eea0100a08e2a653da9e3d3daf6b0015352409e42bc1c43a19f5a,364262af1c2fd42646aab678c6b6d65a4187d4224d30acda829c4ac52657ccbf
"8","0","1","0","1","0","8","0","1201","0","vo_minigame_1012_correct_107","11120101","それでいいのよ！"
"8","0","1","0","1","0","8","0","1201","0","vo_minigame_1012_correct_108","11120102","うん、OK！"
"1","0","1","0","1","0","1","0","1201","0","vo_minigame_1012_correct_109","11120103","いい調子ね！"
"1","0","1","-1","1","0","1","13333","1202","0","vo_minigame_1012_correct_115","11120201","じっくりでいいわ！"
"9","0","1","-1","1","0","9","13333","1202","0","vo_minigame_1012_correct_117","11120202","正解すりゃいいのよ！"
"1","0","1","0","1","0","1","0","1203","0","vo_minigame_1012_correct_118","11120301","すごいわね！"
"5","0.01","1","0","1","8","5","0","1203","0","vo_minigame_1012_correct_119","11120302","これ分かるの！？"
"1","0","1","0","1","0","1","0","1204","0","vo_minigame_1012_correct_125","11120401","これは大丈夫ね！"
"7","0.01","1","0","1","4","7","0","1205","0","vo_minigame_1012_correct_123","11120501","復習バッチリね！"
"8","0","1","-1","1","0","8","3","1206","0","vo_minigame_1012_correct_128","11120601","連続で正解よ！"
"2","0","1","-1","1","0","2","3","1207","0","vo_minigame_1012_correct_131","11120701","巻き返すわよ！"
"2","0","1","0","1","0","2","0","1301","0","vo_minigame_1012_incorrect_107","11130101","切り替えて！"
"9","0","1","0","1","0","9","0","1301","0","vo_minigame_1012_incorrect_108","11130102","こんなこともあるわ！"
"4","0","1","0","1","0","4","0","1301","0","vo_minigame_1012_incorrect_109","11130103","それじゃダメよ！"
"4","0","1","-1","1","0","4","20000","1302","0","vo_minigame_1012_incorrect_116","11130201","タイムアップよ！"
"5","0","1","-1","1","0","5","20000","1302","0","vo_minigame_1012_incorrect_117","11130202","いや答えなさいよ！"
"3","0.01","1","0","1","6","3","0","1303","0","vo_minigame_1012_incorrect_118","11130301","難しいわね…"
"4","0","1","0","1","0","4","0","1303","0","vo_minigame_1012_incorrect_119","11130302","難易度高すぎね…"
"2","0","1","0","1","0","2","0","1304","0","vo_minigame_1012_incorrect_123","11130401","忘れちゃダメよ？"
"1","0","1","0","1","0","1","0","1305","0","vo_minigame_1012_incorrect_126","11130501","全部が間違いじゃないわ！"
"8","3.18","1","10","1","4","7","10","3001","1","vo_minigame_1012_result_1000","11300101","フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪"
"7","3.33","1","10","1","10","8","10","3001","1","vo_minigame_1012_result_1001","11300102","すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪"
"1","5.41","1","10","1","10","8","10","3001","1","vo_minigame_1012_result_1002","11300103","全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！"
"8","8.11","1","10","1","10","5","10","3001","2","vo_minigame_1012_result_1003","11300104","へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！"
"5","1.31","1","10","1","0","10","10","3001","2","vo_minigame_1012_result_1004","11300105","まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！"
"8","4.93","1","10","1","0","9","10","3001","2","vo_minigame_1012_result_1005","11300106","ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！"
"8","2.99","1","10","1","4","5","10","3001","3","vo_minigame_1012_result_1006","11300107","すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪"
"7","8.37","1","10","1","4","8","10","3001","3","vo_minigame_1012_result_1007","11300108","満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪"
"5","5.32","1","10","1","8","7","10","3001","3","vo_minigame_1012_result_1008","11300109","全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？"
"1","4.77","1","9","1","4","7","7","3001","1","vo_minigame_1012_result_1009","11300110","お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！"
"7","2.97","1","9","1","4","8","7","3001","1","vo_minigame_1012_result_1010","11300111","うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！"
"1","3.47","1","9","1","0","5","7","3001","1","vo_minigame_1012_result_1011","11300112","あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！"
"7","5.32","1","9","1","4","8","7","3001","2","vo_minigame_1012_result_1012","11300113","すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！"
"7","6.49","1","9","1","10","8","7","3001","2","vo_minigame_1012_result_1013","11300114","うん、かなりいい感じよ！\nあんたには赤点の心配なんて\nまーったくなさそうね♪\nでも勉強はやめさせないけど！"
"1","3.56","1","9","1","0","5","7","3001","2","vo_minigame_1012_result_1014","11300115","あーあとちょっとで\n全問正解だったのに！\n難しい問題だけどあんたなら\n次は満点狙えるわ！"
"1","5.67","1","9","1","10","8","7","3001","3","vo_minigame_1012_result_1015","11300116","うん、ほとんど正解よ！\nこんな難しい問題なのに、\nすごいじゃない！\nやっぱりあんた只者じゃないわ！"
"1","2.85","1","9","1","10","7","7","3001","3","vo_minigame_1012_result_1016","11300117","着実に成長してるって感じね？\nあんたならこの難問でも、\nいつか満点取れちゃうかも…！"
"1","3.88","1","9","1","0","5","7","3001","3","vo_minigame_1012_result_1017","11300118","うわー惜しいわね！\nもうちょっとで満点よ？\nま、あたしでも悩む難問だから、\nこの点数は胸を張っていいわ！"
"1","4.12","1","6","1","0","3","4","3001","1","vo_minigame_1012_result_1018","11300119","正解率は半分くらいか～\n悪くはないんだけど、あんたなら\nこんなもんじゃないでしょ？"
