b4aebfa431c5c68932a5987a76a7ce3a902941718a43806ef50d0e181cc28588,fcc5267721a451fd30a5e06555081cae143d3205724209f2c22a57e374b27f77,ad9508664fdf3a35e440a1332a844df967d29c57a40a91bfe9e8ee86affe06d7,fc427b6d46f1fb8e0876d3fcc844bf5eb76b8dc06c152fc812c7373dcd2dab35,e8470f491b2df74ceeb242c848430c01a5808b9b4b8a7de1b6d2e34c3bce9aaf,e454be95535ecb4988157974faab250875136f65583bb8577f8af35d6096a379,6b89fcb73d8f4f4aca8922cdb5525710aae18d5d9ba9384b6ce05ded10fa3b87,ec6ab8e99b4e60ec4548fa3c2c796fb501c99f6eabcb34618b3940f45b2b9541,4bffd21fbdcf4ee8fca0509da6b3b57d906de638459d36607513d8c8d3337b5d,812d332728ac3df29e86046ea04ca8608e90757971007f440e777267b1167614,25f2735b6c7b167d9b7bcac69ea1899c8d2cf5746f6813892e77a2ae36345eb3,0affdfa544229778d4f8dbe5d29881b1fa1efd489e75685c3259f197e1193a64
"200","0","1","0","0","0","201","4","110111","0","0","110111"
"200","0","1","0","0","0","201","4","110121","0","0","110121"
"200","0","1","0","0","0","201","4","110211","0","0","110211"
"200","0","1","0","0","0","201","4","110221","0","0","110221"
"200","0","1","0","0","0","201","4","110311","0","0","110311"
"200","0","1","0","0","0","201","4","110321","0","0","110321"
"200","0","1","0","0","0","201","4","110411","0","0","110411"
"200","0","1","0","0","0","201","4","110421","0","0","110421"
"200","0","1","0","0","0","411","6","110511","0","0","110511"
"300","0","1","0","0","0","421","6","110521","0","0","110521"
"0","0","0","0","0","0","711","3","110711","0","0","110711"
"0","0","0","0","0","0","712","3","110712","0","0","110712"
"0","0","0","0","0","0","721","4","110721","0","0","110721"
"0","0","0","0","0","0","722","4","110722","0","0","110722"
"0","0","0","0","0","0","731","1","110731","0","0","1500"
"0","0","0","0","0","0","732","1","110732","0","0","2000"
"0","0","0","0","0","0","821","3","110811","0","0","110811"
"0","0","0","0","0","0","823","4","110812","0","0","110812"
"0","0","0","0","0","0","822","3","110813","0","0","110813"
"0","0","0","0","0","0","811","1","110821","0","0","1000"
"300","0","1","0","0","0","411","6","110911","0","0","110911"
"450","0","1","0","0","0","421","6","110921","0","0","110921"
"0","0","0","0","0","0","311","1","111011","0","0","3000"
"0","0","0","0","0","0","312","1","111012","0","0","1000"
"0","0","0","0","0","0","321","1","111021","0","0","3000"
"0","0","0","0","0","0","322","1","111022","0","0","1000"
"0","0","0","0","0","0","331","1","111031","0","0","3000"
"0","0","0","0","0","0","332","1","111032","0","0","1000"
"0","0","0","0","0","0","1011","1","111111","0","0","2000"
"0","0","0","0","0","0","1023","3","111121","0","0","111121"
"0","0","0","0","0","0","1022","3","111122","0","0","111122"
"0","0","0","0","0","0","1021","3","111123","0","0","111123"
"0","0","0","0","0","0","1111","1","111211","0","0","2000"
"111221","0","4","0","0","0","1121","4","111221","0","0","111220"
"111222","0","4","0","0","0","1122","4","111222","0","0","111220"
"111223","0","4","0","0","0","1123","4","111223","0","0","111220"
"400","0","1","0","0","0","411","6","111311","0","0","111311"
"600","0","1","0","0","0","421","6","111321","0","0","111321"
"500","0","1","0","0","0","411","6","111711","0","0","111711"
"750","0","1","0","0","0","421","6","111721","0","0","111721"
"131411","0","7","0","0","0","511","3","131411","0","0","131411"
"0","0","0","0","0","0","513","8","131412","0","0","0"
"0","0","0","0","0","0","911","7","131511","0","0","131511"
"0","0","0","0","0","0","912","8","131512","0","0","0"
"131611","0","7","0","0","0","611","1","131611","0","0","2000"
"0","0","0","0","0","0","612","8","131612","0","0","0"
"231411","0","7","0","0","0","512","3","231411","0","0","231411"
"0","0","0","0","0","0","513","8","231412","0","0","0"
"0","0","0","0","0","0","921","7","231511","0","0","231511"
"0","0","0","0","0","0","922","8","231512","0","0","0"
"0","0","0","0","0","0","0","4","231521","0","0","231521"
"231611","0","7","0","0","0","621","1","231611","0","0","4000"
"0","0","0","0","0","0","622","8","231612","0","0","0"
"0","0","0","0","0","0","0","8","231621","0","0","0"
"0","0","0","0","0","0","514","3","331411","0","0","331411"
"0","0","0","0","0","0","513","8","331412","0","0","0"
"0","0","0","0","0","0","931","4","331511","0","0","331511"
"0","0","0","0","0","0","932","8","331512","0","0","0"
"0","0","0","0","0","0","0","4","331521","0","0","331521"
"0","0","0","0","0","0","631","1","331611","0","0","8000"
"0","0","0","0","0","0","632","8","331612","0","0","0"
"0","0","0","0","0","0","0","8","331621","0","0","0"
