fb973933de75903cb0f35e3ffdec5bee8487a81993ea6775c85e1d5202eb9f91,46b15c4af114f5dd50c4a668ad4b4b3a43812c4a8c264d6862aac97c4cfdf46a,422ca936e8492785dd7b2c6566e3732f0793689ec1a3a0b07ccd2e1df3fa7887,5e80e499691081e778de2ead22b66c3f4b8528fac7675ea07d82011f697e10eb,e95d70346084323b51f2ddc9fff2742c295f5f5e968f407d557ffee5e59a6944
"31006005","0","se_btl_tower_timeup","104","501"
"31007005","0","se_btl_tower_timeup","104","501"
"31008005","0","se_btl_tower_timeup","104","501"
"31009005","0","se_btl_tower_timeup","104","501"
"31010005","0","se_btl_tower_timeup","104","504"
"320010106","0","se_btl_tower_timeup","104","502"
"320010107","0","se_btl_tower_timeup","104","502"
"320010108","0","se_btl_tower_timeup","104","502"
"320010109","0","se_btl_tower_timeup","104","502"
"320010110","0","se_btl_tower_timeup","104","501"
"320010206","0","se_btl_tower_timeup","104","502"
"320010207","0","se_btl_tower_timeup","104","502"
"320010208","0","se_btl_tower_timeup","104","502"
"320010209","0","se_btl_tower_timeup","104","502"
"320010210","0","se_btl_tower_timeup","104","501"
"320010306","0","se_btl_tower_timeup","104","502"
"320010307","0","se_btl_tower_timeup","104","502"
"320010308","0","se_btl_tower_timeup","104","502"
"320010309","0","se_btl_tower_timeup","104","502"
"320010310","0","se_btl_tower_timeup","104","501"
"320010406","0","se_btl_tower_timeup","104","502"
"320010407","0","se_btl_tower_timeup","104","502"
"320010408","0","se_btl_tower_timeup","104","502"
"320010409","0","se_btl_tower_timeup","104","502"
"320010410","0","se_btl_tower_timeup","104","501"
"320010506","0","se_btl_tower_timeup","104","502"
"320010507","0","se_btl_tower_timeup","104","502"
"320010508","0","se_btl_tower_timeup","104","502"
"320010509","0","se_btl_tower_timeup","104","502"
"320010510","0","se_btl_tower_timeup","104","501"
"320020106","0","se_btl_tower_timeup","104","502"
"320020107","0","se_btl_tower_timeup","104","502"
"320020108","0","se_btl_tower_timeup","104","502"
"320020109","0","se_btl_tower_timeup","104","502"
"320020110","0","se_btl_tower_timeup","104","501"
"320020206","0","se_btl_tower_timeup","104","502"
"320020207","0","se_btl_tower_timeup","104","502"
"320020208","0","se_btl_tower_timeup","104","502"
"320020209","0","se_btl_tower_timeup","104","502"
"320020210","0","se_btl_tower_timeup","104","501"
"320020306","0","se_btl_tower_timeup","104","502"
"320020307","0","se_btl_tower_timeup","104","502"
"320020308","0","se_btl_tower_timeup","104","502"
"320020309","0","se_btl_tower_timeup","104","502"
"320020310","0","se_btl_tower_timeup","104","501"
"320020406","0","se_btl_tower_timeup","104","502"
"320020407","0","se_btl_tower_timeup","104","502"
"320020408","0","se_btl_tower_timeup","104","502"
"320020409","0","se_btl_tower_timeup","104","502"
"320020410","0","se_btl_tower_timeup","104","501"
"320020506","0","se_btl_tower_timeup","104","502"
"320020507","0","se_btl_tower_timeup","104","502"
"320020508","0","se_btl_tower_timeup","104","502"
"320020509","0","se_btl_tower_timeup","104","502"
"320020510","0","se_btl_tower_timeup","104","501"
"320030106","0","se_btl_tower_timeup","104","502"
"320030107","0","se_btl_tower_timeup","104","502"
"320030108","0","se_btl_tower_timeup","104","502"
"320030109","0","se_btl_tower_timeup","104","502"
"320030110","0","se_btl_tower_timeup","104","501"
"320030206","0","se_btl_tower_timeup","104","502"
"320030207","0","se_btl_tower_timeup","104","502"
"320030208","0","se_btl_tower_timeup","104","502"
"320030209","0","se_btl_tower_timeup","104","502"
"320030210","0","se_btl_tower_timeup","104","501"
"320030306","0","se_btl_tower_timeup","104","502"
"320030307","0","se_btl_tower_timeup","104","502"
"320030308","0","se_btl_tower_timeup","104","502"
"320030309","0","se_btl_tower_timeup","104","502"
"320030310","0","se_btl_tower_timeup","104","501"
"320030406","0","se_btl_tower_timeup","104","502"
"320030407","0","se_btl_tower_timeup","104","502"
"320030408","0","se_btl_tower_timeup","104","502"
