0d98989bb31d49ab99ccad7bcd3252faf08a6af14a31e324eb5a6e0d73414567,2b4a127878aa60c5a27f75dda45c3d76727e855f598af7b6db0e70d72f80b89d,676995e16e0e0d9e85d508dfcfac16a6ac9f62399b8c92b15502e4034641a6d4,08a24ce1ceb825b1a4c6f53a61ae4f95b7977a75876fcb66fc0521511054758c,d1206cf529a155397a086a8ca28d88d1e0227ed95aed9c682fdf0c1651fa524d,a1e5adfb9fbfcede5ef7dee67a09f06c151839213b750e20e133514d33631e98,3d3108c50cba3508f17349438600b139fa671da7e3b5014f5190bdd41c9c6ebb,9f5fd27626a31e41a5f8749f2ddadb85108bcef38b4787bfc38f531cca48ec32,8f2db86c0134bf78de47977104f84f1056c8a9fc667bfd15e25b00bac99e9a33,efdb2ac88b89b482dba1c3c07b8408ef5c6f0e484c6d847a1eef7f26b082456a,76a049b4d06e78787034dc5064a9cb07348009a5569864c989a2103d63056621
"1","2","2","91002","25014","8","31","25021","8","10","284001001"
"2","2","2","91002","25014","8","31","25021","8","10","284001002"
"3","2","2","91002","25014","8","32","25021","8","10","284001003"
"4","2","2","91002","25014","8","32","25021","8","10","284001004"
"5","2","2","91002","25014","8","33","25021","8","10","284001005"
"6","2","2","91002","25014","9","33","25021","8","10","284001006"
"7","2","2","91002","25014","9","34","25021","8","10","284001007"
"8","2","2","91002","25014","9","35","25021","8","10","284001008"
"9","2","2","91002","25014","9","35","25021","8","10","284001009"
"10","2","2","91002","25014","10","37","25021","8","30","284001010"
"11","2","2","91002","25014","10","41","25021","8","10","284001011"
"12","2","2","91002","25014","11","43","25021","8","10","284001012"
"13","2","2","91002","25014","11","46","25021","8","10","284001013"
"14","2","2","91002","25014","12","48","25021","8","10","284001014"
"15","2","2","91002","25014","12","50","25021","8","10","284001015"
"16","2","2","91002","25014","13","53","25021","8","10","284001016"
"17","2","2","91002","25014","14","55","25021","8","10","284001017"
"18","2","2","91002","25014","14","58","25021","8","10","284001018"
"19","2","2","91002","25014","15","60","25021","8","10","284001019"
"20","2","2","91002","25014","15","62","25021","8","30","284001020"
"21","2","2","91002","25014","16","68","25021","8","10","284001021"
"22","2","2","91002","25014","16","70","25021","8","10","284001022"
"23","2","2","91002","25014","16","72","25021","8","10","284001023"
"24","2","2","91002","25014","17","75","25021","8","10","284001024"
"25","2","2","91002","25014","18","77","25021","8","10","284001025"
"26","2","2","91002","25014","18","79","25021","8","10","284001026"
"27","2","2","91002","25014","19","82","25021","8","10","284001027"
"28","2","2","91002","25014","19","84","25021","8","10","284001028"
"29","2","2","91002","25014","19","86","25021","8","10","284001029"
"30","2","2","91002","25014","20","89","25021","8","30","284001030"
"31","2","2","91002","25014","20","94","25021","8","10","284001031"
"32","2","2","91002","25014","21","96","25021","8","10","284001032"
"33","2","2","91002","25014","21","99","25021","8","10","284001033"
"34","2","2","91002","25014","22","101","25021","8","10","284001034"
"35","2","2","91002","25014","22","103","25021","8","10","284001035"
"36","2","2","91002","25014","23","106","25021","8","10","284001036"
"37","2","2","91002","25014","23","108","25021","8","10","284001037"
"38","2","2","91002","25014","24","111","25021","8","10","284001038"
"39","2","2","91002","25014","25","113","25021","8","10","284001039"
"40","2","2","91002","25014","25","115","25021","8","30","284001040"
"41","2","2","91002","25014","26","121","25021","8","10","284001041"
"42","2","2","91002","25014","27","123","25021","8","10","284001042"
"43","2","2","91002","25014","28","125","25021","8","10","284001043"
"44","2","2","91002","25014","28","128","25021","8","10","284001044"
"45","2","2","91002","25014","29","130","25021","8","10","284001045"
"46","2","2","91002","25014","30","132","25021","8","10","284001046"
"47","2","2","91002","25014","30","135","25021","8","10","284001047"
"48","2","2","91002","25014","31","137","25021","8","10","284001048"
"49","2","2","91002","25014","31","139","25021","8","10","284001049"
"50","2","2","91002","25014","31","142","25021","8","30","284001050"
"51","2","2","91002","25014","32","144","25021","8","10","284001051"
"52","2","2","91002","25014","32","146","25021","8","10","284001052"
"53","2","2","91002","25014","32","149","25021","8","10","284001053"
"54","2","2","91002","25014","33","152","25021","8","10","284001054"
"55","2","2","91002","25014","33","155","25021","8","10","284001055"
"56","2","2","91002","25014","33","157","25021","8","10","284001056"
"57","2","2","91002","25014","34","160","25021","8","10","284001057"
"58","2","2","91002","25014","34","163","25021","8","10","284001058"
"59","2","2","91002","25014","34","166","25021","8","10","284001059"
"60","2","2","91002","25014","35","169","25021","8","30","284001060"
"61","2","2","91002","25014","35","171","25021","8","10","284001061"
"62","2","2","91002","25014","35","174","25021","8","10","284001062"
"63","2","2","91002","25014","36","177","25021","8","10","284001063"
"64","2","2","91002","25014","36","180","25021","8","10","284001064"
"65","2","2","91002","25014","36","182","25021","8","10","284001065"
"66","2","2","91002","25014","37","185","25021","8","10","284001066"
"67","2","2","91002","25014","37","187","25021","8","10","284001067"
"68","2","2","91002","25014","37","190","25021","8","10","284001068"
"69","2","2","91002","25014","38","193","25021","8","10","284001069"
"70","2","2","91002","25014","38","196","25021","8","30","284001070"
