22d21bdaa3c79c004f29072fd9f743421461139552a6010913710b8dae03e3c0,d7d7df0ee8f371d792080536a47ab8d470ac7e8ce8d9da558c077ab96274c55b,d33d8833a5c141da31648f4acb218b654106b3f231a80a1e693a1ff89cb2d8d2,6f9d815bb2293cd709b867a1116221e87f19e032631270b6b302a82105e4097d,18f52f023104f2777f82698f0c47dd2ef963eb5ab44268896e59e646349cb7e9,7f9a60248059582c529f698ca92d77c74c7a8b0e4c8311f0664d59efd3625ad6,6b85ae6137897a570efb7e06bd8063957ddd86da4ff201b9a180ce41d0407265
"1","10008101","1","10008111","0","0",""
"2","10008112","1","10008115","0","0",""
"3","10008101","3","10008103","0","0",""
"4","10008105","3","10008115","0","0",""
"5","10008112","4","150","0","0",""
"6","10028101","1","10028111","0","0",""
"7","10028112","1","10028115","0","0",""
"8","10028101","3","10028103","0","0",""
"9","10028105","3","10028115","0","0",""
"10","10028112","4","150","0","0",""
"11","20012104","11","20012104","20012107","0",""
"12","20012108","11","20012108","20012109","0",""
"13","20012110","11","20012110","20012114","0",""
"14","20012115","11","20012115","20012115","0",""
"15","20012110","4","120","0","0",""
"16","20008101","1","20008111","0","0",""
"17","20008112","1","20008115","0","0",""
"18","20008101","3","20008103","0","0",""
"19","20008105","3","20008115","0","0",""
"20","20008112","4","150","0","0",""
