1f24596b5f59382ed7a73007c4b1b624bd204b412895a0e1e236217ee64fd9b2,ac2799b1dd1418e7e757fc3e3dff886a57c2a07734497d963e75b65705c46ca5,4a9bd7ebaa4cc864e2a301d2584f0ac8074e8673261e04c4e79261c9c27f9ca5,095a165748695074b55509368fb1e82f3a83cb1cc0d8a551e865918d1180cbde,73a1bfe370a67c88c29fb77062b5a10e313750856ac4442da8e4f2665d598f15,0ea275a4e0350f61f58f06a706baddf592676f974bcb1a80ce5b3abe940b6a66,1b424f3d592852386c8a7c5e5b9ef880fab9118556e1e81e534f4bcb79f02c59,1170b38612ad899e154d22c905283e1925a6013b37ded31a7caf6fbf0896f2b2
"1","25201","25203","14","0","1","0","6"
"2","25201","25203","14","0","1","0","6"
"3","25201","25203","14","0","1","0","6"
"4","25201","25203","16","25205","1","4","6"
"5","25201","25203","16","25205","1","4","6"
"6","25201","25203","16","25205","1","4","6"
"7","25201","25203","18","25205","1","5","8"
"8","25201","25203","18","25205","1","5","8"
"9","25201","25203","18","25205","1","5","8"
"10","25201","25203","20","25205","1","6","10"
"11","25201","25203","20","25205","1","6","10"
"12","25201","25203","20","25205","1","6","10"
"13","25201","25203","22","25205","1","7","12"
"14","25201","25203","22","25205","1","7","12"
"15","25201","25203","22","25205","1","7","12"
"1","25201","25203","14","0","2","0","6"
"2","25201","25203","14","0","2","0","6"
"3","25201","25203","14","0","2","0","6"
"4","25201","25203","16","25205","2","4","6"
"5","25201","25203","16","25205","2","4","6"
"6","25201","25203","16","25205","2","4","6"
"7","25201","25203","18","25205","2","5","8"
"8","25201","25203","18","25205","2","5","8"
"9","25201","25203","18","25205","2","5","8"
"10","25201","25203","20","25205","2","6","10"
"11","25201","25203","20","25205","2","6","10"
"12","25201","25203","20","25205","2","6","10"
"13","25201","25203","22","25205","2","7","12"
"14","25201","25203","22","25205","2","7","12"
"15","25201","25203","22","25205","2","7","12"
"1","25201","25205","8","0","3","0","14"
"2","25201","25205","8","0","3","0","14"
"3","25201","25205","8","0","3","0","14"
"4","25201","25203","3","25205","3","8","16"
"5","25201","25203","3","25205","3","8","16"
"6","25201","25203","3","25205","3","8","16"
"7","25201","25203","4","25205","3","10","18"
"8","25201","25203","4","25205","3","10","18"
"9","25201","25203","4","25205","3","10","18"
"10","25201","25203","5","25205","3","12","20"
"11","25201","25203","5","25205","3","12","20"
"12","25201","25203","5","25205","3","12","20"
"13","25201","25203","6","25205","3","14","22"
"14","25201","25203","6","25205","3","14","22"
"15","25201","25203","6","25205","3","14","22"
"1","25201","25205","8","0","4","0","14"
"2","25201","25205","8","0","4","0","14"
"3","25201","25205","8","0","4","0","14"
"4","25201","25203","3","25205","4","8","16"
"5","25201","25203","3","25205","4","8","16"
"6","25201","25203","3","25205","4","8","16"
"7","25201","25203","4","25205","4","10","18"
"8","25201","25203","4","25205","4","10","18"
"9","25201","25203","4","25205","4","10","18"
"10","25201","25203","5","25205","4","12","20"
"11","25201","25203","5","25205","4","12","20"
"12","25201","25203","5","25205","4","12","20"
"13","25201","25203","6","25205","4","14","22"
"14","25201","25203","6","25205","4","14","22"
"15","25201","25203","6","25205","4","14","22"
"1","25201","25203","7","25205","5","8","6"
"2","25201","25203","6","25205","5","8","7"
"3","25201","25203","7","25205","5","8","7"
"4","25201","25203","8","25205","5","10","8"
"5","25201","25203","9","25205","5","10","8"
"6","25201","25203","8","25205","5","10","9"
"7","25201","25203","10","25205","5","11","10"
"8","25201","25203","10","25205","5","11","10"
"9","25201","25203","10","25205","5","11","10"
"10","25201","25203","12","25205","5","13","11"
"11","25201","25203","11","25205","5","13","12"
"12","25201","25203","12","25205","5","13","12"
"13","25201","25203","13","25205","5","15","13"
"14","25201","25203","13","25205","5","15","14"
"15","25201","25203","14","25205","5","15","13"
"1","25203","25205","14","0","6","0","6"
"2","25203","25205","14","0","6","0","6"
"3","25203","25205","14","0","6","0","6"
"4","25201","25203","6","25205","6","16","3"
"5","25201","25203","6","25205","6","16","3"
"6","25201","25203","6","25205","6","16","3"
"7","25201","25203","8","25205","6","18","4"
"8","25201","25203","8","25205","6","18","4"
"9","25201","25203","8","25205","6","18","4"
"10","25201","25203","10","25205","6","20","5"
"11","25201","25203","10","25205","6","20","5"
"12","25201","25203","10","25205","6","20","5"
"13","25201","25203","12","25205","6","22","6"
"14","25201","25203","12","25205","6","22","6"
"15","25201","25203","12","25205","6","22","6"
"1","25203","25205","14","0","7","0","6"
"2","25203","25205","14","0","7","0","6"
"3","25203","25205","14","0","7","0","6"
"4","25201","25203","6","25205","7","16","3"
"5","25201","25203","6","25205","7","16","3"
"6","25201","25203","6","25205","7","16","3"
"7","25201","25203","8","25205","7","18","4"
"8","25201","25203","8","25205","7","18","4"
"9","25201","25203","8","25205","7","18","4"
"10","25201","25203","10","25205","7","20","5"
"11","25201","25203","10","25205","7","20","5"
"12","25201","25203","10","25205","7","20","5"
"13","25201","25203","12","25205","7","22","6"
"14","25201","25203","12","25205","7","22","6"
"15","25201","25203","12","25205","7","22","6"
"1","25201","25203","7","25205","8","8","6"
"2","25201","25203","6","25205","8","8","7"
"3","25201","25203","7","25205","8","8","7"
"4","25201","25203","8","25205","8","10","8"
"5","25201","25203","9","25205","8","10","8"
"6","25201","25203","8","25205","8","10","9"
"7","25201","25203","10","25205","8","11","10"
"8","25201","25203","10","25205","8","11","10"
"9","25201","25203","10","25205","8","11","10"
"10","25201","25203","12","25205","8","13","11"
"11","25201","25203","11","25205","8","13","12"
"12","25201","25203","12","25205","8","13","12"
"13","25201","25203","13","25205","8","15","13"
"14","25201","25203","13","25205","8","15","14"
"15","25201","25203","14","25205","8","15","13"
