d01ded0120155b12e7461669fa8c266480f6840432f4dd54004774f1f1d2391d,a124a0af9dacb77c39be2d8e7b3b6417662eaa89af064687b640c3bc75e1c472,d8ebecb0a25c5e45be3dc795919f47e0412dc78c43396f29180e92ab797476b3,0133e193ee7cd15dcfdc0661145bf940ea4055db6074072ea9473388affa4daa,4172eb51d474bde1ff6660ad1642dcf26c49f27e81dc93af6842af22a024cf14,771303114d9d04ae4d2cede103ca4302738858407b1669912baf36261bbbe2f0,2001096197ceb8f9f18908a5248babe01cc0f07c767657122c344b7d7face767
"1","0","1","0","","10008101","10008111"
"1","0","2","0","","10008112","10008115"
"3","0","3","0","","10008101","10008103"
"3","0","4","0","","10008105","10008115"
"4","0","5","0","","10008112","150"
"1","0","6","0","","10028101","10028111"
"1","0","7","0","","10028112","10028115"
"3","0","8","0","","10028101","10028103"
"3","0","9","0","","10028105","10028115"
"4","0","10","0","","10028112","150"
"11","0","11","20012107","","20012104","20012104"
"11","0","12","20012109","","20012108","20012108"
"11","0","13","20012114","","20012110","20012110"
"11","0","14","20012115","","20012115","20012115"
"4","0","15","0","","20012110","120"
"1","0","16","0","","20008101","20008111"
"1","0","17","0","","20008112","20008115"
"3","0","18","0","","20008101","20008103"
"3","0","19","0","","20008105","20008115"
"4","0","20","0","","20008112","150"
