5e4fd290938e79170952b9d73adca03f960174483b98e47953174d77d774f9d5,d84ce422590cd4085b8310a3bffb88982de02ecc989cfd5862aabbff271188cf,8a2e4d12d8082170edb98afa08d1e470bef81204e554b9bd43c1d298a3a6411a,aea9d001f9a981b6eae5235b5a0437151b6a199c12d9d1f4457d1bda303d004b,9691fbc087e70e13e173c0aee94fdb1a6d0a9ffff527a14c49f8f641016d9022
"32000101","25011","1000","2","320001011"
"32000101","25012","1000","2","320001012"
"32000102","25013","1000","2","320001021"
"32000102","25014","1000","2","320001022"
"32000103","91002","1000","8","320001031"
"32000103","94002","3000000","12","320001032"
"32000103","25015","1000","2","320001033"
"32000103","25021","1000","2","320001034"
"32000104","25013","1000","2","320001041"
"32000104","25014","1000","2","320001042"
"32000105","25012","1000","2","320001051"
"32000105","25015","1000","2","320001052"
"32000106","91002","1000","8","320001061"
"32000106","94002","3000000","12","320001062"
"32000106","25011","1000","2","320001063"
"32000106","25021","1000","2","320001064"
"32000107","25014","1000","2","320001071"
"32000107","25015","1000","2","320001072"
"32000108","25011","1000","2","320001081"
"32000108","25013","1000","2","320001082"
"32000109","91002","1000","8","320001091"
"32000109","94002","3000000","12","320001092"
"32000109","25012","1000","2","320001093"
"32000109","25021","1000","2","320001094"
"32000110","25011","3000","2","320001101"
"32000110","25012","3000","2","320001102"
"32000110","25013","3000","2","320001103"
"32000110","25014","3000","2","320001104"
"32000110","25015","3000","2","320001105"
"32000111","25011","3000","2","320001111"
"32000111","25012","3000","2","320001112"
"32000111","25013","3000","2","320001113"
"32000111","25014","3000","2","320001114"
"32000111","25015","3000","2","320001115"
"32000112","25011","3000","2","320001121"
"32000112","25012","3000","2","320001122"
"32000112","25013","3000","2","320001123"
"32000112","25014","3000","2","320001124"
"32000112","25015","3000","2","320001125"
"32000113","21953","1","2","320001131"
"32000113","25021","2000","2","320001132"
