ed386f6ea1bf30e3a912b3c9760f3f65be0b64310bb43e17828f468682e57bf4,3ff0e8178ccb6bb91865c82f1bbee3426755bd259bf4769a26714d0efcf43e61,a256be6fe97c7d0f2199a62215b1608bd12d8697427eb3923b0e37e41edb9db1,bb05b6e8c6ba9cf654cc2afa9136d9c3a7b1dbc79de53b243f636cec7a6fcf6d,ca23cf4303c3218fcbb46fbee041265d09e437c5233c61a4fd062355503228e6,8c1b3627f30f4cfce3ef5b052f320c92d32546cfd70af3333b488a3e8a60c3d3,0f1fb5bd3ae1070e4ae55adcefe227e926d5707ea95961c8452bc49fac9d39f6,7b15e550f53a64387f6fd8b81c46d1f6cc3545583b4a7a5f5d706c1f49c76024,b95e6e20482e40692d140eb0cc7e6be3f8080ef7293f21b0f175138bc7a42eb7,3614c6e3219cca6c0bffec8478215e5b6fbe59aaf6dbe813805e186aedb5d65d,e1cee6ff1d48c22478ada6ea1558468f0cd5682d85e864fce124069ce9e929d4,8f419cbab033a3df2e2c48b5af23807fc5c8561544406328fc80eaa7b710ffc8,2deda29e054daff55a9a7cce3c9ca05fcae0b940a818fb8fd785bc83e6fd39f2,4e975f68af2c6663af9e2eb2aa2bee4b51f66ee533c7a914057319ade20ccda4,ec1bd29453fc5358d191d2c4b8c7692147ebeedd196e555d68b0440553cb9c57,46f149652f881c63759cbfd57ab0f5359925de82276d836c1897f76fe7f69b37,e2c97c8bd23f9092128e4357cabb15886ee9b78a36916d2c5b8e2d09ca0346c2,1f85afec042ece9fdf7cb11e23330cb003bdd2870a8e2832b73f81cbc275a1f7,1ba2b2fca4bfc6de7d3eea9000087a86b6d098999ed833937a5600aec2bdf819,b2b6a2016cea5e3055a01cc0ff03fe4694ebe3ece06b7e7308d5423802b7ecd6
"803100201","0","0","0","803100201","0","803100251","0","0","0","0","803100201","0","803100263","803100253","803100252","0","100","0","0"
"803100205","0","0","0","803100202","0","803100251","0","0","0","0","803100202","0","803100263","803100253","803100252","0","100","0","0"
"803100209","0","0","0","803100203","0","803100251","0","0","0","0","803100203","0","803100263","803100253","803100252","0","100","0","0"
"803100213","0","0","0","803100204","0","803100254","0","0","0","0","803100204","0","803100263","803100256","803100255","0","100","0","0"
"803100214","0","0","0","803100205","0","803100254","0","0","0","0","803100205","0","803100263","803100256","803100255","0","100","0","0"
"803100215","0","0","0","803100206","0","803100254","0","0","0","0","803100206","0","803100263","803100256","803100255","0","100","0","0"
"803100216","0","0","0","803100207","0","803100257","0","0","0","0","803100207","0","803100263","803100259","803100258","0","100","0","0"
"803100217","0","0","0","803100208","0","803100257","0","0","0","0","803100208","0","803100263","803100259","803100258","0","100","0","0"
"803100218","0","0","0","803100209","0","803100257","0","0","0","0","803100209","0","803100263","803100259","803100258","0","100","0","0"
"803100219","0","0","0","803100210","0","803100260","0","0","0","0","803100210","0","803100263","803100262","803100261","0","100","0","0"
"803100220","0","0","0","803100211","0","803100260","0","0","0","0","803100211","0","803100263","803100262","803100261","0","100","0","0"
"803100221","0","0","0","803100212","0","803100260","0","0","0","0","803100212","0","803100263","803100262","803100261","0","100","0","0"
"803100222","0","0","0","803100213","0","803100264","0","0","0","0","803100213","0","803100267","803100266","803100265","0","100","0","0"
"803100223","0","0","0","803100214","0","803100264","0","0","0","0","803100214","0","803100267","803100266","803100265","0","100","0","0"
"803100224","0","0","0","803100215","0","803100264","0","0","0","0","803100215","0","803100267","803100266","803100265","0","100","0","0"
"803100225","0","0","0","803100216","0","803100226","0","0","0","0","803100216","0","803100272","803100269","803100268","0","100","0","0"
"803100227","0","0","0","803100217","0","803100228","0","0","0","0","803100217","0","803100272","803100269","803100268","0","100","0","0"
"803100229","0","0","0","803100218","0","803100230","0","0","0","0","803100218","0","803100272","803100269","803100268","0","100","0","0"
"803100231","0","0","0","803100219","0","803100232","0","0","0","0","803100219","0","803100272","803100271","803100270","0","100","0","0"
"803100233","0","0","0","803100220","0","803100234","0","0","0","0","803100220","0","803100272","803100271","803100270","0","100","0","0"
"803100235","0","0","0","803100221","0","803100236","0","0","0","0","803100221","0","803100272","803100271","803100270","0","100","0","0"
"803100237","0","0","0","803100222","0","0","0","0","0","0","803100222","0","0","0","0","0","100","0","0"
"803100238","0","0","0","803100223","0","0","0","0","0","0","803100223","0","0","0","0","0","100","0","0"
"803100239","0","0","0","803100224","0","0","0","0","0","0","803100224","0","0","0","0","0","100","0","0"
