4dbdc03c4c2ab61c61398c0f236f7857f15e8db1552264e0a7b5110932c87007,8a8a65ff4dad154dcc0af499a92c468cfe55364f07c98f047364ff94547ca30f,d77f01c2cc840f17bbb9b3a74b7feb894312bffffa30f2b9700c79e55c523c95,c86533f3753c9c63be30a84bd02fd1947e330d0e5a7de9fb92e3a11a6657acda,b2f895316c9220f37b224754b524bd83f481f353aab064c6d720dfce14a2433e,ad3dc2a1e6651a3079cc8f787ba1bc5f5b358984742b82a4748110d25b90c4bd,c2a0af88b148d13816adf8d090a01bbd487d849299540c8775554950fff70863,57fec7a15d0ec359c509dac05e887a9b8c10eb8b1354680b96ddd6c676b3368e
"18","2024/10/15 15:00:00","28501","1","4101501","1","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4102501","2","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4103501","3","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4104501","4","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4105501","5","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4106501","6","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4107501","7","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4108501","8","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4109501","9","2030/08/01 14:59:59","28501"
"18","2024/10/15 15:00:00","28501","1","4110501","10","2030/08/01 14:59:59","28501"
"18","2025/08/15 15:00:00","28503","1","4201501","1","2030/08/01 14:59:59","28503"
"18","2025/08/15 15:00:00","28503","1","4202501","2","2030/08/01 14:59:59","28503"
"18","2025/08/15 15:00:00","28503","1","4203501","3","2030/08/01 14:59:59","28503"
"18","2025/08/15 15:00:00","28503","1","4204501","4","2030/08/01 14:59:59","28503"
