b0b78347ca0e698440e4d969cdac1b3cb4b4261f0636403617efd1e0e25f666b,7527b1a852c3e48128095c5a1237d3c6f53462a07c48db3091af2cbec042c14a,5dbe0f18d187c96c29787abc75022695eed8ab7d01e59557bb96b975e9150cb6,cf6138aa3fddcbced18b45ae14e3edd00690d0a9ec8d47d8293819adcb0a5f81,bf7a185e287f98d02319f9a0e741f39be37af708bd2e8cdade8ddf6a3128e61d,8157d7e07628ba08f78ac96fbba8562e6a411ff66ed1851ebfde99e3921a30b2,a9aeaca75119d64898d9ec0d26311382700b6098598e6552929d683e56edf20d,bee06b11ef7d24161c0583c559216489d7a14fba8f2535fd1f2ee5d4dffe664a,8eead88d1cf29cdee977a001e58628ec7e37ce7341f9b9d67dea823ef1a90d8d,f817a09bd4dbbc1357ef2b9398d9475057b3b1f00749888c43dbe51a866bcef6,7dd3a3d872de8fccd6ded16c893f32ff3b2285e3482876d9616dab2d5d16f524,809b8dbaaa023f28dacd8f556c4163e2eb0f179381d7b02b68a53075953b2e70
"0","0","0","0","0","0","0","0","1","0","0","0"
"0","800","0","3","0","0","1","2","11002","1","0","0"
"0","500","0","1","0","0","1","1","12001","1","0","0"
"0","700","0","1","0","0","1","1","12002","1","0","0"
"0","600","0","1","0","0","1","2","13001","1","0","0"
"0","700","0","1","0","0","1","2","13002","1","0","0"
"0","600","0","1","0","0","1","2","14002","1","0","0"
"0","900","0","3","0","0","2","2","21001","1","0","0"
"0","0","0","0","0","0","8000","0","22001","2","0","0"
"1","1","0","99","0","0","5","1","23001","3","0","0"
"1","1","0","99","0","0","7","1","23002","3","0","0"
"1","3","0","0","0","0","0","4","25001","5","0","0"
"0","0","0","0","0","1","0","1","25002","5","0","0"
"1","3","0","0","0","0","1","4","25003","5","0","0"
"0","0","0","0","0","1","1","1","25004","5","0","0"
"0","37","0","0","0","40","76","0","26001","6","0","0"
"0","1","0","0","0","1","2","0","27001","7","0","0"
"0","1","0","0","0","1","3","0","27002","7","0","0"
"0","0","0","0","0","0","0","0","28001","8","0","0"
