60f3a60118960d00fd368248532051f5b376ea5b3e60197534aee6839964bd91,72960557c08c05c65b88d802a048d805dd25449693365d9d32845bacd067a9bb,771e49bef45599e0a742f4b0e901a853f4181972f319f04b90d477538d5e807d,15a638253ee8ceb5f94558055ff4c43b2f80503f01e94d6d67f499a2fd0061d2,078e9b88dc3378b4451360f1275ff08a81b8dbddd2a64f5c5ab4f1db2177c703,827d860d9a8f4c62e3a377ca9aa2b9cd7b7934d5e7122124d88b0435a1e42d6e,4a652b9339b96a01d1259a4e5a1b52ee4ce4dbb88ab838a492a39bf44ba3c3df,392904cb478c8c6af0c013e27f890aa45dc1e47c4102963130f5d3813f79616b,2d1dca292026ae59b4bfaf209305c3de66a0d4f2ad5f9e227cb50f538f9027a4,feac894c940bb8eb2028ef8c733d6c46ed88c51134138f74c43a90db39391a40,353e2d47ada3beb45ff276435dd9e763c60803f6095035a4600755dae4c2ffba,06c0c539c0876d96c5040ff26f022b81defd1dd86a77dd30bf35a40db59edd3f,a5b4f0d41c9bc26b9f90e6e5ed0718768c99a5a80f2e3ac30122e6115f5c56ea,e89dc675297ef73370c6e4995f1db40d9bbdf90df188f39d55ef5022074a7ecd,4dd5265b71b78e1a8a8b38bbe637a40e10cfbcbfc69787b60afbf68b0ffbe815,5eed5d080af4312c27871eab2abd3f0a5b04566f5168dd90fed6f6f4387255eb,13ce83eb3002cd1e2645b95309e3205aaa58484cfc32b2cd07370643683ffcef,c14359fda018aeb89f6568290defede7e9ec9cb8e409cafcdf68835176265bb3,23506c3d0a62e0a239449c1bb5cd05b52fe43f3a8d78ef83a5e3d99680d87ee9
"1","289","0","1","0","3","","12","-60","5","10132","1","0","0","5.5","610132501","3","610132007","0"
"1","289","0","1","70","0","","0","-60","5","10132","2","0","0","1.5","610132502","1","610132008","0"
"1","289","0","1","0","0","","0","-60","5","10132","3","0","0","1.5","0","1","610132009","0"
"1.85","292","0","1","55","3","","0","-50","5","10134","1","0","0","5.5","0","1","610134007","0"
"1.85","292","0","1","0","0","","30","-50","5","10134","2","0","0","1.5","610134502","3","610134008","0"
"1.85","292","0","1","0","0","","0","-50","5","10134","3","0","0","1.5","0","1","610134009","0"
"1.1","295","0","1","0","3","","0","0","5","10136","1","600","0","5.5","610136501","2","610136007","0"
"1.5","295","0","1","84","0","","0","-50","5","10136","2","0","0","1.5","0","1","610136008","0"
"1.5","295","0","1","0","0","","0","-50","5","10136","3","0","0","1.5","0","1","610136009","0"
"0.85","295","0","1","75","0","","0","0","5","10137","1","0","0","5.5","0","1","610137007","0"
"0.85","295","0","1","50","0","","0","0","5","10137","2","0","0","1.5","0","1","610137008","0"
"0.85","295","0","1","0","0","","0","0","5","10137","3","0","0","1.5","0","1","610137009","0"
"1.4","298","0","1","77","3","","0","0","5","10140","1","0","0","5.5","0","1","610140007","0"
"1.4","298","0","1","52","0","","0","0","5","10140","2","0","0","1.5","0","1","610140008","0"
"1.4","298","0","1","0","0","","0","0","5","10140","3","0","0","1.5","0","1","610140009","0"
"1.45","301","0","1","76","3","","0","-33","5","10142","1","0","0","5.5","0","1","610142007","0"
"1.23","301","0","1","0","3","","0","-40","5","10142","2","600","0","1.5","610142502","2","610142008","0"
"1.45","301","0","1","0","0","","0","-33","5","10142","3","0","0","1.5","0","1","610142009","0"
"1","304","0","1","65","3","","0","-33","5","10144","1","0","0","5.5","0","1","610144007","0"
"0.85","304","0","1","0","3","","0","-40","5","10144","2","600","0","1.5","610144502","2","610144008","0"
"1","304","0","1","0","0","","0","-33","5","10144","3","0","0","1.5","0","1","610144009","0"
"0.87","307","0","1","0","3","","0","-45","5","10146","1","600","0","5.5","610146501","2","610146007","0"
"1.18","307","0","1","58","0","","0","-45","5","10146","2","0","0","1.5","0","1","610146008","0"
"1.18","307","0","1","0","0","","0","-45","5","10146","3","0","0","1.5","0","1","610146009","0"
"1.4","310","0","1","0","3","","0","-50","5","10148","1","600","0","5.5","610148501","2","610148007","0"
"1.7","310","0","1","68","0","","0","-50","5","10148","2","0","0","1.5","0","1","610148008","0"
"1.7","310","0","1","0","0","","0","-50","5","10148","3","0","0","1.5","0","1","610148009","0"
"1.35","313","0","1","71","3","","0","-33","5","10150","1","0","0","5.5","0","1","610150007","0"
"1.35","313","0","1","50","3","","0","-33","5","10150","2","0","0","1.5","0","1","610150008","0"
"1.35","313","0","1","0","0","","0","-33","5","10150","3","0","0","1.5","0","1","610150009","0"
"0.7","316","0","1","0","4.8","","0","20","5","10152","1","600","0","5.5","610152501","2","610152007","0"
"0.96","316","0","1","81","0","","0","30","5","10152","2","0","0","1.5","0","1","610152008","0"
"0.96","316","0","1","0","0","","0","30","5","10152","3","0","0","1.5","0","1","610152009","0"
"1.25","319","0","1","68","3","","0","-33","5","10154","1","0","0","5.5","0","1","610154007","0"
"1","319","0","1","0","3","","0","-10","5","10154","2","600","0","1.5","610154502","2","610154008","0"
"1.25","319","0","1","0","0","","0","-33","5","10154","3","0","0","1.5","0","1","610154009","0"
"0.85","322","0","1","0","3","","0","5","5","10156","1","600","0","5.5","610156501","2","610156007","0"
"1.11","322","0","1","75","3","","0","-10","5","10156","2","600","0","1.5","0","1","610156008","0"
"1.11","322","0","1","0","0","","0","-10","5","10156","3","0","0","1.5","0","1","610156009","0"
"1.5","325","0","1","0","3","","0","-40","5","10158","1","600","0","5.5","610158501","2","610158007","0"
"1.75","325","0","1","65","0","","0","-33","5","10158","2","0","0","1.5","0","1","610158008","0"
"1.75","325","0","1","0","0","","0","-33","5","10158","3","0","0","1.5","0","1","610158009","0"
"1.4","328","0","1","0","4.8","","20","-35","5","10160","1","600","0","5.5","610160501","3","610160007","0"
"1.4","328","0","1","70","0","","0","-35","5","10160","2","0","0","1.5","0","1","610160008","0"
"1.4","328","0","1","0","0","","0","-35","5","10160","3","0","0","1.5","0","1","610160009","0"
