74e4920418f9daaf9267ce32c91e950d7803b22a08f04aa24cf1ee2fbe1820cd,2ce00d9bef90931803ac3ee5217365594f901b346fe4eb42a8f6f3b5075bc25e,c5ce8c2906e1ce93ed4e5db2e108a6c10347fedf5a5806319e41289c7c05a24c,4f6c11ce4ac25f2c2f93b5d83e52254e92061907cf3f6118ee7ffe920ccd40a8,843a33d1aa079325eff08302c8defcbf0aaa233df46c662596ec5e71e8c8f212
"ダメージ減衰","75000001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000101"
"ＴＰ上昇上限付与","75000001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000102"
"物理防御力（ダウン不可）アップ","75000001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","500000103"
"魔法防御力（ダウン不可）アップ","75000001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000104"
"ＨＰ吸収ダウン","75000001","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","500000105"
"ＴＰダウンカット","75000001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000106"
"ダメージ減衰","75000002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000201"
"ＴＰ上昇上限付与","75000002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000202"
"物理防御力（ダウン不可）アップ","75000002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","500000203"
"魔法防御力（ダウン不可）アップ","75000002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000204"
"ＨＰ吸収ダウン","75000002","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","500000205"
"ＴＰダウンカット","75000002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000206"
"ダメージ減衰","75000003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000301"
"ＴＰ上昇上限付与","75000003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000302"
"物理防御力（ダウン不可）アップ","75000003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","500000303"
"魔法防御力（ダウン不可）アップ","75000003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000304"
"ＨＰ吸収ダウン","75000003","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","500000305"
"ＴＰダウンカット","75000003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000306"
