05c24a4755b3fe5f722afa36aafb0f4d80f28fe5307f0590ddab12fb7b83fe05,24c9f55f245ec50733d4542c9e063e564c2f008c8481c6563f3b884ba8bc981d,5271dbe5aa4c848539c2c8cfc24b9d2fffc56f919c9c4a5a7842c5721756f0c6,b2ea9daac26d3412920c2e042915f2aefbc35edb6fd3269d50e743d6410a093e,6c43f0dfd2e08833afe04e3384b3c2bf570559ee4f1b947cd9d7e1291408f302
"300","1","135","1","1"
"-100","1","425","2","1"
"125","2","-100","3","1"
"-415","2","375","4","1"
"-50","3","25","5","1"
"-300","3","-25","6","1"
"-335","4","-195","7","1"
"-415","4","105","8","1"
"-160","5","135","9","1"
"-40","6","345","10","1"
"90","7","-230","11","1"
"-420","8","230","12","1"
"250","9","30","13","1"
"-245","10","280","14","1"
"-110","11","-150","15","1"
