963b009879ca5cabcb072a5ceb120b7ca7beaaff91cc8f21f04b575c79c7243c,a62009cffe1e4e8921ec35c34aeff37b656286d116d7804efc3fd6bb9d69da71,564f424f341941ce48c7570eadad85f6fe2e44afe0c31a053826ca9b6860f5d2,22b2fcb88a345c1a38165eacfdaa528a03a17f58057bdd043c50318af576055e,43e0d1d386f5c733b74e052d4126cfdc949c9970f83b76346ea84de9d0ca4502,455b29ad62ecd1535e5895361f4f2cd90b01322aa54bdf2342f578bee9aa8f97,7b1717581f99556ac3ac78873d5c41401bb8b025c080f205fd6c22c5dae054e1
"2500","累計スコアを2500pt 獲得しよう","1","101","91002","10","8"
"5000","累計スコアを5000pt 獲得しよう","1","102","91002","10","8"
"10000","累計スコアを10000pt 獲得しよう","1","103","91002","10","8"
"12500","累計スコアを12500pt 獲得しよう","1","104","91002","10","8"
"15000","累計スコアを15000pt 獲得しよう","1","105","91002","10","8"
"20000","累計スコアを20000pt 獲得しよう","1","106","91002","10","8"
"25000","累計スコアを25000pt 獲得しよう","1","107","91002","10","8"
"30000","累計スコアを30000pt 獲得しよう","1","108","91002","10","8"
"35000","累計スコアを35000pt 獲得しよう","1","109","91002","10","8"
"40000","累計スコアを40000pt 獲得しよう","1","110","91002","10","8"
"45000","累計スコアを45000pt 獲得しよう","1","111","91002","10","8"
"50000","累計スコアを50000pt 獲得しよう","1","112","11001302","1","15"
"2500","累計スコアを2500pt 獲得しよう","2","201","91002","10","8"
"5000","累計スコアを5000pt 獲得しよう","2","202","91002","10","8"
"10000","累計スコアを10000pt 獲得しよう","2","203","91002","10","8"
"12500","累計スコアを12500pt 獲得しよう","2","204","91002","10","8"
"15000","累計スコアを15000pt 獲得しよう","2","205","91002","10","8"
"20000","累計スコアを20000pt 獲得しよう","2","206","91002","10","8"
"25000","累計スコアを25000pt 獲得しよう","2","207","91002","10","8"
"30000","累計スコアを30000pt 獲得しよう","2","208","91002","10","8"
"35000","累計スコアを35000pt 獲得しよう","2","209","91002","10","8"
"40000","累計スコアを40000pt 獲得しよう","2","210","91002","10","8"
"45000","累計スコアを45000pt 獲得しよう","2","211","91002","10","8"
"50000","累計スコアを50000pt 獲得しよう","2","212","11001303","1","15"
