38253eba22e66cfa7fe4049e50441d45d172c8eebe3a9a0167aeac403717fea2,ce91334de83a9cff7ff65c6105e613fd15cc3c86f117904bb7f69a286de498b3,0b54997a25edd11ed32b1dff335b602e034db31b8d7a528499414b9f729a6753,9f132274de484eac594f2e1516da212b5452773bf467e36d351a71c2531eff18,379eafdc4b9477ce28c11805ef99aa2938445a900b8a6a3061686ada98e03c77
"10201","1","3","2","1"
"10202","2","3","2","2"
"10203","3","3","2","3"
"10301","4","10","2","4"
"10302","5","10","2","5"
"10303","6","10","2","6"
"10304","7","10","2","7"
"10401","8","20","2","8"
"10402","9","20","2","9"
"10403","10","20","2","10"
"10404","11","20","2","11"
"10405","12","20","2","12"
"10406","13","20","2","13"
"10407","14","20","2","14"
"10408","15","20","2","15"
"10409","16","20","2","16"
"10701","17","3","1","1"
"10601","18","3","1","2"
"10602","19","3","1","3"
"10603","20","3","1","4"
"10604","21","3","1","5"
"11301","22","10","1","6"
"11302","23","10","1","7"
"11303","24","10","1","8"
"11401","25","20","1","9"
"11402","26","20","1","10"
"11403","27","20","1","11"
"11601","28","20","1","12"
"11602","29","20","1","13"
"11603","30","20","1","14"
"11604","31","20","1","15"
"11605","32","20","1","16"
"11606","33","20","1","17"
"11101","34","20","1","18"
"11102","35","20","1","19"
"11103","36","20","1","20"
"11701","37","20","1","21"
"11702","38","20","1","22"
"11703","39","20","1","23"
"10501","40","3","3","1"
"10502","41","3","3","2"
"10503","42","3","3","3"
"11201","43","10","3","4"
"10801","44","10","3","5"
"10802","45","10","3","6"
"10803","46","10","3","7"
"10804","47","10","3","8"
"10901","48","20","3","9"
"10902","49","20","3","10"
"10903","50","20","3","11"
"10904","51","20","3","12"
"11001","52","20","3","13"
"11002","53","20","3","14"
"11003","54","20","3","15"
"11501","55","20","3","16"
"11502","56","20","3","17"
"11503","57","20","3","18"
"11504","58","20","3","19"
"11505","59","20","3","20"
"11506","60","20","3","21"
