25ea985587e4620a8409d9afc6251458060fa72094f01186fdd555efa6b8c47c,5a2c59706d76f6d8b67def6d29816d9d4d90e20539a346257296069ca48cb8b0,9b0a59a8b858af5241e385f27759ea02fa6b588591de6bef7ca4b24984f7d912,55bf196cf8532bb9987ca7a826ac3116e7b53d09034b7bf32716a2dc4a8c09d7,9e4e6289bd3a556d36635ebfe74c6574c97a7bc88e9f7109b599a34c15f8370c,68b9a391ea540cb87f811d603c9bb6b7cc913a289cbb1642e28e22f1947566bc,969918ef0132b10ca7e84ee5248a9ec9961e981b0fb3e1b9bcd03cd02e9ab88c
"300","1","0","2","0","10101","0"
"360","1","0","2","1","10101","0"
"420","1","0","2","2","10101","0"
"480","1","0","2","3","10101","0"
"540","1","0","2","4","10101","0"
"600","1","0","2","5","10101","0"
"900","2","0","2","0","10101","0"
"960","2","0","2","1","10101","0"
"1020","2","0","2","2","10101","0"
"1080","2","0","2","3","10101","0"
"1140","2","0","2","4","10101","0"
"1200","2","0","2","5","10101","0"
"1500","3","0","2","0","10101","0"
"1560","3","0","2","1","10101","0"
"1620","3","0","2","2","10101","0"
"1680","3","0","2","3","10101","0"
"1740","3","0","2","4","10101","0"
"1800","3","0","2","5","10101","0"
"2100","4","0","2","0","10101","0"
"2160","4","0","2","1","10101","0"
"2220","4","0","2","2","10101","0"
"2280","4","0","2","3","10101","0"
"2340","4","0","2","4","10101","0"
"2400","4","0","2","5","10101","0"
"2700","5","0","2","0","10101","0"
"2760","5","0","2","1","10101","0"
"2820","5","0","2","2","10101","0"
"2880","5","0","2","3","10101","0"
"2940","5","0","2","4","10101","0"
"3000","5","0","2","5","10101","0"
"3150","6","0","2","0","10101","0"
"3180","6","0","2","1","10101","0"
"3210","6","0","2","2","10101","0"
"3240","6","0","2","3","10101","0"
"3270","6","0","2","4","10101","0"
"3300","6","0","2","5","10101","0"
"3450","7","0","2","0","10101","0"
"3480","7","0","2","1","10101","0"
"3510","7","0","2","2","10101","0"
"3540","7","0","2","3","10101","0"
"3570","7","0","2","4","10101","0"
"3600","7","0","2","5","10101","0"
"3750","8","0","2","0","10101","0"
"3780","8","0","2","1","10101","0"
"3810","8","0","2","2","10101","0"
"3840","8","0","2","3","10101","0"
"3870","8","0","2","4","10101","0"
"3900","8","0","2","5","10101","0"
"4050","9","0","2","0","10101","0"
"4080","9","0","2","1","10101","0"
"4110","9","0","2","2","10101","0"
"4140","9","0","2","3","10101","0"
"4170","9","0","2","4","10101","0"
"4200","9","0","2","5","10101","0"
"4350","10","0","2","0","10101","0"
"4380","10","0","2","1","10101","0"
"4410","10","0","2","2","10101","0"
"4440","10","0","2","3","10101","0"
"4470","10","0","2","4","10101","0"
"4500","10","0","2","5","10101","0"
"150","1","0","5","0","10102","0"
"180","1","0","5","1","10102","0"
"210","1","0","5","2","10102","0"
"240","1","0","5","3","10102","0"
"270","1","0","5","4","10102","0"
"300","1","0","5","5","10102","0"
"450","2","0","5","0","10102","0"
"480","2","0","5","1","10102","0"
"510","2","0","5","2","10102","0"
"540","2","0","5","3","10102","0"
"570","2","0","5","4","10102","0"
"600","2","0","5","5","10102","0"
"750","3","0","5","0","10102","0"
"780","3","0","5","1","10102","0"
"810","3","0","5","2","10102","0"
"840","3","0","5","3","10102","0"
"870","3","0","5","4","10102","0"
"900","3","0","5","5","10102","0"
