b942361f53300b51b2cceccfb3066ce67b5ac5cdaa82bb4a0d61f7d8bcda6042,8cd536cd089d8ef533ba71f937402d387f1475b964c533bb083a5f43150b3b70,00b00fa3059cf957813ad6ed46b323bc4a131a035f8ad3f8e16f1e8278fe1f41,26f0139c4ae7762a0c5d65d829e3e496953449733ae2e301129084877ed94201,dee6818afb6c2a5504a6ca2111293a37112b493b94c52cc3b6d7df3ec7d62ba2,a36cc62f9de183f7eb40c1098f54becd6915a112d065a3049d1ecb1515a3567a
"1","0","10008103","1","10008","10008001"
"2","0","10008104","1","10008","10008002"
"3","0","10008105","1","10008","10008003"
"4","0","10008107","1","10008","10008004"
"5","0","10008111","1","10008","10008005"
"201","0","0","2","10008","10008006"
"101","0","10008105","201","10008","10008201"
"102","0","10008107","201","10008","10008202"
"103","0","10008111","201","10008","10008203"
"111","0","10008115","202","10008","10008204"
"105601","0","0","101","10008","10008301"
"100901","0","10008103","101","10008","10008302"
"101301","0","10008104","101","10008","10008303"
"105601","0","10008105","101","10008","10008304"
"101301","0","10008107","101","10008","10008305"
"100901","0","10008111","101","10008","10008306"
"105601","0","0","102","10008","10008307"
"201","0","0","2","10010","10010001"
"2","0","10010112","1","10010","10010002"
"3","0","10010115","1","10010","10010003"
"4","0","10010103","1","10010","10010004"
"5","0","10010105","1","10010","10010005"
"6","0","10010107","1","10010","10010006"
"7","0","10010109","1","10010","10010007"
"101","0","10010112","211","10010","10010201"
"0","0","10010115","211","10010","10010202"
"101461","101471","10010110","501","10010","10010501"
"101462","101472","10010110","501","10010","10010502"
"101463","101473","10010110","501","10010","10010503"
"211","0","1001004","3","10010","10010531"
"1","0","1001201","4","10012","10012001"
"2","0","1001202","4","10012","10012002"
"3","0","1001203","4","10012","10012003"
"4","0","1001204","4","10012","10012004"
"101","0","1001201","5","10012","10012301"
"101","0","1001202","5","10012","10012302"
"101","0","1001203","5","10012","10012303"
"501","0","0","6","10012","10012401"
"211","0","1001204","3","10012","10012531"
"211","0","1001304","3","10013","10013531"
"211","0","1001504","3","10015","10015531"
"1","0","10017102","1","10017","10017001"
"2","0","10017108","1","10017","10017002"
"3","0","10017115","1","10017","10017003"
"105801","0","0","101","10017","10017301"
"109901","0","10017102","101","10017","10017302"
"109901","0","0","102","10017","10017303"
"211","0","1001704","3","10017","10017531"
"101921","101931","10021112","501","10021","10021001"
"101922","101932","10021112","501","10021","10021002"
"101923","101933","10021112","501","10021","10021003"
"100011","100351","10021112","501","10021","10021004"
"100012","100352","10021112","501","10021","10021005"
