80e0da0596ef080c421b9d87d15bc8489c020d5b7f2eb1e3fbf40e68dbb6cd05,006e364733951974ea819e19e71632b45469ce587426e6294493481b25d1f5ed,6024c2119550e9e583723dba732a1c1d90c245094ac2ff3bfd820b2e8bd93466,70b3256f83d0f7fcc482ee1a31ba0504e2e72f4af3445c4d3dd066b61aed40bb,fb1dabddcbebf189392e5d10ac178235d81796dfc2a93877eb06c701247d0da5,eda3d4b480e1d66054733908b4752580f8b43360153e47d112a6a9d0c1d3c71f,ee5b2f1ff74000de6502aedb594215c4884a434f5e55d7c103aff101afe52ad1,08f1ed96ded69d109a5fc748d350b14f33cf3a27d7e3d8884ddcebfcef234fcf
"71","1","1","1","182","170","-401","-90"
"81","1","2","2","182","170","-401","-90"
"121","1","3","3","182","255","-255","90"
"131","1","4","4","182","255","-255","90"
"141","1","5","5","182","255","-255","90"
"191","1","6","6","176","229","-107","-80"
"201","1","7","7","176","229","-107","-80"
"271","1","8","8","151","218","136","-85"
"281","1","9","9","151","218","136","-85"
"291","1","10","10","151","218","136","-85"
"331","1","11","11","219","156","280","80"
"341","1","12","12","219","156","280","80"
"351","1","13","13","219","156","280","80"
"401","1","14","14","183","213","417","-97"
"411","1","15","15","183","213","417","-97"
"451","2","1","2","229","242","-259","-73"
"481","2","2","4","179","226","-222","124"
"501","2","3","6","192","219","-101","-67"
"521","2","4","8","190","168","-26","-27"
"551","2","5","11","260","192","117","-50"
"601","2","6","14","138","159","241","120"
"611","2","7","14","138","159","241","120"
"621","2","8","14","229","224","243","-71"
"781","3","1","1","43","71","-353","32"
"801","3","2","2","268","235","-228","-30"
"831","3","3","3","45","80","-243","144"
"851","3","4","4","225","221","20","-76"
"861","3","5","5","222","211","230","-74"
"891","3","6","6","136","115","-100","44"
"901","3","7","7","136","115","-100","44"
"991","3","8","8","250","306","116","76"
"1001","3","9","9","250","306","116","76"
"1011","3","10","10","250","306","116","76"
"1041","3","11","11","188","96","322","40"
"1051","3","12","12","188","96","322","40"
"1091","4","1","1","272","294","-211","-6"
"1101","4","2","2","115","92","-288","129"
"1111","4","3","3","115","92","-288","129"
"1121","4","4","4","174","135","-58","128"
"1151","4","5","5","184","222","143","133"
"1161","4","6","6","98","134","-277","-129"
"1171","4","7","7","98","134","-277","-129"
"1211","4","8","8","70","67","-60","-12"
"1221","4","9","9","70","67","-60","-12"
"1231","4","10","10","185","132","116","-55"
"1261","4","11","11","89","93","-17","-103"
"1271","4","12","12","89","93","-17","-103"
"1311","4","13","13","239","150","232","23"
"1391","5","1","1","72","114","-289","-161"
"1401","5","2","2","72","114","-289","-161"
"1411","5","3","3","248","228","-261","80"
"1431","5","4","4","211","223","-103","-91"
"1471","5","5","5","181","186","-87","95"
"1551","5","6","6","176","132","69","-122"
"1561","5","7","7","176","132","69","-122"
"1611","5","8","8","184","143","54","91"
