f6cecf94b8acc4f9da55c14f3befa36c4c47868618029cf9f3d4e9d069a71883,ceb0425e714e88b8ff199093bbb663aeaf55872c71f09ff9d5a8e90ea2a2b3e8,5d5887cca9328c0ddc00abdc418a680d185957fcdacc6b1e2332d65812f23ad1,37b00a24a6b4c535239f6bc1cd84bc1ca8a8a604c25fbc65a21e0a02cb01147f
"1","180701","4","1001"
"2","180701","4","1002"
"3","180701","4","1003"
"4","180701","4","1004"
"5","180701","4","1005"
"6","180701","2","1014"
"7","180701","2","1015"
"8","180701","2","1016"
"9","180701","2","1017"
"10","180701","2","1010"
"11","180701","2","1011"
"12","180701","2","1012"
"13","180701","2","1013"
"14","180801","6","1001"
"15","180801","6","1002"
"16","180801","6","1003"
"17","180801","6","1004"
"18","180801","6","1005"
"19","180801","3","1014"
"20","180801","3","1015"
"21","180801","3","1016"
"22","180801","4","1017"
"23","180801","3","1010"
"24","180801","3","1011"
"25","180801","3","1012"
"26","180801","3","1013"
"27","180801","3","1009"
"28","180901","4","1001"
"29","180901","4","1002"
"30","180901","4","1003"
"31","180901","4","1004"
"32","180901","4","1005"
"33","180901","2","1014"
"34","180901","2","1015"
"35","180901","2","1016"
"36","180901","4","1017"
"37","180901","2","1010"
"38","180901","2","1011"
"39","180901","2","1012"
"40","180901","2","1013"
"41","181001","4","1001"
"42","181001","4","1002"
"43","181001","4","1003"
"44","181001","4","1004"
"45","181001","4","1005"
"46","181001","2","1009"
"47","181001","2","1010"
"48","181001","2","1011"
"49","181001","2","1012"
"50","181001","2","1013"
"51","181001","2","1014"
"52","181001","2","1015"
"53","181001","2","1016"
"54","181001","2","1017"
"55","181101","4","1001"
"56","181101","4","1002"
"57","181101","4","1003"
"58","181101","4","1004"
"59","181101","4","1005"
"60","181101","2","1009"
"61","181101","2","1010"
"62","181101","2","1012"
"63","181101","2","1013"
"64","181101","2","1014"
"65","181101","2","1015"
"66","181101","2","1016"
"67","181101","2","1017"
