b411f699d62199773726c1380f42f3599b84dcf859246fd114dfe4984c3a5200,1cdcabe49f093fb10c879cd59fae4f16c701eb0265bbc20ffae557cc3dbb72ef,297313c907fcc204b1f94a841ec618f3d5a8b018dc26a678c4c82b13e1350268,c501ed9efb6755b17df56aef76d7dc0fdf1f0c384a2793bb3a19deff947f7fdf,8c0fb5f5ecfe736e5e80fad50acf9efb1dc068d11274535efed6883e90f14c75,e95a1c4582df8fef1ff31de6a3e3ae3f661192562db5f36729030976e55cc454,e151d7b5a43f721809e2f0e5cf1c9f1b2e28fbcccf1c90c71cad9ea25d082cc2,6301029fab866de08679b9f636a92533aca0aaa9aec97a7c1fcf21af62aeb3c1
"13","2030-04-01 14:00:00","1000001","190801","0","1000","2020-02-15 15:00:00","様々なミニゲームをご用意してい\nますよ！\nどのミニゲームで遊びますか？"
"13","2030-04-01 14:00:00","1000002","190801","0","1000","2020-02-15 15:00:00","楽しいミニゲームをご紹介！\nあなたはどのミニゲームで\n遊びますか？"
"13","2030-04-01 14:00:00","1001001","190801","0","1001","2020-02-15 15:00:00","こちらは{0}ルピで\n販売中！\nぜひ購入して\n遊んでくださいね！"
"12","2030-04-01 14:00:00","1002001","190801","0","1002","2020-02-15 15:00:00","動くハートに合わせてタップ！\nシズルさんとエリコさんの\nチョコレートケーキ作りを\nお手伝いしましょう！"
"11","2030-04-01 14:00:00","1003001","190801","0","1003","2020-02-15 15:00:00","クウカさんを引っ張ってより遠く\nへ飛ばしてあげましょう！\n色々なハプニングでクウカさんに\nエクスタシーを届けましょう！"
"3","2030-04-01 14:00:00","1004001","190801","0","1004","2020-02-15 15:00:00","左右をタップしてマジムンを倒し\nましょう！\n放て！\n琉球犬アラウンドシュート！"
"7","2030-04-01 14:00:00","1005001","190801","0","1005","2020-02-15 15:00:00","パネルをタップしてドラゴンズ\nネストのみなさんと一緒に\nしりとり対決をしませんか？\nおしりに「ん」はご法度です。"
"2","2030-04-01 14:00:00","1006001","190801","0","1006","2020-05-31 12:00:00","素早い動きのネズミに合わせ、\nタップで撃退！\nやる気のリンさんと一緒に\n大切なチーズを守りましょう！"
"4","2030-04-01 14:00:00","1007001","190801","0","1007","2020-08-15 15:00:00","ミサトさんや部員のみなさんと\nバッティングの特訓ですよ！\nホームランを目指して、ボールを\nタイミングよく打ち返しましょう"
"6","2030-04-01 14:00:00","1008001","190801","0","1008","2021-08-31 12:00:00","カルミナメダルを使って、\n応援グッズをゲットしましょう！\nメダルはルピを使って\n交換できますよ。\n"
"13","2030-04-01 14:00:00","1009001","190801","0","1009","2021-12-18 15:00:00","食べたプリンはプリンノート\nで確認してみましょう！\nプリンの材料はルピを使って\n購入できますよ。"
"4","2030-04-01 14:00:00","1010001","190801","0","1010","2022-02-15 15:00:00","チームでクイズに挑みましょう！\nソロで自分の実力を試すか、マル\nチで仲間と一緒に遊ぶか、好きな\nモードを選んでくださいね♪"
"6","2030-04-01 14:00:00","1011001","190801","0","1011","2022-07-18 15:00:00","３つのラウンドを駆け抜け、\n総合１位を目指しましょう！\n参加者の皆さんの特徴や、\nＧＰの特徴にも注目です♪"
"6","2030-04-01 14:00:00","1012001","190801","0","1012","2023-09-18 15:00:00","キャルさん、スズナさんと一緒に\nクイズでお勉強しましょう！\n放課後の教室で二人きりって…\nなんだかドキドキしますね♪"
"6","2030-04-01 14:00:00","1013001","190801","0","1013","2024-04-18 15:00:00","魔物の討伐任務にいざ行軍！\nエリコさん、マコトさんの\n頼もしい背中は、\n新兵さんたちの憧れですね♪"
"6","2030-04-01 14:00:00","1014001","190801","0","1014","2024-11-18 15:00:00","バンディ・シスターズのみなさん\nと戦車バトルに挑戦です！\nパーツやメンバーの組み合わせで\nマシンの特徴が変化しますよ♪"
