196a21b6373b05c7c3c8e16d30baaff793e79fb941dea8a96b2409dbae806635,434a052bc8e9fb8ff8cb4cc99ff7b872da00d9fc0d71e7e80cf177393e15c93f,1ceda40092f3c8247760abe5367df30f73244930424b510e24ec1720904e4830
"1","1","101"
"2","1","103"
"3","1","105"
"4","2","101"
"5","2","102"
"6","2","103"
"7","2","105"
"8","3","101"
"9","3","102"
"10","3","103"
"11","4","101"
"12","4","103"
"13","4","104"
"14","4","105"
"15","5","103"
"16","5","104"
"17","5","105"
"18","6","102"
"19","6","104"
"20","6","106"
"21","7","101"
"22","7","102"
"23","7","106"
"24","8","102"
"25","8","103"
"26","8","106"
"27","9","103"
"28","9","104"
"29","9","105"
"30","10","101"
"31","10","103"
"32","10","105"
"33","11","107"
"34","11","108"
