0f98c8e4913b1af115661217cf36112bc5ef2ffc6e4006dae5861bf8d67d590e,c5ccfe15ed42c97883a6f9c885e261666b7e99dabc61a46efb399fbe6ad0c8f4,026fa2c978e4edf323550c71d891a1b39c902bb24c2ea153fa7896bd1def0f0f,3e9a97ba2f3ca19191054d6fdf12c5cee936fdfe5591a0dfd1609d8fc6125bf5,0ad961afb714610184c87a2c5cde24770452ee479431d305f7bd984024995735
"0","111011101","1","1","3"
"0","111021101","1","1","3"
"0","133011101","1","1","3"
"0","133011201","1","1","5"
"0","133020101","1","1","3"
"1","133020201","1","1","3"
"0","133030101","1","1","3"
"0","133030201","1","2","3"
"0","133030301","1","3","3"
"1","133030401","1","1","3"
"1","133030501","1","2","3"
"1","133030601","1","3","3"
"0","133040101","1","1","3"
"1","133040201","1","1","3"
"2","133040301","1","1","3"
"3","133040401","1","1","3"
"0","133051101","1","1","3"
"0","133051201","1","1","5"
"0","134010101","2","1","3"
"0","134010201","2","3","3"
"0","134021101","1","1","3"
"0","134021201","1","1","5"
"0","140010101","2","1","4"
"1","140010201","2","1","1"
"0","140010301","2","1","1"
"0","140020101","1","3","1"
