519c6b165c197bb2fcc1ef03bc55dad14264fd3939ee4ba42374ef85e11b5f7f,558de368a53e30765b0d5795a9d78de37ac6e916c06ecacf1bb88fb9803e1966,749978cbe7fd9cae2e7bb5224399dbd3861318a2c24a4bb68323a836ff1e1e57,4e723f7d6a84a1d4d01a60f17d9fd47f71965bf122fcf34b9dd0175d219fb0fe,46cd39d0bccb3cecebae5383934a630d9cff6bec6587d06f6bf22556f80dfe90,712c4e8e38b6e373b4426269d35c58ea56bbd1c468d169b6e06c96a76c07660b
"1","1101","20025","1","0","0"
"1","1102","20025","1","0","0"
"0","1103","20025","1","5042002","1"
"1","1104","20025","1","0","0"
"0","1105","20025","1","5042003","1"
"1","1106","20025","1","0","0"
"0","1107","20025","1","5042005","2"
"0","1201","20025","2","5042007","1"
"0","1202","20025","2","5042007","2"
"1","1203","20025","2","0","0"
"1","1204","20025","2","0","0"
"0","1301","20025","1","0","0"
