a366ff4c7e7bee29019e9dc37dc869d84857aed481bc9d85db29ffbadb37befd,d59017c037646ff40c7ea498812d9617d614919574b26b3b71669741339a8cee,3883605f5849cd6186dbbd312d8842d08fd020d6fbdd0d82bf5eaa0991c74757,a8fd7f3d9f53a097b16f08ade4c723590a944820b33c964e2744d7ccf42712d3,680abb4c74c824f3982b9260a83863d00b22f0c0acf8b29064a2e39b56c6678a,031ea42fda8b676f02af0c0827c261c8a0151f261e07c06d9c5d744d4979c30a,cd4fd019a1d174c2d0fe57ea6110a9ab02bfa388412e649642aa18086c1cf435
"1","0","50","9999999","50","0","1"
"2","0","20","9999999","80","0","2"
"3","0","70","2000","30","0","3"
"3","0","30","5000","40","30","4"
"3","20","0","10000","40","40","5"
"3","30","0","15000","30","40","6"
"3","35","0","20000","25","40","7"
"3","40","0","25000","20","40","8"
"3","45","0","30000","15","40","9"
"3","50","0","35000","10","40","10"
"3","55","0","40000","10","35","11"
"3","60","0","45000","5","35","12"
"3","65","0","50000","5","30","13"
"3","70","0","55000","0","30","14"
"3","75","0","60000","0","25","15"
"3","80","0","65000","0","20","16"
"3","85","0","70000","0","15","17"
"3","90","0","75000","0","10","18"
"3","95","0","80000","0","5","19"
"3","100","0","9999999","0","0","20"
