88254159e48a4478801388b451017ea0e05f2a507e117e8c38c6fc557147e9fa,45b4461394ed1a01f3e06f2ea3d5b0c7dcd2be55f460dc7c90c5c0e93956a3f5,310fc42fa3a59aee8b1e6984034efca0ee27e99acc1d9ed7c87a9f26d1179b59,9e0e9aa34a6850e8b0f16134082d1aafd43a69e4f0c91e450360e6b914c591ad,94bd584e5d57d3db3d6b93df583d2b7aa76071708cf559c7e41d3c4c5daee1cf,3f1a0c61e3739388c8c88f99d29215e0586e8456e7c17bdeb6dfe014bdb3cca5,2781f2b0c5878b16695130c65d5bac86f0d924806b1970f654ec1aefb802580d
"200","100","1004","150","250","50","1"
"320","160","1004","240","400","80","2"
"200","100","1004","150","250","50","3"
"200","100","1004","150","250","50","5"
"320","160","1004","240","400","80","6"
"2","1","1004","1","3","1","12"
"200","100","1005","150","250","50","1"
"200","100","1005","150","250","50","3"
"320","160","1005","240","400","80","4"
"200","100","1005","150","250","50","5"
"320","160","1005","240","400","80","7"
"2","1","1005","1","3","1","13"
"100","50","1010","75","125","25","1"
"160","80","1010","120","200","40","2"
"100","50","1010","75","125","25","3"
"100","50","1010","75","125","25","5"
"160","80","1010","120","200","40","6"
"100","50","1011","75","125","25","1"
"100","50","1011","75","125","25","3"
"160","80","1011","120","200","40","4"
"100","50","1011","75","125","25","5"
"160","80","1011","120","200","40","7"
"400","200","1006","300","500","100","1"
"200","100","1006","150","250","50","2"
"400","200","1006","300","500","100","3"
"400","200","1006","300","500","100","5"
"200","100","1006","150","250","50","6"
"2","1","1006","1","3","1","12"
"400","200","1007","300","500","100","1"
"400","200","1007","300","500","100","3"
"200","100","1007","150","250","50","4"
"400","200","1007","300","500","100","5"
"200","100","1007","150","250","50","7"
"2","1","1007","1","3","1","13"
