1ab9af02d1f087221551bd4bade76a168a304d66cf8e6450023178ea7d63302e,7f08ced7fa49b0fbbc0682ef6716a9bdc395f638384ce8b0890145fb40788a38,60077ef1234bd2c6b515886adb5763540644364861db0d9913bb00887c459031,436a12ea0cc653fd1e4ff52c156463712fd1d5ab35bbc9b96d25e8e2eec3bedc,83ed47d94af776dc2af67db07be536e22b2d63bba10dbddc4d7f794a02f8b5e9
"1","803100201","3","0","3001"
"2","803100202","3","0","3001"
"3","803100203","3","0","3001"
"1","803100204","3","0","3002"
"2","803100205","3","0","3002"
"3","803100206","3","0","3002"
"1","803100207","3","0","3003"
"2","803100208","3","0","3003"
"3","803100209","3","0","3003"
"1","803100210","3","0","3004"
"2","803100211","3","0","3004"
"3","803100212","3","0","3004"
"1","803100213","3","0","3005"
"2","803100214","3","0","3005"
"3","803100215","3","0","3005"
"1","803100216","3","0","3006"
"2","803100217","3","0","3006"
"3","803100218","3","0","3006"
"1","803100219","3","0","3007"
"2","803100220","3","0","3007"
"3","803100221","3","0","3007"
