adef66147569e607644ab114883c8227771abb42166920f18c57cdb3c80a9ad3,2d25c3c414d546e89783b5c98c37411d4f006903ec1eeb91027ab8e2fbf9fd7f,03646dbd05be6869fae430fb94ad2a2af96042fcf94d5de1decf78d501f87e7a,47104e8e70f829d1ebbced3e0a1fb6c84f39afc11ffe800a13a2fa68ebf1900a,f6cb6f34ca3240bf03960e78e5ecbce01a945dcf5f943ce22d6d9dc3453c8057,e612dfd073f5039c9d421e64d24ce3c52b386f44c79fece9e56e1928cb25983d,96b6d027a8c460dc11b542b8c5aa575eaccf895c6d9487e2180e03af3352f8fb,ff6964eab30d2f00c5a785e1f82abe92a0be15c0e736dace6c337bb59b8d2fe2,5d5aabd08cab43b9a69cdd74f04befe5706c07aca6b53c7f9b5ad5046c579584,558ea019bf6a0ce7631bcbe277fa06b9b3318264bb7076b51865ccc4003b5446
"1020101","1001","10201","2025/01/31 12:00:00","2025/02/23 4:59:59","101","62011","1","2025/01/23 15:00:00","1001"
"1020201","1001","10202","2025/02/28 12:00:00","2025/03/23 4:59:59","102","62021","1","2025/02/20 15:00:00","1002"
"1020301","1001","10203","2025/03/31 12:00:00","2025/04/23 4:59:59","102","62031","1","2025/03/31 11:59:59","1003"
"1020401","1001","10204","2025/04/30 12:00:00","2025/05/23 4:59:59","102","62041","1","2025/04/26 20:00:00","1004"
"1020501","1001","10205","2025/05/31 12:00:00","2025/06/23 4:59:59","102","62051","1","2025/05/23 15:00:00","1005"
"1020601","1001","10206","2025/06/30 12:00:00","2025/07/23 4:59:59","102","62061","1","2025/06/26 15:00:00","1006"
"1020701","1001","10207","2025/07/31 12:00:00","2025/08/23 4:59:59","102","62071","1","2025/07/23 15:00:00","1007"
"1020801","1001","10208","2025/08/31 12:00:00","2025/09/23 4:59:59","102","62081","1","2025/08/22 15:00:00","1008"
"1020901","1001","10209","2025/09/30 12:00:00","2025/10/23 4:59:59","102","62091","1","2025/09/22 15:00:00","1009"
"1021001","1001","10210","2025/10/31 12:00:00","2025/11/23 4:59:59","103","62101","1","2025/10/27 15:00:00","1010"
"1021101","1001","10211","2025/11/30 12:00:00","2025/12/23 4:59:59","102","62111","1","2025/11/21 15:00:00","1011"
"1021201","1001","10212","2025/12/31 12:00:00","2026/01/23 4:59:59","102","62121","1","2025/12/26 21:00:00","1012"
"1021301","1001","10213","2026/01/31 12:00:00","2026/02/23 4:59:59","104","62131","1","2026/01/26 15:00:00","1013"
"1021401","1001","10214","2026/02/28 12:00:00","2026/03/23 4:59:59","105","62141","1","2026/02/20 15:00:00","1014"
"1021501","1001","10215","2026/03/31 12:00:00","2026/04/23 4:59:59","105","62151","1","2026/03/27 15:00:00","1015"
"0","0","10201","2030/12/31 12:00:00","2030/12/31 12:00:00","0","0","2","2026/04/04 15:00:00","1016"
