fcec5cfe4b67b8a1f5d608eeecc2c183880b70193155469955ae4813d5e68628,81536668a8c82e354cada67cbed73146533c5dce748730b14dadb3ecc1418615,4a070c12e0471caa1bab4c799a5a38132c801c349baa03d64eb7dd23b2af8571,2b5a3a86388212ad0dbfff1ac4665cd087106a0d5da63ae1cf28be0109eedcad,6951d9e5d63aa1af806587a42f3ddb59b91e261c526ffe5645e8ab359af7d34e,78afae0b050619d27dbed72d9a38e83017c95f3e5bdc528b04c4178cfcad9e33,48f635008da0196e3dd4cadf9a39a1f737d53b4663aff4ab477473df080690eb,8103a375ebf17a911b0ce410d94c7dbf94b1c45ff68285c55a310ad2384ff457,b2d26a7a300420c96f63a9c49ce6c964ae6356fdc99106b941fa27908bad6602
"10001","1","7","5","6","-1","22","53003","8"
"10002","1","7","5","6","-1","22","53002","4"
"10101","1","6","4","5","5","22","53003","6"
"10102","1","6","4","5","5","22","53002","5"
"10201","1","5","3","4","4","22","53003","5"
"10202","1","5","3","4","4","22","53002","5"
"10301","1","4","3","3","3","22","53003","4"
"10302","1","4","3","3","3","22","53002","3"
"10401","1","3","2","2","2","22","53003","3"
"10402","1","3","2","2","2","22","53002","2"
"10501","1","2","1","1","1","22","53003","2"
"10502","1","2","1","1","1","22","53002","1"
"10601","1","1","1","0","0","22","53002","2"
"10701","2","7","5","6","-1","22","53003","8"
"10702","2","7","5","6","-1","22","53002","4"
"10801","2","6","4","5","5","22","53003","6"
"10802","2","6","4","5","5","22","53002","5"
"10901","2","5","3","4","4","22","53003","5"
"10902","2","5","3","4","4","22","53002","5"
"11001","2","4","3","3","3","22","53003","4"
"11002","2","4","3","3","3","22","53002","3"
"11101","2","3","2","2","2","22","53003","3"
"11102","2","3","2","2","2","22","53002","2"
"11201","2","2","1","1","1","22","53003","2"
"11202","2","2","1","1","1","22","53002","1"
"11301","2","1","1","0","0","22","53002","2"
"11401","3","7","5","6","-1","22","53003","8"
"11402","3","7","5","6","-1","22","53002","4"
"11501","3","6","4","5","5","22","53003","6"
"11502","3","6","4","5","5","22","53002","5"
"11601","3","5","3","4","4","22","53003","5"
"11602","3","5","3","4","4","22","53002","5"
"11701","3","4","3","3","3","22","53003","4"
"11702","3","4","3","3","3","22","53002","3"
"11801","3","3","2","2","2","22","53003","3"
"11802","3","3","2","2","2","22","53002","2"
"11901","3","2","1","1","1","22","53003","2"
"11902","3","2","1","1","1","22","53002","1"
"12001","3","1","1","0","0","22","53002","2"
"12101","4","7","5","6","-1","22","53003","8"
"12102","4","7","5","6","-1","22","53002","4"
"12201","4","6","4","5","5","22","53003","6"
"12202","4","6","4","5","5","22","53002","5"
"12301","4","5","3","4","4","22","53003","5"
"12302","4","5","3","4","4","22","53002","5"
"12401","4","4","3","3","3","22","53003","4"
"12402","4","4","3","3","3","22","53002","3"
"12501","4","3","2","2","2","22","53003","3"
"12502","4","3","2","2","2","22","53002","2"
"12601","4","2","1","1","1","22","53003","2"
"12602","4","2","1","1","1","22","53002","1"
"12701","4","1","1","0","0","22","53002","2"
