b60be8d525e3220e795900ae435ace82e371bd1558471d57cd76cbf0f081bdbe,8427d299009f54e5a5121c9dad0e08b74e1e6a2ef02fd16b58b0eef1bf2c8db3,518ca580b0e6195d07e29ca6a42a765e9994228e7f25d2087b97161b5e246d79
"106101","通常時","装備中"
"106701","通常時","特殊スキル"
"106801","通常時","権能解放中"
"106901","通常時","特殊スキル"
"115801","通常時","変身中"
"116401","通常時","特殊スキル"
"118201","通常時","特殊スキル"
"118501","通常時","特殊スキル"
"120801","通常時","初回発動時"
"122001","通常時","特殊スキル"
"122301","通常時","共闘中"
"122701","通常時","特殊スキル"
"123001","通常時","特殊スキル"
"125001","通常時","共闘中"
"125801","通常時","特殊スキル"
"126001","通常時","特殊スキル"
"126101","通常時","特殊スキル"
"126201","通常時","特殊スキル"
"126401","通常時","【フルチャージ】中"
"126501","通常時","特殊スキル"
"129001","通常時","特殊スキル"
"129301","通常時","特殊スキル"
"129401","通常時","特殊スキル"
"129601","通常時","特殊スキル"
