baa4a8c851c742be96b8c8ac39e0d95fb0e39a0285f6ceb9f7e93758c7ceb156,bc288163bc9a8aaba321bf6ad11f9578437b9349048c56ac3e89f024e12c740a,20513d7dc069718131835c13d401cbedd748e3deee392fe80a02af647d856628,89502e503b37bc8f266694cfc8bcfe50ca9de4e58098f92065492d60caacdb42,8ebf0a922d1d670d238a040d300f1a0d54f430413d014a854a907a007017a481,cf0bf33e1555b307162442e0e5a5c4e8280a52984f7f5037d0e07789ed4e0362
"10008","10008001","0","10008103","1","1"
"10008","10008002","0","10008104","1","2"
"10008","10008003","0","10008105","1","3"
"10008","10008004","0","10008107","1","4"
"10008","10008005","0","10008111","1","5"
"10008","10008006","0","0","2","201"
"10008","10008201","0","10008105","201","101"
"10008","10008202","0","10008107","201","102"
"10008","10008203","0","10008111","201","103"
"10008","10008204","0","10008115","202","111"
"10008","10008301","0","0","101","105601"
"10008","10008302","0","10008103","101","100901"
"10008","10008303","0","10008104","101","101301"
"10008","10008304","0","10008105","101","105601"
"10008","10008305","0","10008107","101","101301"
"10008","10008306","0","10008111","101","100901"
"10008","10008307","0","0","102","105601"
"10010","10010001","0","0","2","201"
"10010","10010002","0","10010112","1","2"
"10010","10010003","0","10010115","1","3"
"10010","10010004","0","10010103","1","4"
"10010","10010005","0","10010105","1","5"
"10010","10010006","0","10010107","1","6"
"10010","10010007","0","10010109","1","7"
"10010","10010201","0","10010112","211","101"
"10010","10010202","0","10010115","211","0"
"10010","10010501","101471","10010110","501","101461"
"10010","10010502","101472","10010110","501","101462"
"10010","10010503","101473","10010110","501","101463"
"10010","10010531","0","1001004","3","211"
"10012","10012001","0","1001201","4","1"
"10012","10012002","0","1001202","4","2"
"10012","10012003","0","1001203","4","3"
"10012","10012004","0","1001204","4","4"
"10012","10012301","0","1001201","5","101"
"10012","10012302","0","1001202","5","101"
"10012","10012303","0","1001203","5","101"
"10012","10012401","0","0","6","501"
"10012","10012531","0","1001204","3","211"
"10013","10013531","0","1001304","3","211"
"10015","10015531","0","1001504","3","211"
