6938f0701db64bb92fac2f21e0fa6703eebb23cd338ae5e5091ec5ffe8979d44,a059d652fe6defe61c8724f566a726d310b630bc19c0e431e0da3cb823630e8d,5d63a971ca0cc2f74ba153dcc145c5aa339181c0811381fe198bf4df12e9ea59,d6fa289f2276d6bb61d18176c1d0cdc2d18e23e79cd7d2ca105522e152b6b244,48ff6548274ef2047e8dd9df6abdc00405fc9b457c21769769b22e93df5b0a49,0dc55b3982e2e2b0a957be4784aa2ce57cc8f36a5ed92e9521f8860fcd0db7f3
"211","2114001","1","802100290","212","1005"
"211","2114002","1","802100290","212","1006"
"211","2114003","1","802100290","212","1007"
"211","2114004","1","802100290","212","1008"
"104","2113061","0","802100266","100","100501"
"104","2113062","0","802100266","100","100502"
"105","2113063","0","802100266","102","100503"
"106","2113064","0","802100266","103","100504"
"104","2113065","0","802100266","100","100505"
"104","2113066","0","802100266","100","100506"
"105","2113067","0","802100266","102","100507"
"106","2113068","0","802100266","103","100508"
"104","2113069","0","802100266","100","100509"
"104","2113070","0","802100266","100","100510"
"104","2113071","0","802100267","100","100511"
"104","2113072","0","802100267","100","100512"
"105","2113073","0","802100267","102","100513"
"106","2113074","0","802100267","103","100514"
"104","2113075","0","802100267","100","100515"
"104","2113076","0","802100267","100","100516"
"105","2113077","0","802100267","102","100517"
"106","2113078","0","802100267","103","100518"
"104","2113079","0","802100267","100","100519"
"104","2113080","0","802100267","100","100520"
"104","2113081","0","802100268","100","100521"
"104","2113082","0","802100268","100","100522"
"105","2113083","0","802100268","102","100523"
"106","2113084","0","802100268","103","100524"
"104","2113085","0","802100268","100","100525"
"208","2113086","1","802100268","112","100526"
"201","2113087","1","802100268","110","100527"
"104","2113088","0","802100268","100","100528"
"105","2113089","0","802100268","102","100529"
"106","2113090","0","802100268","103","100530"
"203","2113031","1","802100263","114","100601"
"202","2113032","1","802100263","113","100602"
"105","2113033","0","802100263","102","100603"
"106","2113034","0","802100263","103","100604"
"203","2113035","1","802100263","114","100605"
"202","2113036","1","802100263","113","100606"
"204","2113037","1","802100263","111","100607"
"202","2113038","1","802100263","113","100608"
"202","2113039","1","802100263","113","100609"
"106","2113040","0","802100263","103","100610"
"203","2113041","1","802100264","114","100611"
"202","2113042","1","802100264","113","100612"
"105","2113043","0","802100264","102","100613"
"106","2113044","0","802100264","103","100614"
"203","2113045","1","802100264","114","100615"
"202","2113046","1","802100264","113","100616"
"204","2113047","1","802100264","111","100617"
"202","2113048","1","802100264","113","100618"
"202","2113049","1","802100264","113","100619"
"106","2113050","0","802100264","103","100620"
"105","2113051","0","802100265","102","100621"
"203","2113052","1","802100265","114","100622"
"202","2113053","1","802100265","113","100623"
"204","2113054","1","802100265","111","100624"
"106","2113055","0","802100265","103","100625"
"208","2113056","1","802100265","112","100626"
"201","2113057","1","802100265","110","100627"
"203","2113058","1","802100265","114","100628"
"202","2113059","1","802100265","113","100629"
"106","2113060","0","802100265","103","100630"
"205","2113091","1","802100269","112","100701"
"206","2113092","1","802100269","112","100702"
"102","2113093","0","802100269","117","100703"
"105","2113094","0","802100269","102","100704"
"105","2113095","0","802100269","102","100705"
"202","2113096","1","802100269","113","100706"
"203","2113097","1","802100269","114","100707"
"102","2113098","0","802100269","117","100708"
"105","2113099","0","802100269","102","100709"
"202","2113100","1","802100269","113","100710"
"205","2115001","1","802100270","112","100711"
"102","2115002","0","802100270","117","100712"
"105","2115003","0","802100270","102","100713"
"106","2115004","0","802100270","103","100714"
"203","2115005","1","802100270","114","100715"
"202","2115006","1","802100270","113","100716"
"207","2115007","1","802100270","112","100717"
"105","2115008","0","802100270","102","100718"
"106","2115009","0","802100270","103","100719"
"202","2115010","1","802100270","113","100720"
"205","2115011","1","802100271","112","100721"
"208","2115012","1","802100271","112","100722"
"102","2115013","0","802100271","117","100723"
"105","2115014","0","802100271","102","100724"
"106","2115015","0","802100271","103","100725"
"208","2115016","1","802100271","112","100726"
"201","2115017","1","802100271","110","100727"
"102","2115018","0","802100271","117","100728"
"105","2115019","0","802100271","102","100729"
"106","2115020","0","802100271","103","100730"
"103","2113001","0","802100260","104","100801"
"104","2113002","0","802100260","100","100802"
"104","2113003","0","802100260","100","100803"
"105","2113004","0","802100260","102","100804"
"105","2113005","0","802100260","102","100805"
"104","2113006","0","802100260","100","100806"
"104","2113007","0","802100260","100","100807"
"105","2113008","0","802100260","102","100808"
"105","2113009","0","802100260","102","100809"
"107","2113010","0","802100260","101","100810"
"103","2113011","0","802100261","104","100811"
"104","2113012","0","802100261","100","100812"
"104","2113013","0","802100261","100","100813"
"105","2113014","0","802100261","102","100814"
"106","2113015","0","802100261","103","100815"
"104","2113016","0","802100261","100","100816"
"104","2113017","0","802100261","100","100817"
"105","2113018","0","802100261","102","100818"
"106","2113019","0","802100261","103","100819"
"104","2113020","0","802100261","100","100820"
"103","2113021","0","802100262","104","100821"
"104","2113022","0","802100262","100","100822"
"104","2113023","0","802100262","100","100823"
"105","2113024","0","802100262","102","100824"
"105","2113025","0","802100262","102","100825"
"208","2113026","1","802100262","112","100826"
"201","2113027","1","802100262","110","100827"
"105","2113028","0","802100262","102","100828"
"106","2113029","0","802100262","103","100829"
"103","2113030","0","802100262","104","100830"
