f75ff9667c462e908a522beb21595f824aa94a6c39157257b9646b47406934eb,3615a14a91d37423c13e19f3bb98a884ce0f06b4d29e508b9f30fb73f629b0de,508b936144a7467ec5000ca2cdfa0bb2f27431d7c374851fb61a9e62978b05be,3a72a92dab912354bf6c9e41686831a3d0d18f3f874909de5e4a7d90f3b3c72c,efadb7649f8b6c81f5c5427870b671139ee845a46a689b36eb694eed06aacd5a,bf4f95cc86cf6d04cb4d28f0df476b6896b7f00b847363c977a38ef4c06fc46c,6ac43578b1dcf01cbec62c77ac1d1e058c8c479b8fcdb525fd56f7f7d565f832,0b0fd78aa65790da84b6bfd0d47b052211ae76ebf1a5cf3650229ee5509098ed,5baecdb6555ce18ec51bb45c00f966ef7a41357f39e7a11789f8c3fd159b4952
"1","500000","7008","1","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","32000101","1002","1010","32000101"
"1","750000","7008","2","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","32000102","1002","1010","32000102"
"1","1000000","7008","3","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","32000103","1002","1010","32000103"
"1","500000","7008","4","全プレイヤーでフレイヤを合計500,000回倒そう","32000104","1003","1010","32000104"
"1","750000","7008","5","全プレイヤーでフレイヤを合計750,000回倒そう","32000105","1003","1010","32000105"
"1","1000000","7008","6","全プレイヤーでフレイヤを合計1,000,000回倒そう","32000106","1003","1010","32000106"
"0","1000000","7008","7","全プレイヤーでアラクネを合計1,000,000回倒そう","32000107","1004","1010","32000107"
"0","1500000","7008","8","全プレイヤーでアラクネを合計1,500,000回倒そう","32000108","1004","1010","32000108"
"0","2000000","7008","9","全プレイヤーでアラクネを合計2,000,000回倒そう","32000109","1004","1010","32000109"
"1","1","7007","10","宝石蜘蛛の群れに1回挑戦しよう","32000110","1001","1009","32000110"
"1","1","7007","11","バンディ・シスターズを1回倒そう","32000111","1002","1009","32000111"
"1","1","7007","12","フレイヤを1回倒そう","32000112","1003","1009","32000112"
"0","1","7007","13","アラクネを1回倒そう","32000113","1004","1009","32000113"
