248a7a640b3b47c1076d4bce94c653a8c9f0db48600938fc4574513f551b0f35,2880ed1c0a486276cd8015633047286ed21a22612175ba3054809fa271b61282,35be68d33837435bad4ff1c2bfbf5f345938dd871dbf1ed70007da76210d4ab4,479af15973b8bf25097b1228b75b3fdd3fa91fcf9a154400f14c2d1926730abc,ace1c05daa0f6f4e1159e9671fbb2c20ac32d78fb4c6d01f606d94d5485c6041,b51efeb7b84352cd3203d94131181149fc5231f379001b5c6afe72183ffa214b,d2d40717078daa559b7253c41a4fbeb317a1a76fdfce6b7428b7a1b50f1cc6a3,b787d263f1d50039cdf0cca64a8b7bdeb58e3ccb46a871a464f5100304a9210a,b555112daf4970c34c17c7e5d11dd78830448f898b6605adab47516a831e39da,6d34cc166e864ddd1a17c1c6e6977091dadf074a08f02683c6516d7cc0fd4af9
"10110","0","0","0","5110601","0","20059104","0","オープニング","懐かしき過去の結晶"
"10110","30","1","8","5110602","91002","20059104","0","オクトーの追想　その1","リーダーはどっちだ！"
"10110","30","1","8","5110603","91002","20059105","0","オクトーの追想　その2","勝ちたい理由"
"10110","30","1","8","5110604","91002","20059108","0","クリスティーナの追想　その1","聞き上手な誓約女君"
"10110","30","1","8","5110605","91002","20059109","0","ダイゴの追想　その1","秘めたる本当の実力……？"
"10110","30","1","8","5110606","91002","20059110","0","ラビリスタの追想　その1","友と書いてライバルと読む"
"10110","30","1","8","5110607","91002","20059112","0","マサキの追想","悪と正義の高笑い"
"10110","30","1","8","5110608","91002","20059113","0","ラジラジの追想　その1","プリンセスナイトとは"
"10110","30","1","8","5110609","91002","20059114","0","オクトーの追想　その3","まだ見ぬ日々に想い馳せて"
"10111","30","1","8","5111602","91002","20060103","0","ラジラジの追想　その2","跳躍王のお仕置き"
"10111","30","1","8","5111603","91002","20060105","0","クリスティーナの追想　その2","二人なら絶対だって"
"10111","30","1","8","5111604","91002","20060108","0","ダイゴの追想　その2","虎の尾を踏む"
"10111","30","1","8","5111605","91002","20060109","0","ラビリスタの追想　その2","一番怪しい七冠は誰だ"
"10111","30","1","8","5111606","91002","20060110","0","ネネカの追想","簡単すぎる問題"
"10111","30","1","8","5111607","91002","20060113","0","オクトーの追想　その4","魔物使いは語る"
"10111","30","1","8","5111608","91002","20060113","0","オクトーの追想　その5","悪党たちの目指す未来"
"10111","1","0","16","5111609","9000222","0","1","エンディング","過去を超える思い出を"
