28ba877242e8f0309e3374044832e151bc767b2412683c8a4a32772cbbd7e06f,7f88395a662bfabef8f31f60f0b440d4029d52998eca1ec38db62cbf2e9c152f,d6f81762d07c4d9311a4b7b1d282cbee80c1f2e9d59d2bffa0dcd50a1453a16a,77060dab16d72f07bd59f4d82070b8d997b1be6d0fea3204a3c6db00699066bd,b07fb774f652eb89a5a1506ab5fe2a9d8670817aae2b28a68b32cdca82af285f
"1","750000","11001001","18","4101101"
"2","120000","11001001","18","4101201"
"3","120000","11001001","18","4101202"
"4","120000","11001001","18","4101203"
"5","120000","11001001","18","4101251"
"6","66374","11001001","18","4101301"
"7","66374","11001001","18","4101302"
"8","66374","11001001","18","4101303"
"9","66374","11001001","18","4101351"
"10","4500","11001001","18","4101401"
"11","750000","11001001","18","4104101"
"12","120000","11001001","18","4104201"
"13","120000","11001001","18","4104202"
"14","120000","11001001","18","4104203"
"15","120000","11001001","18","4104251"
"16","66374","11001001","18","4104301"
"17","66374","11001001","18","4104302"
"18","66374","11001001","18","4104303"
"19","66374","11001001","18","4104351"
"20","4500","11001001","18","4104401"
"21","333334","11001001","18","4201101"
"22","80000","11001001","18","4201201"
"23","80000","11001001","18","4201202"
"24","80000","11001001","18","4201203"
"25","44250","11001001","18","4201301"
"26","44250","11001001","18","4201302"
"27","44250","11001001","18","4201303"
"28","2000","11001001","18","4201401"
"29","333334","11001001","18","4202101"
"30","80000","11001001","18","4202201"
"31","80000","11001001","18","4202202"
"32","80000","11001001","18","4202203"
"33","44250","11001001","18","4202301"
"34","44250","11001001","18","4202302"
"35","44250","11001001","18","4202303"
"36","2000","11001001","18","4202401"
"37","333332","11001001","18","4301101"
"38","80000","11001001","18","4301201"
"39","80000","11001001","18","4301202"
"40","44250","11001001","18","4301301"
"41","44250","11001001","18","4301302"
"42","2000","11001001","18","4301401"
"43","0","11001001","2","99006"
"44","0","11001001","12","94002"
"45","0","11001001","2","90008"
"46","0","11001001","2","26201"
"47","0","11001001","2","23002"
"48","750000","11001002","18","4106101"
"49","120000","11001002","18","4106201"
"50","120000","11001002","18","4106202"
"51","120000","11001002","18","4106203"
"52","120000","11001002","18","4106251"
"53","66374","11001002","18","4106301"
"54","66374","11001002","18","4106302"
"55","66374","11001002","18","4106303"
"56","66374","11001002","18","4106351"
"57","4500","11001002","18","4106401"
"58","750000","11001002","18","4110101"
"59","120000","11001002","18","4110201"
"60","120000","11001002","18","4110202"
"61","120000","11001002","18","4110203"
"62","120000","11001002","18","4110251"
"63","66374","11001002","18","4110301"
"64","66374","11001002","18","4110302"
"65","66374","11001002","18","4110303"
"66","66374","11001002","18","4110351"
"67","4500","11001002","18","4110401"
"68","333334","11001002","18","4203101"
"69","80000","11001002","18","4203201"
"70","80000","11001002","18","4203202"
"71","80000","11001002","18","4203203"
"72","44250","11001002","18","4203301"
"73","44250","11001002","18","4203302"
"74","44250","11001002","18","4203303"
"75","2000","11001002","18","4203401"
"76","333334","11001002","18","4204101"
"77","80000","11001002","18","4204201"
"78","80000","11001002","18","4204202"
"79","80000","11001002","18","4204203"
"80","44250","11001002","18","4204301"
"81","44250","11001002","18","4204302"
"82","44250","11001002","18","4204303"
"83","2000","11001002","18","4204401"
"84","333332","11001002","18","4305101"
"85","80000","11001002","18","4305201"
"86","80000","11001002","18","4305202"
"87","44250","11001002","18","4305301"
"88","44250","11001002","18","4305302"
"89","2000","11001002","18","4305401"
"90","0","11001002","2","99006"
"91","0","11001002","12","94002"
"92","0","11001002","2","90008"
"93","0","11001002","2","26201"
"94","0","11001002","2","23002"
"95","750000","11001003","18","4102101"
"96","120000","11001003","18","4102201"
"97","120000","11001003","18","4102202"
"98","120000","11001003","18","4102203"
"99","120000","11001003","18","4102251"
"100","66374","11001003","18","4102301"
"101","66374","11001003","18","4102302"
"102","66374","11001003","18","4102303"
"103","66374","11001003","18","4102351"
"104","4500","11001003","18","4102401"
"105","750000","11001003","18","4105101"
"106","120000","11001003","18","4105201"
"107","120000","11001003","18","4105202"
"108","120000","11001003","18","4105203"
"109","120000","11001003","18","4105251"
"110","66374","11001003","18","4105301"
"111","66374","11001003","18","4105302"
"112","66374","11001003","18","4105303"
"113","66374","11001003","18","4105351"
"114","4500","11001003","18","4105401"
"115","333334","11001003","18","4201101"
"116","80000","11001003","18","4201201"
"117","80000","11001003","18","4201202"
"118","80000","11001003","18","4201203"
"119","44250","11001003","18","4201301"
"120","44250","11001003","18","4201302"
"121","44250","11001003","18","4201303"
"122","2000","11001003","18","4201401"
"123","333334","11001003","18","4202101"
"124","80000","11001003","18","4202201"
"125","80000","11001003","18","4202202"
"126","80000","11001003","18","4202203"
"127","44250","11001003","18","4202301"
