8a099fb6606ac3c6e96d7d4a4dfbee765b34202a38824321ef15973423752ebe,95520dd5f020988031195beb1b0bded79776cc820a1a3e8286ea2085e2cef415,4c0047b421381bb155cfd6b6fcaf980ee7c861e58d00373bd2f9992a46f26525,bbdbdc82200c659cc0734b1d096060735caa391786ce9b2726edc148d10d23f7,e8b2123883a8a68cc2cc5459ac962cf4aa02c27f58b1020bacfc40608fc386e8,c9a992d08b5004fa1d374d93032eb656d4a8450f261629545ba5446078ed5245
"1","#2B5BAA","#3F75C7","1","#76C5FD","1"
"2","#AA552B","#BA5E36","2","#FEAC7B","3"
"3","#64737E","#616593","4","#B3C0DF","6"
"4","#A37B10","#CC8200","7","#FFD200","10"
"5","#7b318a","#95289f","11","#f374ff","17"
"6","#a60134","#CE0030","18","#ff5c77","20"
"7","#2c824e","#31635c","21","#2db075","23"
"8","#b6401f","#cc2200","24","#ffae00","27"
"9","#0082E4","#027FE9","28","#6EB6C4","31"
"10","#ea6363","#f2523d","32","#ffb193","39"
"11","#8c941a","#606820","40","#c0d400","50"
