35c9249a4eaf083dcaddc98d2b68e225eea21d0576c8b86931a97881b2920946,c805f28f97fca30d3e32494746f8be00122dcec3dcb044b5507d12515dc3f254,54fb107dde379ae2aca15d617eefa9a65b51e3d553a1c545ed49779e77d06133,20743e9d5f1fb960fc20027a404cb813b42807c558bf9da0c4d21e13233d9b42
"8","スロウ","1","1"
"8","ヘイスト","2","2"
"8","麻痺","3","3"
"8","凍結","4","4"
"8","束縛","5","5"
"8","睡眠","6","6"
"8","スタン","7","7"
"8","石化","8","8"
"8","拘留","9","9"
"9","拘留(ダメージ)","10","0"
"9","毒","11","1"
"9","火傷","12","2"
"9","呪い","13","3"
"11","魅了","14","0"
"12","暗闇","15","-1"
"13","沈黙","16","-1"
"30","即死","17","-1"
"3","ノックバック","18","-1"
"11","混乱","19","1"
"9","猛毒","20","4"
"56","千里眼","21","-1"
"59","回復阻害","22","-1"
"61","恐慌","23","-1"
"60","刻印付与","24","-1"
"62","畏怖","25","-1"
"69","トナカイ化","26","-1"
"8","気絶","27","10"
"9","呪詛","28","5"
"70","ＨＰ変化","29","-1"
"8","時間停止","30","11"
"76","ＨＰ回復量減少","31","-1"
"78","弱体被ダメージ上昇","32","-1"
"79","行動時毒ダメージ","33","1"
"8","スタン（別枠）","34","14"
"9","毒（別枠）","35","7"
"9","呪い（別枠）","36","8"
"11","混乱（別枠）","37","2"
"8","結晶化","38","13"
"83","スロウ(加算可能)","39","1"
"83","ヘイスト(加算可能)","40","2"
"49","バフ消去","41","3"
"49","バリア消去","42","10"
"9","黒炎","43","9"
"99","ヘイストフィールド","44","2"
"99","スロウフィールド","45","1"
"49","バフ消去（指定）","46","20"
"101","殴り刻印（攻撃ヒット）","47","5"
"79","行動時界雷ダメージ","48","10"
