8d38df6873cc09e07c9982565904d6038c51fa884447bbc8b94372f157b12e51,1123e1365eab68e2d40830cb054d00dafe70766fa6731c905e046898365381ec,928978a544cf2da02dea4dc90de56c26ece642c8363e232430fb0e8053b9adeb,f1a25b8220b90b49762f0a24dc00e7b36ab6952daa232176d0a9bde79f6328da,aed970e5d2294b7b3c7e539ef6eea67338118781fcb7884c7d71f96bc6d056e6,be4e2fa23a26431dd244de2a6fcd6f2435b0c48a40076df1e341156c73b89af2,1680ea7a40669f6e0ab2f3171059bb97e16c38156c2c784593acc56a7a3192d2,0f381528335b593ec838a7912324832fbe8d9027a1e4eb4c3447c1b6525d60c9
"4000","4","400","0","1","100","1","440"
"10000","10","1000","0","2","120","2","1100"
"14000","12","1400","0","3","140","3","1540"
"20000","14","2000","0","4","170","4","2200"
"27000","18","2700","0","5","200","5","2970"
"36600","20","3600","0","6","220","6","4000"
"39700","20","3900","0","7","240","7","4300"
"42800","20","4200","0","8","260","8","4700"
"45600","20","4500","0","9","280","9","5000"
"48900","20","4800","0","10","300","10","5300"
