483b2a207e2dfcd9ee981b2f9786ce73e3ff155942f4c3fe685b743a24ac7266,36b20f61ee695b809ef62c7fcf5e54224a9e98edd0cb1688972a740ba1520df7,b3e7370f830b4b3ab7baf42b4d0235956311e77d436c0f084fdc8520764bff70,244111969f6a2d062b864a4f268182819e230c906bbbe9aa312540c08dc81e2e,feb2fd53e25cca17c26a9493fb96c69dac719cd36aa2136133afd15e1f16718b,f6e9dd8ededb652b04ad58ba9ee7fc4cee9dbd1c3128b4408c6641f64786cecf,778e5125fb3e164eae3141a15a4a1e85673d87feaf09a1a717fece9bc6c72980,3d1c8bf8af06fed02df630bc44a00b0d764cbf281977fbf29998dbf27c755ee8,6ac279c52024f112725591899162ea4dec0139826c91ee825d2d729e6f755ab3,57c23061b7d87d06428f794f9ad0163635737b1655bf69a5f2e60fdd829e83d6,0883597eb99b79de9c097f6804fab0f9404ae715abe5c2ca7e122be08284fec3,d17ae0c4fe33badfc9731fbe046218dddb567aac8148480532ec4de1514c40dd,bb2d855fecbe7336886c2f52291cddcadc46224ca3bd012f7e044a4bf5e0dc51,b4f0ccb169dacdef4edb5db76777e21ee4d9925998ead1f97cb050dc262db64f,76f8e43123c658f2958533eff8ae54520cc1ca73570c583b8f101b6ebb40e91e,9f50a1424b69c5d6c6cecffa9b65b2febc965ccf13a2aeb542f00cf897780c68
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1001001","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1001002","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1001003","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1001004","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1001005","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1001006","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1001007","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1001008","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1001009","12","90008","10"
"25015","25001","500000","91002","2","10","200","2","400","94002","2","8","1001010","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1001011","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1001012","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1001013","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1001014","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1001015","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1001016","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1001017","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1001018","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1002001","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1002002","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1002003","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1002004","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1002005","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1002006","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1002007","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1002008","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1002009","12","90008","10"
"25015","25001","500000","91002","2","10","200","2","400","94002","2","8","1002010","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1002011","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1002012","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1002013","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1002014","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1002015","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1002016","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1002017","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1002018","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1003001","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1003002","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1003003","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1003004","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1003005","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1003006","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1003007","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1003008","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1003009","12","90008","10"
"25015","25001","500000","91002","2","10","200","2","400","94002","2","8","1003010","12","90008","10"
"25011","25021","500000","91002","2","50","200","2","400","94002","2","8","1003011","12","90008","10"
"25012","25021","500000","91002","2","50","200","2","400","94002","2","8","1003012","12","90008","10"
"25013","25021","500000","91002","2","50","200","2","400","94002","2","8","1003013","12","90008","10"
"25014","25021","500000","91002","2","50","200","2","400","94002","2","8","1003014","12","90008","10"
"25015","25021","500000","91002","2","50","200","2","400","94002","2","8","1003015","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1003016","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1003017","12","90008","10"
"0","25021","500000","91002","0","50","200","2","0","94002","2","8","1003018","12","90008","10"
