3343443bb56e5fc032a8177e632cbdbeffce835b30fbbbd90e4d4a00491bfa1f,4b87117e648952a83bafa6fd8671599a4c6c7eab06255ca8de7275fffc0dd1eb,fdff031d8d2eb3f6841ab2bd73afc6cc22be29bc651a1a2fc829ba7e0e9d70e4,32dfb6228d2b0b7f529a7515bb581114421b6fa62018ccf266976c64960d0b31
"2017","魔法攻撃のダメージが小アップし、物理攻撃を行うキャラが行動する度にそのキャラの最大ＨＰに応じて最大99999の割合ダメージを与える。","界雷","137"
"2017","一定時間が経過するごとに、敵、味方全体のＴＰを中回復させる。","百花繚乱","146"
"2017","一定時間が経過するごとに、敵、味方全体に最大ＨＰに応じた最大20万の割合ダメージを与える。さらに、付与される継続ダメージが上昇する。","炎天烈日","147"
"2017","一定時間が経過するごとに、敵、味方全体の物理攻撃力、魔法攻撃力、物理防御力、魔法防御力をアップさせる。この効果の効果量は敵、味方を合わせた数に応じて増加する。","秋高馬肥","148"
"2017","敵、味方全体の行動速度を小ダウンさせる。このスキルの効果は他の行動速度変化スキルと重複する。さらに一定時間が経過するごとに、初期値より行動速度が低い状態のキャラに凍結状態を付与する。","寒気凛冽","149"
"2017","魔法攻撃のダメージが小ダウンする。","妨魔塵","162"
"2017","一定時間が経過するごとに、敵全体に最大ＨＰに応じた魔法割合ダメージを与える。さらに、キャラのＨＰが50％未満の場合、麻痺状態を付与する。この効果によるダメージでは、ＴＰが回復しない。この効果の状態異常はダメージを無効化しても付与される。","雷雲","164"
"2017","一定時間が経過するごとに、敵全体をノックバックさせる。","暴風","169"
"2017","一定時間が経過するごとに、敵全体の行動速度をバトル終了まで小ダウンさせる。さらに、物理攻撃力と魔法攻撃力をバトル終了まで小ダウンさせる。","豪雨","170"
"2017","物理攻撃クリティカル時のダメージが小アップする。","絶氷","175"
"2017","一定時間が経過するごとに、敵全体に最大ＨＰに応じた魔法割合ダメージを与える。この効果によるダメージでは、ＴＰが回復しない。","雷雲","186"
"2017","継続ダメージを与える状態異常のダメージの発生間隔と効果時間が延長される。","忌火","207"
"2017","一定時間が経過するごとに、敵、味方全体の物理攻撃力、魔法攻撃力をアップさせる。この効果の効果量は現在の対象の物理攻撃力、魔法攻撃力に応じて増加する。","マナの流脈","228"
