2617c10915f684a1cb45295de38dde66c4519bb8d11e01420a9cc49ebf6382e8,11460602313d5a60639f778ee2da6cc02d8823758905ff7d86e2cd7f0f17e19f,4285fa26e964ca25b1e6345053b6010a50945dd2a27138ff0264112ddf3238c4,5a350dd9f3cef55ff796f342c64aea75589aae2babfc86de1a2b1f8717b89d0c,41071f2d544d42f09db7fa4f792518c201a1a375176bb76bfcbccb061166e12f,a7699e3d5125d1bf4436286526adb7ad0d53d83c3fb14037dae7e15b95dcd457,433226f959e52032eaf318beff57bca387f5fca91544cfa27952faf5bde0ce07
"10004","1","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","107601","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","71004025","BOSS討伐で解放！\n残り{0}体"
"10005","2","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","108001","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","71005025","BOSS討伐で解放！\n残り{0}体"
"10007","3","[3C404E]ボスNORMAL討伐で解放！","108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71007031","ボスNORMAL討伐で解放！"
"10009","4","[3C404E]ボスNORMAL討伐で解放！","108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71009031","ボスNORMAL討伐で解放！"
"10010","5","[3C404E]ボスNORMAL討伐で解放！","108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71010031","ボスNORMAL討伐で解放！"
"10011","6","[3C404E]ボスNORMAL討伐で解放！","109001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71011031","ボスNORMAL討伐で解放！"
"10013","7","[3C404E]ボスNORMAL討伐で解放！","109301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71013031","ボスNORMAL討伐で解放！"
"10017","8","[3C404E]ボスNORMAL討伐で解放！","109801","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71017031","ボスNORMAL討伐で解放！"
"10019","9","[3C404E]ボスNORMAL討伐で解放！","110101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71019031","ボスNORMAL討伐で解放！"
"20004","10","[3C404E]ボスNORMAL討伐で解放！","107601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72004021","ボスNORMAL討伐で解放！"
