899ed7fd4d3eb82ca610cfb8abac36da1046afcd6165494117791ce59312ad16,3a0d6c61a8f55d3b17abcaaa300dd2ea96963447ee70dbb15f1c187ce36cdecf,ca08975f55e4dda0f9e1bf6f7e6a80ac706f7cc10b5b3971ee907ce8a0b40478,0de81cbcc44a4e70da4bddf7e588e3dd2050d546429cc3cedbd2eb1887c0ea00,3504823a7090fccd32debe235799a379b6f0dae8aea9c58eedbb862e4030401d,7e9371e52420212926d86b5db34c1964ab61bf3064c16f9118d87802efbdb0c2,12b7e96884d1b95f71f0a3c656fd1b3cbc2c2adf45bfcef0718adab617d50cba
"1","1","1","0","1","1","0"
"1","2","2","0","1","4","0"
"1","3","1","0","1","5","12"
"1","4","2","0","1","2","0"
"2","5","1","0","1","8","0"
"1","1","1","0","2","1","0"
"1","2","2","0","2","1","0"
"1","3","1","0","2","6","0"
"1","4","2","0","2","1","0"
"1","5","3","0","2","1","0"
"3","6","1","0","2","3","11"
"1","7","2","0","2","1","0"
"1","8","1","0","2","3","0"
"2","9","1","0","2","1","0"
"1","1","1","0","3","1","0"
"1","2","2","0","3","10","0"
"1","3","1","0","3","11","0"
"1","4","2","0","3","5","0"
"1","5","3","0","3","6","0"
"1","6","3","0","3","3","0"
"2","7","4","0","3","3","9"
"1","8","4","0","3","7","0"
"1","9","4","0","3","1","0"
"3","10","1","0","3","9","8"
"1","11","2","0","3","4","0"
"1","12","1","0","3","1","0"
"1","13","4","0","3","3","0"
"2","14","3","0","3","3","11"
"1","1","1","0","4","4","10"
"1","2","1","0","4","12","12"
"1","3","2","0","4","1","10"
"1","4","1","0","4","11","4"
"1","5","2","0","4","1","0"
"1","6","1","0","4","4","13"
"1","7","2","0","4","2","6"
"1","8","1","0","4","8","0"
"1","9","2","0","4","8","10"
"1","1","1","0","5","1","10"
"1","2","2","0","5","11","5"
"1","3","1","0","5","1","7"
"1","4","2","0","5","5","12"
"1","5","1","0","5","1","11"
"1","6","2","0","5","3","4"
"1","7","2","0","5","5","12"
"1","8","1","0","5","2","6"
"1","9","2","0","5","11","4"
"1","10","1","0","5","8","8"
"1","11","1","0","5","4","10"
"1","12","2","0","5","5","10"
"1","1","1","0","6","8","7"
"1","2","2","0","6","4","10"
"1","3","1","0","6","1","11"
"1","4","2","0","6","8","8"
"1","5","1","0","6","11","6"
"2","6","1","0","6","2","7"
"1","7","1","0","6","5","4"
"1","8","2","0","6","4","10"
"2","9","1","0","6","10","13"
"1","1","1","0","7","8","7"
"1","2","2","0","7","12","10"
"1","3","2","0","7","4","12"
"1","4","1","0","7","11","7"
"1","5","1","0","7","1","10"
"1","6","2","0","7","5","12"
"1","7","2","0","7","5","11"
"1","8","2","0","7","8","10"
"1","9","1","0","7","2","8"
