6917b9beeb9e3edd901ca06f4607bbc427893e9a0a46daf0b3fcb26a173833c9,e5c7385b47fa97089f7c0a6062ecf66776174fd5ed919106ade294284879b46d,0cbc05d554283fd95b718a8de6ea5a68c33c12aace4b9800cab748bd6a5b8005,c413ecd383e6feabeb2fa8eb9d45bc4959a172bcde54782cc47a3c153baa1c71,9b1a338655beead2ca1a85c13b32489d98efa694fb0dc53f7d2ec2a10c2db361,ffb9c8de1c9f2eff8fc1d965a2b3de5bb738c2a0022e6142cd584ead4db64e48
"101011","4","60000001","10011001","6","1"
"101071","4","60000002","10011001","6","1"
"101101","4","60000003","10011001","6","1"
"101131","4","60000004","10011001","7","1"
"101161","4","60000005","10011001","6","1"
"101191","4","60000006","10011001","6","1"
"101251","4","60000007","10011001","7","1"
"101281","4","60000008","10011001","7","1"
"101371","4","60000009","10011001","7","1"
"101401","4","60000010","10011001","7","1"
"101431","4","60000011","10011001","7","1"
"101521","4","60000012","10011001","7","1"
"101551","4","60000013","10011001","7","1"
"101581","4","60000014","10011001","7","1"
"101611","4","60000015","10011001","7","1"
"102011","4","60000016","10011002","2","1"
"102013","4","60000017","10011002","2","1"
"102014","4","60000018","10011002","2","1"
"102041","4","60000019","10011002","2","1"
"102071","4","60000020","10011002","2","1"
"102101","4","60000021","10011002","2","1"
"102131","4","60000022","10011002","2","1"
"102162","4","60000023","10011002","2","1"
"102163","4","60000024","10011002","2","1"
"102191","4","60000025","10011002","2","1"
"102192","4","60000026","10011002","2","1"
"102221","4","60000027","10011002","2","1"
"102222","4","60000028","10011002","2","1"
"102251","4","60000029","10011002","2","1"
"102252","4","60000030","10011002","3","1"
"102281","4","60000031","10011002","3","1"
"102461","4","60000032","10011002","3","1"
"102551","4","60000033","10011002","3","1"
"102552","4","60000034","10011002","3","1"
"102581","4","60000035","10011002","3","1"
"102582","4","60000036","10011002","3","1"
"102611","4","60000037","10011002","3","1"
"102612","4","60000038","10011002","3","1"
"122282","4","60000039","10011002","3","1"
"122311","4","60000040","10011002","3","1"
"122312","4","60000041","10011002","3","1"
"122341","4","60000042","10011002","3","1"
"122342","4","60000043","10011002","3","1"
"122371","4","60000044","10011002","3","1"
"122372","4","60000045","10011002","3","1"
"122401","4","60000046","10011002","3","1"
"122431","4","60000047","10011002","3","1"
"122432","4","60000048","10011002","3","1"
"122491","4","60000049","10011002","3","1"
"122493","4","60000050","10011002","3","1"
"122521","4","60000051","10011002","3","1"
"122613","4","60000052","10011002","3","1"
"122614","4","60000053","10011002","3","1"
"113011","4","60000054","10011003","2","1"
"113012","4","60000055","10011003","2","1"
"113013","4","60000056","10011003","2","1"
"113071","4","60000057","10011003","2","1"
